step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.14314928425357873,0.03577817531305904,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.14314928425357873,0.03577817531305904,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2167689161554192,0.20460615516837594,"[0.32, 0.371, 0.038, 0.2, 0.195, 0.0, 0.4]",0.24948875255623723,0.23153076704070705,"[0.467, 0.4, 0.052, 0.157, 0.211, 0.0, 0.459]",14,14,1.0,0.98,"[0.12147488445043564, 0.18612942099571228, 0.11719945073127747, 0.12204751372337341, 0.17831474542617798, 0.07195968180894852, 0.202874094247818]","[0.5987698435783386, 0.9174627065658569, 0.5776954889297485, 0.6015924215316772, 0.8789429068565369, 0.3547011911869049, 1.0]","[14, 0, 0, 0, 0, 0, 0]","[14, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]","[14, 0, 0, 0, 0, 0, 0]","[14, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]"
50,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.19427402862985685,0.15300813234066846,"[0.28, 0.029, 0.256, 0.129, 0.013, 0.0, 0.7]",0.22903885480572597,0.18396332349521632,"[0.427, 0.057, 0.338, 0.114, 0.0, 0.0, 0.689]",97,281,0.34519572953736655,0.98,"[0.05125107988715172, 0.0877716913819313, 0.16622483730316162, 0.31715303659439087, 0.0709322839975357, 0.019087428227066994, 0.2875794470310211]","[0.16159731149673462, 0.2767487168312073, 0.5241155624389648, 1.0, 0.223653182387352, 0.060183651745319366, 0.9067529439926147]","[73, 35, 36, 79, 11, 1, 46]","[64, 8, 7, 10, 1, 0, 7]","[0.8767123222351074, 0.22857142984867096, 0.1944444477558136, 0.1265822798013687, 0.09090909361839294, 0.0, 0.15217390656471252]","[87, 35, 36, 79, 11, 1, 46]","[78, 8, 7, 10, 1, 0, 7]","[0.8965517282485962, 0.22857142984867096, 0.1944444477558136, 0.1265822798013687, 0.09090909361839294, 0.0, 0.15217390656471252]"
75,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.16768916155419222,0.14526373056065198,"[0.2, 0.0, 0.141, 0.157, 0.221, 0.0, 0.467]",0.2085889570552147,0.18649235439006265,"[0.32, 0.029, 0.182, 0.1, 0.316, 0.0, 0.508]",135,459,0.29411764705882354,0.98,"[0.11261952668428421, 0.06632343679666519, 0.1781267374753952, 0.18779632449150085, 0.17792899906635284, 0.028481006622314453, 0.24872377514839172]","[0.4527895450592041, 0.26665499806404114, 0.7161628603935242, 0.7550396919250488, 0.71536785364151, 0.11450858414173126, 1.0]","[94, 54, 67, 168, 40, 6, 30]","[77, 9, 13, 20, 10, 0, 6]","[0.8191489577293396, 0.1666666716337204, 0.19402985274791718, 0.1190476194024086, 0.25, 0.0, 0.20000000298023224]","[181, 89, 103, 247, 51, 7, 76]","[155, 17, 20, 30, 11, 0, 13]","[0.8563535809516907, 0.1910112351179123, 0.19417475163936615, 0.12145748734474182, 0.21568627655506134, 0.0, 0.17105263471603394]"
100,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2249488752556237,0.19796367384225894,"[0.24, 0.357, 0.474, 0.129, 0.026, 0.0, 0.317]",0.2719836400817996,0.2388213199522962,"[0.36, 0.4, 0.571, 0.086, 0.066, 0.0, 0.377]",177,641,0.27613104524180965,0.98,"[0.044537149369716644, 0.18396919965744019, 0.3607214093208313, 0.1656121462583542, 0.06596459448337555, 0.0125723946839571, 0.16662286221981049]","[0.12346688657999039, 0.5100035667419434, 1.0, 0.4591137170791626, 0.18286852538585663, 0.03485347703099251, 0.46191564202308655]","[75, 64, 78, 244, 89, 11, 80]","[61, 22, 18, 39, 15, 0, 22]","[0.8133333325386047, 0.34375, 0.23076923191547394, 0.1598360687494278, 0.16853933036327362, 0.0, 0.2750000059604645]","[256, 153, 181, 491, 140, 18, 156]","[216, 39, 38, 69, 26, 0, 35]","[0.84375, 0.2549019753932953, 0.20994475483894348, 0.14052952826023102, 0.18571428954601288, 0.0, 0.22435897588729858]"
125,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.18200408997955012,0.1492484061669202,"[0.467, 0.171, 0.026, 0.143, 0.065, 0.0, 0.417]",0.22085889570552147,0.18066833811187982,"[0.587, 0.229, 0.013, 0.129, 0.145, 0.0, 0.443]",167,618,0.2702265372168285,0.98,"[0.24192091822624207, 0.1002221405506134, 0.10965119302272797, 0.1871301829814911, 0.16274955868721008, 0.01735122874379158, 0.18097460269927979]","[1.0, 0.41427645087242126, 0.45325222611427307, 0.7735179662704468, 0.6727386713027954, 0.07172273099422455, 0.748073399066925]","[115, 121, 42, 190, 82, 13, 55]","[76, 30, 12, 25, 13, 0, 11]","[0.6608695387840271, 0.24793387949466705, 0.2857142984867096, 0.1315789520740509, 0.15853658318519592, 0.0, 0.20000000298023224]","[371, 274, 223, 681, 222, 31, 211]","[292, 69, 50, 94, 39, 0, 46]","[0.7870619893074036, 0.25182482600212097, 0.22421523928642273, 0.13803230226039886, 0.1756756752729416, 0.0, 0.21800947189331055]"
150,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.18609406952965235,0.15715260974662254,"[0.373, 0.143, 0.051, 0.129, 0.078, 0.017, 0.55]",0.20449897750511248,0.16580541252893055,"[0.547, 0.1, 0.091, 0.086, 0.132, 0.0, 0.475]",146,541,0.2698706099815157,0.98,"[0.23541410267353058, 0.1267603039741516, 0.12061111629009247, 0.2165680080652237, 0.1250661015510559, 0.021663634106516838, 0.15391656756401062]","[1.0, 0.5384567379951477, 0.5123359560966492, 0.9199449419975281, 0.5312600135803223, 0.09202352166175842, 0.6538119912147522]","[81, 112, 31, 138, 91, 17, 71]","[53, 23, 8, 26, 15, 1, 20]","[0.654321014881134, 0.2053571492433548, 0.25806450843811035, 0.18840579688549042, 0.16483516991138458, 0.05882352963089943, 0.28169015049934387]","[452, 386, 254, 819, 313, 48, 282]","[345, 92, 58, 120, 54, 1, 66]","[0.7632743120193481, 0.23834197223186493, 0.22834645211696625, 0.14652015268802643, 0.17252396047115326, 0.02083333395421505, 0.23404255509376526]"
175,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.16973415132924335,0.15533080183327197,"[0.253, 0.3, 0.167, 0.043, 0.234, 0.034, 0.117]",0.19631901840490798,0.17542343973924376,"[0.28, 0.271, 0.221, 0.043, 0.303, 0.0, 0.213]",169,660,0.25606060606060604,0.98,"[0.2552691698074341, 0.13784494996070862, 0.23741549253463745, 0.025055743753910065, 0.18340997397899628, 0.02710849978029728, 0.1338960826396942]","[1.0, 0.5399984121322632, 0.9300594329833984, 0.0981542095541954, 0.7184963822364807, 0.10619574785232544, 0.524528980255127]","[103, 153, 78, 21, 160, 32, 113]","[45, 43, 11, 4, 28, 3, 35]","[0.43689319491386414, 0.2810457646846771, 0.14102564752101898, 0.190476194024086, 0.17499999701976776, 0.09375, 0.3097345232963562]","[555, 539, 332, 840, 473, 80, 395]","[390, 135, 69, 124, 82, 4, 101]","[0.7027027010917664, 0.2504638135433197, 0.20783132314682007, 0.14761905372142792, 0.17336152493953705, 0.05000000074505806, 0.25569620728492737]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.19427402862985685,0.1749770336623023,"[0.187, 0.314, 0.128, 0.043, 0.195, 0.017, 0.5]",0.23721881390593047,0.21102462182555012,"[0.28, 0.3, 0.091, 0.129, 0.329, 0.0, 0.541]",134,676,0.19822485207100593,0.98,"[0.07439208030700684, 0.15123291313648224, 0.10671699792146683, 0.07202023267745972, 0.24233654141426086, 0.0197750311344862, 0.33352604508399963]","[0.22304728627204895, 0.45343658328056335, 0.31996601819992065, 0.2159358561038971, 0.726589560508728, 0.0592908151447773, 1.0]","[71, 116, 81, 124, 143, 39, 102]","[20, 36, 10, 18, 24, 3, 23]","[0.28169015049934387, 0.3103448152542114, 0.12345679104328156, 0.14516128599643707, 0.1678321659564972, 0.07692307978868484, 0.22549019753932953]","[626, 655, 413, 964, 616, 119, 497]","[410, 171, 79, 142, 106, 7, 124]","[0.6549520492553711, 0.2610687017440796, 0.19128328561782837, 0.14730291068553925, 0.17207792401313782, 0.05882352963089943, 0.24949698150157928]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2167689161554192,0.1920529039796937,"[0.307, 0.357, 0.154, 0.043, 0.182, 0.017, 0.467]",0.26789366053169733,0.23326433794376472,"[0.387, 0.414, 0.104, 0.086, 0.329, 0.0, 0.557]",186,754,0.246684350132626,0.98,"[0.25595226883888245, 0.13812239468097687, 0.13428595662117004, 0.0724603533744812, 0.16805414855480194, 0.012817267328500748, 0.2183074653148651]","[1.0, 0.5396412014961243, 0.524652361869812, 0.28310105204582214, 0.6565839648246765, 0.05007678642868996, 0.8529225587844849]","[88, 177, 68, 80, 198, 30, 113]","[48, 62, 11, 13, 30, 4, 18]","[0.5454545617103577, 0.3502824902534485, 0.1617647111415863, 0.16249999403953552, 0.1515151560306549, 0.13333334028720856, 0.1592920422554016]","[714, 832, 481, 1044, 814, 149, 610]","[458, 233, 90, 155, 136, 11, 142]","[0.6414566040039062, 0.28004807233810425, 0.18711018562316895, 0.14846743643283844, 0.16707617044448853, 0.07382550090551376, 0.2327868789434433]"
