step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.14314928425357873,0.03577817531305904,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.14314928425357873,0.03577817531305904,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.5714285714285714,0.5312401883830454,"[1.0, 1.0, 0.333, 1.0, 0.0, 0.333, 0.333]",0.15950920245398773,0.11246020459547167,"[0.64, 0.214, 0.0, 0.1, 0.013, 0.051, 0.067]",0.18813905930470348,0.12407600795224019,"[0.827, 0.2, 0.0, 0.057, 0.013, 0.117, 0.066]",3,3,1.0,0.98,"[0.16093136370182037, 0.14177928864955902, 0.14109182357788086, 0.12417395412921906, 0.14238862693309784, 0.15086272358894348, 0.13877201080322266]","[1.0, 0.8809922933578491, 0.8767204880714417, 0.7715957164764404, 0.884778618812561, 0.9374352097511292, 0.8623055815696716]","[3, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]","[3, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]"
50,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2883435582822086,0.2560917238536126,"[0.32, 0.514, 0.103, 0.186, 0.636, 0.068, 0.117]",0.28629856850715746,0.26480512266226214,"[0.427, 0.571, 0.078, 0.143, 0.487, 0.05, 0.197]",63,89,0.7078651685393258,0.98,"[0.133534774184227, 0.17602337896823883, 0.12108700722455978, 0.1981586217880249, 0.18368744850158691, 0.07964661717414856, 0.1078619733452797]","[0.6738781929016113, 0.8882953524589539, 0.6110610365867615, 1.0, 0.9269717931747437, 0.4019336402416229, 0.5443213582038879]","[59, 16, 1, 4, 4, 5, 0]","[51, 6, 0, 2, 1, 3, 0]","[0.8644067645072937, 0.375, 0.0, 0.5, 0.25, 0.6000000238418579, nan]","[62, 16, 1, 4, 4, 5, 0]","[54, 6, 0, 2, 1, 3, 0]","[0.8709677457809448, 0.375, 0.0, 0.5, 0.25, 0.6000000238418579, nan]"
75,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.21267893660531698,0.20582352134619902,"[0.427, 0.2, 0.244, 0.143, 0.104, 0.169, 0.183]",0.261758691206544,0.25174598913783697,"[0.547, 0.343, 0.221, 0.157, 0.184, 0.133, 0.213]",180,468,0.38461538461538464,0.98,"[0.11456824839115143, 0.18656569719314575, 0.2033933699131012, 0.13026347756385803, 0.129551962018013, 0.11642859876155853, 0.11922843009233475]","[0.5632840991020203, 0.9172653555870056, 1.0, 0.6404509544372559, 0.6369527578353882, 0.5724306702613831, 0.58619624376297]","[97, 79, 39, 81, 62, 75, 35]","[73, 33, 19, 11, 18, 16, 10]","[0.7525773048400879, 0.4177215099334717, 0.4871794879436493, 0.1358024626970291, 0.29032257199287415, 0.2133333384990692, 0.2857142984867096]","[159, 95, 40, 85, 66, 80, 35]","[127, 39, 19, 13, 19, 19, 10]","[0.7987421154975891, 0.410526305437088, 0.4749999940395355, 0.15294118225574493, 0.28787878155708313, 0.23749999701976776, 0.2857142984867096]"
100,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.23721881390593047,0.2277630603275293,"[0.32, 0.271, 0.179, 0.129, 0.416, 0.254, 0.05]",0.26993865030674846,0.26221705055549205,"[0.4, 0.4, 0.143, 0.186, 0.447, 0.183, 0.082]",179,513,0.3489278752436647,0.98,"[0.13641512393951416, 0.11030899733304977, 0.14878329634666443, 0.17572225630283356, 0.1609899252653122, 0.2025320678949356, 0.06524810940027237]","[0.6735482811927795, 0.5446495413780212, 0.7346159815788269, 0.8676268458366394, 0.7948861122131348, 1.0, 0.32216188311576843]","[128, 94, 28, 86, 50, 70, 57]","[93, 30, 10, 6, 18, 11, 11]","[0.7265625, 0.3191489279270172, 0.3571428656578064, 0.06976744532585144, 0.36000001430511475, 0.15714286267757416, 0.19298245012760162]","[287, 189, 68, 171, 116, 150, 92]","[220, 69, 29, 19, 37, 30, 21]","[0.7665505409240723, 0.3650793731212616, 0.4264705777168274, 0.1111111119389534, 0.31896552443504333, 0.20000000298023224, 0.22826087474822998]"
125,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2392638036809816,0.23067542617060183,"[0.307, 0.314, 0.205, 0.114, 0.39, 0.203, 0.1]",0.26380368098159507,0.25735374840794994,"[0.4, 0.4, 0.182, 0.114, 0.408, 0.183, 0.115]",201,628,0.3200636942675159,0.98,"[0.09402942657470703, 0.09928570687770844, 0.16310636699199677, 0.1756991595029831, 0.20431476831436157, 0.12206847220659256, 0.1414959728717804]","[0.4602184593677521, 0.48594483733177185, 0.7983092665672302, 0.8599435091018677, 1.0, 0.5974529981613159, 0.6925391554832458]","[134, 95, 42, 126, 70, 93, 68]","[85, 38, 8, 18, 27, 13, 12]","[0.6343283653259277, 0.4000000059604645, 0.190476194024086, 0.1428571492433548, 0.3857142925262451, 0.13978494703769684, 0.1764705926179886]","[421, 284, 110, 297, 186, 243, 160]","[305, 107, 37, 37, 64, 43, 33]","[0.724465548992157, 0.3767605721950531, 0.33636364340782166, 0.12457912415266037, 0.34408602118492126, 0.1769547313451767, 0.20624999701976776]"
150,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.24335378323108384,0.22990112460710302,"[0.413, 0.343, 0.205, 0.143, 0.247, 0.254, 0.067]",0.23721881390593047,0.21735283126602148,"[0.467, 0.457, 0.169, 0.114, 0.197, 0.133, 0.082]",208,659,0.3156297420333839,0.98,"[0.1394832879304886, 0.23519355058670044, 0.13113616406917572, 0.1158720925450325, 0.10518264025449753, 0.17493894696235657, 0.09819312393665314]","[0.5930574536323547, 1.0, 0.5575670003890991, 0.49266695976257324, 0.4472173750400543, 0.7438084483146667, 0.41749921441078186]","[121, 97, 56, 142, 51, 113, 79]","[80, 45, 19, 18, 13, 18, 15]","[0.6611570119857788, 0.4639175236225128, 0.3392857015132904, 0.1267605572938919, 0.2549019753932953, 0.1592920422554016, 0.18987341225147247]","[542, 381, 166, 439, 237, 356, 239]","[385, 152, 56, 55, 77, 61, 48]","[0.7103320956230164, 0.39895012974739075, 0.33734938502311707, 0.12528473138809204, 0.324894517660141, 0.17134831845760345, 0.20083682239055634]"
175,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2167689161554192,0.208908749238173,"[0.36, 0.186, 0.179, 0.143, 0.338, 0.119, 0.15]",0.261758691206544,0.2512758524688424,"[0.507, 0.329, 0.182, 0.1, 0.355, 0.117, 0.197]",222,771,0.28793774319066145,0.98,"[0.14264899492263794, 0.13748690485954285, 0.13123638927936554, 0.13607241213321686, 0.14469759166240692, 0.21630030870437622, 0.09155721217393875]","[0.6594951152801514, 0.6356297135353088, 0.6067323088645935, 0.6290902495384216, 0.6689661741256714, 1.0, 0.4232874810695648]","[137, 121, 68, 127, 86, 153, 79]","[72, 49, 25, 14, 28, 13, 21]","[0.525547444820404, 0.40495866537094116, 0.36764705181121826, 0.11023622006177902, 0.3255814015865326, 0.08496732264757156, 0.26582279801368713]","[679, 502, 234, 566, 323, 509, 318]","[457, 201, 81, 69, 105, 74, 69]","[0.6730486154556274, 0.4003984034061432, 0.3461538553237915, 0.12190812826156616, 0.3250773847103119, 0.1453831046819687, 0.21698112785816193]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.21881390593047034,0.21050340569327602,"[0.36, 0.357, 0.154, 0.114, 0.221, 0.153, 0.15]",0.2474437627811861,0.23120938417146578,"[0.493, 0.443, 0.156, 0.1, 0.211, 0.133, 0.164]",175,670,0.26119402985074625,0.98,"[0.24127426743507385, 0.16407696902751923, 0.05484515056014061, 0.11695856600999832, 0.12991215288639069, 0.19969135522842407, 0.09324133396148682]","[1.0, 0.6800433993339539, 0.2273145467042923, 0.4847535789012909, 0.5384418368339539, 0.8276529312133789, 0.38645368814468384]","[110, 115, 45, 112, 58, 154, 76]","[59, 42, 15, 9, 16, 22, 12]","[0.5363636612892151, 0.365217387676239, 0.3333333432674408, 0.0803571417927742, 0.27586206793785095, 0.1428571492433548, 0.15789473056793213]","[789, 617, 279, 678, 381, 663, 394]","[516, 243, 96, 78, 121, 96, 81]","[0.6539924144744873, 0.3938411772251129, 0.34408602118492126, 0.1150442510843277, 0.317585289478302, 0.14479638636112213, 0.20558375120162964]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2331288343558282,0.22098592936675085,"[0.347, 0.386, 0.064, 0.143, 0.312, 0.153, 0.217]",0.25357873210633947,0.24005279017167266,"[0.453, 0.457, 0.104, 0.1, 0.263, 0.167, 0.213]",203,807,0.25154894671623296,0.98,"[0.11784303933382034, 0.2661919593811035, 0.043290115892887115, 0.1696779429912567, 0.17711003124713898, 0.12775461375713348, 0.09813212603330612]","[0.44269946217536926, 1.0, 0.1626274287700653, 0.637427031993866, 0.6653470396995544, 0.4799341559410095, 0.36865171790122986]","[127, 130, 60, 148, 85, 168, 89]","[75, 38, 20, 19, 24, 16, 11]","[0.5905511975288391, 0.29230770468711853, 0.3333333432674408, 0.12837837636470795, 0.2823529541492462, 0.095238097012043, 0.12359550595283508]","[916, 747, 339, 826, 466, 831, 483]","[591, 281, 116, 97, 145, 112, 92]","[0.6451964974403381, 0.376171350479126, 0.3421829044818878, 0.11743341386318207, 0.31115880608558655, 0.13477738201618195, 0.190476194024086]"
