step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12065439672801637,0.03076120959332639,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12269938650306748,0.031225604996096803,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.42857142857142855,0.38756240309035334,"[0.3, 0.7, 0.7, 0.0, 0.6, 0.7, 0.0]",0.21267893660531698,0.17613441935562243,"[0.147, 0.214, 0.577, 0.0, 0.221, 0.271, 0.0]",0.23517382413087934,0.19738186752897416,"[0.24, 0.229, 0.61, 0.0, 0.329, 0.15, 0.0]",0,0,,0.98,"[0.11790727823972702, 0.14875519275665283, 0.15848106145858765, 0.14531013369560242, 0.14630143344402313, 0.14653220772743225, 0.1367124766111374]","[0.7439833879470825, 0.9386307001113892, 1.0, 0.9168927073478699, 0.9231477379798889, 0.9246038794517517, 0.8626423478126526]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.3142857142857143,0.21114928432001603,"[1.0, 0.0, 0.0, 0.0, 0.8, 0.3, 0.1]",0.22085889570552147,0.11078759055054051,"[0.76, 0.0, 0.0, 0.0, 0.61, 0.068, 0.0]",0.2474437627811861,0.11592716616193813,"[0.88, 0.0, 0.0, 0.0, 0.697, 0.017, 0.016]",0,0,,0.98,"[0.19128063321113586, 0.0741385892033577, 0.13552872836589813, 0.12928444147109985, 0.1779959350824356, 0.14247079193592072, 0.1493007242679596]","[1.0, 0.3875906765460968, 0.7085334658622742, 0.6758888363838196, 0.9305486679077148, 0.7448260188102722, 0.7805323600769043]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.6857142857142857,0.6159135795080496,"[0.9, 1.0, 0.1, 0.0, 0.9, 0.9, 1.0]",0.28629856850715746,0.24604448594939213,"[0.373, 0.457, 0.0, 0.029, 0.312, 0.169, 0.733]",0.3333333333333333,0.27501100821425456,"[0.587, 0.586, 0.0, 0.057, 0.224, 0.067, 0.869]",19,21,0.9047619047619048,0.98,"[0.11985275894403458, 0.15238673985004425, 0.10525273531675339, 0.14281940460205078, 0.16075988113880157, 0.12649741768836975, 0.19243083894252777]","[0.6228355169296265, 0.7919039130210876, 0.5469639897346497, 0.742185652256012, 0.8354164361953735, 0.657365620136261, 1.0]","[21, 0, 0, 0, 0, 0, 0]","[19, 0, 0, 0, 0, 0, 0]","[0.9047619104385376, nan, nan, nan, nan, nan, nan]","[21, 0, 0, 0, 0, 0, 0]","[19, 0, 0, 0, 0, 0, 0]","[0.9047619104385376, nan, nan, nan, nan, nan, nan]"
100,0.7571428571428571,0.7513187093019027,"[0.9, 1.0, 0.4, 0.7, 0.8, 1.0, 0.5]",0.278118609406953,0.24137003101609494,"[0.533, 0.471, 0.064, 0.086, 0.052, 0.678, 0.133]",0.3047034764826176,0.2762243022151118,"[0.68, 0.529, 0.052, 0.157, 0.092, 0.483, 0.164]",49,79,0.620253164556962,0.98,"[0.18859253823757172, 0.16303999722003937, 0.10051042586565018, 0.09475500881671906, 0.09890614449977875, 0.23813289403915405, 0.11606280505657196]","[0.7919633984565735, 0.6846597194671631, 0.4220770299434662, 0.397908091545105, 0.4153401255607605, 1.0, 0.48738670349121094]","[54, 19, 0, 0, 0, 5, 1]","[36, 10, 0, 0, 0, 2, 1]","[0.6666666865348816, 0.5263158082962036, nan, nan, nan, 0.4000000059604645, 1.0]","[75, 19, 0, 0, 0, 5, 1]","[55, 10, 0, 0, 0, 2, 1]","[0.7333333492279053, 0.5263158082962036, nan, nan, nan, 0.4000000059604645, 1.0]"
125,0.9142857142857143,0.9129208302140633,"[1.0, 1.0, 0.8, 0.8, 1.0, 1.0, 0.8]",0.310838445807771,0.28744970327873076,"[0.64, 0.286, 0.09, 0.057, 0.403, 0.458, 0.25]",0.37014314928425357,0.3438595593863623,"[0.787, 0.414, 0.117, 0.086, 0.5, 0.317, 0.344]",100,154,0.6493506493506493,0.98,"[0.19763189554214478, 0.1444319635629654, 0.13728995621204376, 0.09597311168909073, 0.18963360786437988, 0.17516134679317474, 0.05987789109349251]","[1.0, 0.7308130264282227, 0.694675087928772, 0.48561549186706543, 0.9595293402671814, 0.8863009810447693, 0.3029768466949463]","[90, 31, 0, 2, 3, 16, 12]","[75, 13, 0, 0, 2, 6, 4]","[0.8333333134651184, 0.4193548262119293, nan, 0.0, 0.6666666865348816, 0.375, 0.3333333432674408]","[165, 50, 0, 2, 3, 21, 13]","[130, 23, 0, 0, 2, 8, 5]","[0.7878788113594055, 0.46000000834465027, nan, 0.0, 0.6666666865348816, 0.380952388048172, 0.38461539149284363]"
150,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.33537832310838445,0.3261129522615033,"[0.373, 0.457, 0.051, 0.329, 0.312, 0.424, 0.467]",0.39059304703476483,0.3766606485194761,"[0.52, 0.514, 0.104, 0.4, 0.395, 0.25, 0.574]",151,263,0.5741444866920152,0.98,"[0.10707032680511475, 0.18949058651924133, 0.132335364818573, 0.17311017215251923, 0.12621958553791046, 0.07846158742904663, 0.19331219792366028]","[0.5538725852966309, 0.9802308678627014, 0.6845681071281433, 0.8954953551292419, 0.6529313325881958, 0.4058801829814911, 1.0]","[124, 64, 2, 11, 2, 43, 17]","[79, 41, 0, 2, 0, 17, 12]","[0.6370967626571655, 0.640625, 0.0, 0.1818181872367859, 0.0, 0.39534884691238403, 0.7058823704719543]","[289, 114, 2, 13, 5, 64, 30]","[209, 64, 0, 2, 2, 25, 17]","[0.7231833934783936, 0.5614035129547119, 0.0, 0.1538461595773697, 0.4000000059604645, 0.390625, 0.5666666626930237]"
175,0.9428571428571428,0.9420131689039252,"[1.0, 1.0, 0.9, 0.7, 1.0, 1.0, 1.0]",0.3558282208588957,0.34424026732180374,"[0.613, 0.4, 0.269, 0.057, 0.377, 0.441, 0.333]",0.38650306748466257,0.3691977506749695,"[0.667, 0.414, 0.351, 0.071, 0.513, 0.267, 0.377]",161,300,0.5366666666666666,0.98,"[0.1781417429447174, 0.12037605792284012, 0.20521901547908783, 0.12318766117095947, 0.20305809378623962, 0.08338963985443115, 0.08662763237953186]","[0.8680567145347595, 0.586573600769043, 1.0, 0.6002740859985352, 0.9894701838493347, 0.40634459257125854, 0.4221228361129761]","[109, 67, 13, 14, 10, 57, 30]","[74, 39, 5, 5, 4, 17, 17]","[0.6788991093635559, 0.5820895433425903, 0.38461539149284363, 0.3571428656578064, 0.4000000059604645, 0.2982456088066101, 0.5666666626930237]","[398, 181, 15, 27, 15, 121, 60]","[283, 103, 5, 7, 6, 42, 34]","[0.7110552787780762, 0.5690608024597168, 0.3333333432674408, 0.25925925374031067, 0.4000000059604645, 0.3471074402332306, 0.5666666626930237]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.34355828220858897,0.3239944791220739,"[0.4, 0.457, 0.026, 0.229, 0.377, 0.271, 0.717]",0.4049079754601227,0.3747694861001311,"[0.533, 0.614, 0.104, 0.329, 0.395, 0.117, 0.77]",196,361,0.5429362880886427,0.98,"[0.14577606320381165, 0.19771182537078857, 0.09312016516923904, 0.2203488051891327, 0.11017203330993652, 0.07081956416368484, 0.16205136477947235]","[0.6615695357322693, 0.8972675204277039, 0.42260345816612244, 1.0, 0.49998924136161804, 0.3213975429534912, 0.7354310750961304]","[108, 86, 11, 18, 34, 55, 49]","[73, 45, 4, 5, 11, 22, 36]","[0.6759259104728699, 0.5232558250427246, 0.3636363744735718, 0.2777777910232544, 0.3235294222831726, 0.4000000059604645, 0.7346938848495483]","[506, 267, 26, 45, 49, 176, 109]","[356, 148, 9, 12, 17, 64, 70]","[0.7035573124885559, 0.5543071031570435, 0.3461538553237915, 0.2666666805744171, 0.3469387888908386, 0.3636363744735718, 0.642201840877533]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3374233128834356,0.3452524199366609,"[0.453, 0.386, 0.346, 0.171, 0.195, 0.458, 0.383]",0.3946830265848671,0.3893465193434521,"[0.56, 0.571, 0.468, 0.2, 0.263, 0.25, 0.426]",252,533,0.4727954971857411,0.98,"[0.16828212141990662, 0.20683500170707703, 0.20894791185855865, 0.14319251477718353, 0.137227863073349, 0.07478253543376923, 0.060731884092092514]","[0.8053783178329468, 0.9898878335952759, 1.0, 0.6853024363517761, 0.6567563414573669, 0.35790038108825684, 0.29065561294555664]","[135, 108, 31, 26, 66, 101, 66]","[81, 55, 10, 12, 24, 36, 34]","[0.6000000238418579, 0.5092592835426331, 0.32258063554763794, 0.4615384638309479, 0.3636363744735718, 0.3564356565475464, 0.5151515007019043]","[641, 375, 57, 71, 115, 277, 175]","[437, 203, 19, 24, 41, 100, 104]","[0.6817472577095032, 0.5413333177566528, 0.3333333432674408, 0.3380281627178192, 0.35652172565460205, 0.3610108196735382, 0.5942857265472412]"
