step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.20642978003384094,0.06844319775596072,"[0.0, 0.0, 0.0, 1.0, 0.0, nan, nan]",0.042505592841163314,0.011649294911097488,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
5,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.20642978003384094,0.06853932584269662,"[0.0, 0.0, 0.0, 1.0, 0.0, nan, nan]",0.042505592841163314,0.011750154607297465,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0,,0.7,"[0.12848882377147675, 0.1326976716518402, 0.162991002202034, 0.17132048308849335, 0.15463165938854218, 0.1136709451675415, 0.1361992359161377]","[0.7499909996986389, 0.7745581269264221, 0.951380729675293, 1.0, 0.9025871157646179, 0.6634988784790039, 0.7949967980384827]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
10,0.14285714285714285,0.03861003861003861,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.2098138747884941,0.0884134425718139,"[0.0, 0.0, 0.064, 0.951, 0.0, nan, nan]",0.042505592841163314,0.01467875556482574,"[0.0, 0.0, 0.014, 0.947, 0.0, 0.0, 0.0]",0,0,,0.7,"[0.13165873289108276, 0.12880255281925201, 0.15736310184001923, 0.1696312427520752, 0.15202151238918304, 0.1218816488981247, 0.13864104449748993]","[0.7761467099189758, 0.7593091130256653, 0.927677571773529, 1.0, 0.8961881399154663, 0.7185094356536865, 0.8173084259033203]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
15,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.20135363790186125,0.06761363636363636,"[0.0, 0.0, 0.0, 0.975, 0.0, nan, nan]",0.042505592841163314,0.011775643012085528,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0,,0.7,"[0.1345418095588684, 0.13378646969795227, 0.1513638198375702, 0.1626993864774704, 0.1464472860097885, 0.12780600786209106, 0.14335501194000244]","[0.8269349336624146, 0.8222923874855042, 0.9303281307220459, 1.0, 0.9001096487045288, 0.785534679889679, 0.8811035752296448]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
20,0.17142857142857143,0.08730158730158731,"[0.0, 0.0, 0.0, 1.0, 0.2, 0.0, 0.0]",0.2436548223350254,0.127158095871829,"[0.0, 0.0, 0.128, 0.811, 0.173, nan, 0.0]",0.06935123042505593,0.04336400747249706,"[0.0, 0.0, 0.043, 0.842, 0.118, 0.0, 0.0]",0,0,,0.7,"[0.12872447073459625, 0.13565778732299805, 0.15021197497844696, 0.15589509904384613, 0.1491512954235077, 0.13628852367401123, 0.14407068490982056]","[0.8257120847702026, 0.8701863288879395, 0.9635452032089233, 1.0, 0.9567413926124573, 0.8742322325706482, 0.9241514801979065]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.2857142857142857,0.17910660767803624,"[0.0, 0.0, 0.0, 0.8, 0.6, 0.0, 0.6]",0.2098138747884941,0.11452775914671147,"[0.0, 0.0, 0.12, 0.467, 0.31, 0.0, 0.0]",0.0738255033557047,0.0481604757261749,"[0.0, 0.0, 0.014, 0.316, 0.255, 0.0, 0.0]",0,0,,0.7,"[0.12735281884670258, 0.13508334755897522, 0.14639610052108765, 0.1499495506286621, 0.15027949213981628, 0.13554179668426514, 0.1553966999053955]","[0.8195335865020752, 0.8692806959152222, 0.9420798420906067, 0.9649468064308167, 0.9670700430870056, 0.8722308278083801, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
30,0.22857142857142856,0.1712685074029612,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 1.0]",0.02030456852791878,0.02130913243497822,"[0.0, 0.0, 0.048, 0.008, 0.03, 0.0, 0.0]",0.03131991051454139,0.040103173185783283,"[0.0, 0.0, 0.0, 0.158, 0.049, 0.006, 0.833]",0,0,,0.7,"[0.11832484602928162, 0.12723663449287415, 0.1419396996498108, 0.15698210895061493, 0.1449674367904663, 0.14369307458400726, 0.16685599088668823]","[0.7091435194015503, 0.7625535726547241, 0.8506718873977661, 0.9408239126205444, 0.8688176870346069, 0.8611801862716675, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
35,0.2857142857142857,0.22448979591836737,"[0.4, 0.0, 0.0, 0.0, 0.4, 0.2, 1.0]",0.05414551607445008,0.046891298454865823,"[0.034, 0.0, 0.04, 0.008, 0.143, 0.0, 0.0]",0.05592841163310962,0.047421382167137774,"[0.0, 0.0, 0.0, 0.053, 0.186, 0.012, 0.5]",0,0,,0.7,"[0.11493012309074402, 0.12339482456445694, 0.14338774979114532, 0.15350793302059174, 0.15109233558177948, 0.14088943600654602, 0.17279741168022156]","[0.6651148200035095, 0.7141011357307434, 0.8298026323318481, 0.8883693814277649, 0.8743900656700134, 0.8153445720672607, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
40,0.42857142857142855,0.4158352229780801,"[0.6, 0.4, 0.2, 0.0, 0.6, 0.2, 1.0]",0.10829103214890017,0.112438960783756,"[0.172, 0.034, 0.16, 0.008, 0.173, 0.0, 0.0]",0.06263982102908278,0.06507942008250335,"[0.017, 0.0, 0.014, 0.105, 0.176, 0.024, 0.333]",0,0,,0.7,"[0.11078641563653946, 0.12124917656183243, 0.1426263153553009, 0.15915384888648987, 0.1476246863603592, 0.1422688364982605, 0.17629055678844452]","[0.6284307837486267, 0.6877803206443787, 0.8090411424636841, 0.9027928113937378, 0.8373941779136658, 0.8070133924484253, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
45,0.5714285714285714,0.5864954594277901,"[0.6, 0.6, 0.6, 0.4, 0.8, 0.2, 0.8]",0.16243654822335024,0.14158836067883976,"[0.172, 0.059, 0.2, 0.074, 0.268, 0.0, 0.0]",0.10067114093959731,0.07787343245642173,"[0.033, 0.0, 0.029, 0.105, 0.275, 0.061, 0.167]",0,0,,0.7,"[0.11139525473117828, 0.12313366681337357, 0.14934666454792023, 0.15418115258216858, 0.15238553285598755, 0.1436029076576233, 0.1659546047449112]","[0.6712393164634705, 0.7419719696044922, 0.8999248147010803, 0.9290561676025391, 0.918236255645752, 0.8653143644332886, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.6285714285714286,0.6372603586889302,"[0.8, 0.6, 0.8, 0.4, 0.6, 0.4, 0.8]",0.1116751269035533,0.10286321723523681,"[0.207, 0.11, 0.184, 0.041, 0.077, 0.0, 0.0]",0.10961968680089486,0.10214499403624336,"[0.15, 0.074, 0.072, 0.053, 0.108, 0.122, 0.167]",0,0,,0.7,"[0.11792273074388504, 0.13221639394760132, 0.14952100813388824, 0.14428655803203583, 0.14654399454593658, 0.1537633240222931, 0.15574581921100616]","[0.7571486234664917, 0.8489242196083069, 0.9600322246551514, 0.9264233112335205, 0.9409176707267761, 0.9872709512710571, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
55,0.6857142857142857,0.6880952380952381,"[0.8, 0.8, 0.6, 0.8, 0.8, 0.4, 0.6]",0.14382402707275804,0.12062014946823799,"[0.207, 0.169, 0.16, 0.205, 0.048, 0.0, 0.0]",0.09843400447427293,0.09668103450292306,"[0.167, 0.111, 0.029, 0.105, 0.108, 0.091, 0.167]",0,0,,0.7,"[0.12285372614860535, 0.13469895720481873, 0.14876128733158112, 0.1468503773212433, 0.14937815070152283, 0.14650894701480865, 0.1509484052658081]","[0.8138789534568787, 0.892350971698761, 0.9855108261108398, 0.9728514552116394, 0.9895973801612854, 0.9705895781517029, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
60,0.5714285714285714,0.5702123273551846,"[0.8, 0.6, 0.4, 0.8, 0.8, 0.4, 0.2]",0.13705583756345177,0.11309901762489545,"[0.207, 0.203, 0.08, 0.254, 0.024, 0.0, 0.0]",0.11409395973154363,0.09916192011699518,"[0.167, 0.074, 0.029, 0.105, 0.059, 0.171, 0.167]",0,0,,0.7,"[0.118467316031456, 0.13432490825653076, 0.14396615326404572, 0.15180912613868713, 0.14815647900104523, 0.1562196910381317, 0.14705614745616913]","[0.7583379149436951, 0.8598461747169495, 0.921562135219574, 0.9717668890953064, 0.9483854174613953, 1.0, 0.9413419365882874]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
65,0.6571428571428571,0.6654631083202512,"[0.8, 0.8, 0.4, 0.6, 0.6, 0.6, 0.8]",0.11844331641285956,0.09599058080831699,"[0.207, 0.305, 0.072, 0.098, 0.006, 0.0, 0.0]",0.10738255033557047,0.0898553524865865,"[0.2, 0.111, 0.0, 0.053, 0.029, 0.171, 0.167]",0,0,,0.7,"[0.1299619972705841, 0.1459028124809265, 0.14264936745166779, 0.13325849175453186, 0.1427120715379715, 0.15427565574645996, 0.15123938024044037]","[0.8424012064933777, 0.9457280039787292, 0.9246395230293274, 0.8637687563896179, 0.9250459671020508, 1.0, 0.9803191423416138]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
