step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.12065439672801637,0.03076120959332639,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.15132924335378323,0.09280610878727143,0.42857142857142855,0.3095238095238095,0,0,,0.98,"[0.0, 0.333, 0.0, 0.0, 1.0, 0.667, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.234, 0.407, 0.533]","[0.12583698332309723, 0.13570526242256165, 0.1334507316350937, 0.13108453154563904, 0.155091792345047, 0.1636340171098709, 0.1551964432001114]","[0.769014835357666, 0.8293218016624451, 0.8155439496040344, 0.8010836243629456, 0.9477967619895935, 1.0, 0.9484363198280334]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.28016359918200406,0.26442957745573625,0.8571428571428571,0.8438775510204081,2,2,1.0,0.98,"[1.0, 1.0, 0.333, 1.0, 1.0, 0.667, 1.0]","[0.32, 0.157, 0.064, 0.357, 0.455, 0.119, 0.5]","[0.11487729847431183, 0.08852212131023407, 0.1410359889268875, 0.160350501537323, 0.2012391835451126, 0.14480945467948914, 0.14916519820690155]","[0.5708495378494263, 0.43988510966300964, 0.7008376121520996, 0.7968155145645142, 1.0, 0.7195887565612793, 0.7412333488464355]","[0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1]","[nan, 1.0, nan, nan, nan, nan, 1.0]","[0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 1]","[nan, 1.0, nan, nan, nan, nan, 1.0]"
75,0.25971370143149286,0.24374474587294775,1.0,1.0,94,195,0.48205128205128206,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.427, 0.271, 0.128, 0.343, 0.195, 0.017, 0.433]","[0.26211145520210266, 0.12223244458436966, 0.12868574261665344, 0.1987883299589157, 0.08400459587574005, 0.07920130342245102, 0.12497590482234955]","[1.0, 0.4663376808166504, 0.4909580945968628, 0.7584114670753479, 0.32049188017845154, 0.30216652154922485, 0.4768044352531433]","[51, 55, 7, 20, 21, 7, 34]","[40, 22, 2, 2, 4, 2, 22]","[0.7843137383460999, 0.4000000059604645, 0.2857142984867096, 0.10000000149011612, 0.190476194024086, 0.2857142984867096, 0.6470588445663452]","[51, 56, 7, 20, 21, 7, 35]","[40, 23, 2, 2, 4, 2, 23]","[0.7843137383460999, 0.4107142984867096, 0.2857142984867096, 0.10000000149011612, 0.190476194024086, 0.2857142984867096, 0.6571428775787354]"
100,0.3006134969325153,0.2947622734367413,1.0,1.0,176,480,0.36666666666666664,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.36, 0.357, 0.038, 0.286, 0.351, 0.254, 0.5]","[0.1623779833316803, 0.1776474118232727, 0.07266591489315033, 0.14276090264320374, 0.17353959381580353, 0.12002972513437271, 0.1509782373905182]","[0.9140464067459106, 1.0, 0.4090457260608673, 0.803619384765625, 0.9768765568733215, 0.6756626963615417, 0.849875807762146]","[66, 83, 56, 79, 54, 33, 109]","[31, 39, 2, 14, 18, 5, 67]","[0.469696968793869, 0.46987950801849365, 0.0357142873108387, 0.17721518874168396, 0.3333333432674408, 0.1515151560306549, 0.6146789193153381]","[117, 139, 63, 99, 75, 40, 144]","[71, 62, 4, 16, 22, 7, 90]","[0.6068376302719116, 0.4460431635379791, 0.0634920671582222, 0.16161616146564484, 0.2933333218097687, 0.17499999701976776, 0.625]"
125,0.26380368098159507,0.2559419288818025,1.0,1.0,204,624,0.3269230769230769,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.413, 0.229, 0.167, 0.271, 0.195, 0.119, 0.467]","[0.2161802053451538, 0.16258518397808075, 0.12245845794677734, 0.175724595785141, 0.09062737971544266, 0.08020506054162979, 0.15221889317035675]","[1.0, 0.7520817518234253, 0.5664647221565247, 0.8128616213798523, 0.4192214608192444, 0.3710101842880249, 0.7041296362876892]","[84, 91, 114, 104, 68, 48, 115]","[45, 35, 14, 24, 16, 13, 57]","[0.5357142686843872, 0.38461539149284363, 0.12280701845884323, 0.23076923191547394, 0.23529411852359772, 0.2708333432674408, 0.4956521689891815]","[201, 230, 177, 203, 143, 88, 259]","[116, 97, 18, 40, 38, 20, 147]","[0.5771144032478333, 0.4217391312122345, 0.10169491171836853, 0.19704432785511017, 0.2657342553138733, 0.22727273404598236, 0.5675675868988037]"
150,0.2331288343558282,0.22821870653966284,1.0,1.0,212,745,0.28456375838926173,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.307, 0.214, 0.141, 0.286, 0.169, 0.119, 0.417]","[0.1856059432029724, 0.12453154474496841, 0.1698172688484192, 0.14029887318611145, 0.09423656761646271, 0.11928731948137283, 0.1662222445011139]","[1.0, 0.6709458827972412, 0.9149344563484192, 0.7558964490890503, 0.507723867893219, 0.6426912546157837, 0.8955653309822083]","[106, 89, 113, 154, 88, 60, 135]","[56, 37, 13, 29, 24, 15, 38]","[0.5283018946647644, 0.4157303273677826, 0.1150442510843277, 0.18831168115139008, 0.27272728085517883, 0.25, 0.28148147463798523]","[307, 319, 290, 357, 231, 148, 394]","[172, 134, 31, 69, 62, 35, 185]","[0.5602605938911438, 0.42006269097328186, 0.1068965494632721, 0.19327731430530548, 0.268398255109787, 0.23648647964000702, 0.4695431590080261]"
175,0.2310838445807771,0.22854017925859763,1.0,1.0,242,921,0.26275787187839306,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.293, 0.286, 0.09, 0.286, 0.208, 0.136, 0.333]","[0.1485026478767395, 0.10666518658399582, 0.13159464299678802, 0.22528257966041565, 0.12659399211406708, 0.09555897861719131, 0.16580171883106232]","[0.659183919429779, 0.47347286343574524, 0.5841314792633057, 1.0, 0.561934232711792, 0.42417386174201965, 0.7359722256660461]","[95, 163, 143, 183, 98, 53, 186]","[46, 74, 16, 30, 27, 19, 30]","[0.4842105209827423, 0.453987717628479, 0.1118881106376648, 0.16393442451953888, 0.27551019191741943, 0.35849055647850037, 0.16129031777381897]","[402, 482, 433, 540, 329, 201, 580]","[218, 208, 47, 99, 89, 54, 215]","[0.5422885417938232, 0.4315352737903595, 0.10854503512382507, 0.18333333730697632, 0.2705167233943939, 0.26865673065185547, 0.37068966031074524]"
200,0.2167689161554192,0.20716571587063723,1.0,1.0,223,911,0.24478594950603733,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.293, 0.243, 0.0, 0.3, 0.234, 0.203, 0.267]","[0.17863363027572632, 0.1003725677728653, 0.10207849740982056, 0.17124228179454803, 0.13076820969581604, 0.15501047670841217, 0.1618940234184265]","[1.0, 0.5618906617164612, 0.5714405179023743, 0.9586228728294373, 0.7320469617843628, 0.8677564263343811, 0.9062908291816711]","[101, 130, 129, 163, 130, 70, 188]","[43, 51, 17, 32, 29, 22, 29]","[0.42574256658554077, 0.39230769872665405, 0.13178294897079468, 0.19631901383399963, 0.2230769246816635, 0.3142857253551483, 0.15425531566143036]","[503, 612, 562, 703, 459, 271, 768]","[261, 259, 64, 131, 118, 76, 244]","[0.5188866853713989, 0.42320260405540466, 0.1138790026307106, 0.1863442361354828, 0.257080614566803, 0.2804428040981293, 0.3177083432674408]"
225,0.22903885480572597,0.20866716414627046,1.0,1.0,228,867,0.2629757785467128,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.307, 0.329, 0.09, 0.286, 0.195, 0.017, 0.383]","[0.1558091938495636, 0.16889959573745728, 0.07721506059169769, 0.1772489845752716, 0.10037045180797577, 0.034144263714551926, 0.28631219267845154]","[0.5441933870315552, 0.589914083480835, 0.26968833804130554, 0.6190758943557739, 0.3505629599094391, 0.11925536394119263, 1.0]","[94, 141, 112, 212, 110, 30, 168]","[43, 69, 12, 40, 23, 7, 34]","[0.457446813583374, 0.4893617033958435, 0.1071428582072258, 0.18867924809455872, 0.20909090340137482, 0.23333333432674408, 0.2023809552192688]","[597, 753, 674, 915, 569, 301, 936]","[304, 328, 76, 171, 141, 83, 278]","[0.5092127323150635, 0.4355909824371338, 0.11275964230298996, 0.18688525259494781, 0.24780316650867462, 0.27574750781059265, 0.29700854420661926]"
