step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16561844863731656,0.040596094552929084,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.2431865828092243,0.16754717525535232,0.3,0.22303703805581154,0,0,,0.98,"[0.9, 0.0, 0.4, 0.4, 0.0, 0.4, 0.0]","[0.818, 0.0, 0.253, 0.177, 0.0, 0.31, 0.0]","[0.15255232155323029, 0.1429368555545807, 0.1479271799325943, 0.14855416119098663, 0.1415860652923584, 0.1406564563512802, 0.1257867068052292]","[1.0, 0.9369693994522095, 0.9696816205978394, 0.9737915396690369, 0.9281147718429565, 0.9220210909843445, 0.8245479464530945]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.23270440251572327,0.12466269465511938,0.32857142857142857,0.22558018422680076,0,0,,0.98,"[1.0, 0.1, 0.0, 0.0, 0.0, 0.8, 0.4]","[0.779, 0.0, 0.0, 0.0, 0.031, 0.793, 0.06]","[0.16776996850967407, 0.13705332577228546, 0.13413946330547333, 0.13213784992694855, 0.1434522271156311, 0.14868566393852234, 0.13676124811172485]","[1.0, 0.8169121742248535, 0.7995439767837524, 0.7876132726669312, 0.8550530672073364, 0.8862472176551819, 0.8151711821556091]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.3165618448637317,0.2965080666608134,0.6,0.5480933150762372,6,7,0.8571428571428571,0.98,"[0.9, 0.3, 0.5, 0.0, 0.8, 0.7, 1.0]","[0.623, 0.323, 0.072, 0.0, 0.431, 0.362, 0.54]","[0.20748081803321838, 0.13264234364032745, 0.12710991501808167, 0.10044573992490768, 0.15794390439987183, 0.11268338561058044, 0.16169370710849762]","[1.0, 0.6392993330955505, 0.612634539604187, 0.48412060737609863, 0.7612457871437073, 0.5431026816368103, 0.7793188095092773]","[7, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0, 0]","[0.8571428656578064, nan, nan, nan, nan, nan, nan]","[7, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 0, 0, 0]","[0.8571428656578064, nan, nan, nan, nan, nan, nan]"
100,0.33962264150943394,0.3037963761063,0.8142857142857143,0.8072510822510822,42,65,0.6461538461538462,0.98,"[1.0, 0.9, 0.6, 0.7, 0.5, 1.0, 1.0]","[0.649, 0.523, 0.024, 0.165, 0.092, 0.69, 0.34]","[0.22621355950832367, 0.1397426426410675, 0.07824673503637314, 0.10751798003911972, 0.12254329770803452, 0.17753401398658752, 0.14820145070552826]","[1.0, 0.6177465319633484, 0.3458976447582245, 0.4752941429615021, 0.5417150855064392, 0.7848071455955505, 0.6551395654678345]","[25, 15, 0, 0, 0, 25, 0]","[17, 12, 0, 0, 0, 13, 0]","[0.6800000071525574, 0.800000011920929, nan, nan, nan, 0.5199999809265137, nan]","[32, 15, 0, 0, 0, 25, 0]","[23, 12, 0, 0, 0, 13, 0]","[0.71875, 0.800000011920929, nan, nan, nan, 0.5199999809265137, nan]"
125,0.35639412997903563,0.33452829151144126,0.9285714285714286,0.9274951447883779,133,259,0.5135135135135135,0.98,"[0.9, 1.0, 1.0, 0.8, 0.8, 1.0, 1.0]","[0.377, 0.785, 0.193, 0.203, 0.123, 0.638, 0.26]","[0.12418989837169647, 0.15413087606430054, 0.12288693338632584, 0.1266726404428482, 0.1131889671087265, 0.22383886575698853, 0.1350916177034378]","[0.5548182725906372, 0.6885796189308167, 0.5489972829818726, 0.5659099221229553, 0.5056716203689575, 1.0, 0.6035217046737671]","[77, 51, 6, 12, 15, 69, 29]","[51, 35, 0, 3, 4, 32, 8]","[0.6623376607894897, 0.686274528503418, 0.0, 0.25, 0.2666666805744171, 0.4637681245803833, 0.27586206793785095]","[109, 66, 6, 12, 15, 94, 29]","[74, 47, 0, 3, 4, 45, 8]","[0.6788991093635559, 0.7121211886405945, 0.0, 0.25, 0.2666666805744171, 0.478723406791687, 0.27586206793785095]"
150,0.36477987421383645,0.35905227100202397,0.9571428571428572,0.9562000238691969,244,557,0.4380610412926391,0.98,"[0.9, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]","[0.455, 0.6, 0.193, 0.203, 0.262, 0.603, 0.32]","[0.0806545540690422, 0.1453571766614914, 0.1349898874759674, 0.06710294634103775, 0.15071432292461395, 0.2556113004684448, 0.16556958854198456]","[0.3155359625816345, 0.5686649084091187, 0.5281060934066772, 0.2625194787979126, 0.5896230936050415, 1.0, 0.6477397084236145]","[143, 106, 39, 55, 62, 78, 74]","[79, 55, 12, 28, 18, 37, 15]","[0.5524475574493408, 0.5188679099082947, 0.3076923191547394, 0.5090909004211426, 0.29032257199287415, 0.4743589758872986, 0.20270270109176636]","[252, 172, 45, 67, 77, 172, 103]","[153, 102, 12, 31, 22, 82, 23]","[0.6071428656578064, 0.5930232405662537, 0.2666666805744171, 0.46268656849861145, 0.2857142984867096, 0.4767441749572754, 0.223300963640213]"
175,0.3752620545073375,0.371365561596065,1.0,1.0,365,849,0.4299175500588928,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.532, 0.492, 0.157, 0.329, 0.292, 0.586, 0.28]","[0.1720634400844574, 0.16454249620437622, 0.13448376953601837, 0.08664224296808243, 0.14123085141181946, 0.17807772755622864, 0.1229591816663742]","[0.9662266373634338, 0.9239925742149353, 0.7551970481872559, 0.4865417182445526, 0.7930854558944702, 1.0, 0.6904804110527039]","[163, 153, 89, 115, 88, 124, 117]","[98, 93, 25, 44, 13, 55, 37]","[0.6012269854545593, 0.6078431606292725, 0.2808988690376282, 0.38260868191719055, 0.14772726595401764, 0.44354838132858276, 0.3162393271923065]","[415, 325, 134, 182, 165, 296, 220]","[251, 195, 37, 75, 35, 137, 60]","[0.6048192977905273, 0.6000000238418579, 0.2761194109916687, 0.41208791732788086, 0.21212121844291687, 0.4628378450870514, 0.27272728085517883]"
200,0.3836477987421384,0.3836869241073166,1.0,1.0,373,851,0.4383078730904818,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.532, 0.523, 0.241, 0.342, 0.246, 0.466, 0.36]","[0.13533657789230347, 0.2127177119255066, 0.19458125531673431, 0.11099902540445328, 0.06786330789327621, 0.08000420778989792, 0.19849763810634613]","[0.6362261772155762, 1.0, 0.9147393107414246, 0.5218137502670288, 0.31902989745140076, 0.37610507011413574, 0.9331504702568054]","[190, 144, 77, 134, 96, 103, 107]","[115, 81, 23, 49, 28, 49, 28]","[0.6052631735801697, 0.5625, 0.29870128631591797, 0.36567163467407227, 0.2916666567325592, 0.4757281541824341, 0.2616822421550751]","[605, 469, 211, 316, 261, 399, 327]","[366, 276, 60, 124, 63, 186, 88]","[0.6049586534500122, 0.5884861350059509, 0.28436020016670227, 0.39240506291389465, 0.24137930572032928, 0.4661654233932495, 0.269113153219223]"
225,0.3480083857442348,0.349801312152458,0.9714285714285714,0.9719753930280247,413,987,0.41843971631205673,0.98,"[0.9, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0]","[0.325, 0.585, 0.229, 0.203, 0.262, 0.586, 0.34]","[0.08310212194919586, 0.15044793486595154, 0.1800987422466278, 0.08980537205934525, 0.12823240458965302, 0.2045278400182724, 0.16378536820411682]","[0.4063120186328888, 0.7355865836143494, 0.8805585503578186, 0.43908628821372986, 0.6269679665565491, 1.0, 0.8007974028587341]","[201, 176, 104, 144, 116, 118, 128]","[129, 90, 27, 54, 19, 60, 34]","[0.641791045665741, 0.5113636255264282, 0.25961539149284363, 0.375, 0.16379310190677643, 0.508474588394165, 0.265625]","[806, 645, 315, 460, 377, 517, 455]","[495, 366, 87, 178, 82, 246, 122]","[0.6141439080238342, 0.5674418807029724, 0.27619048953056335, 0.38695651292800903, 0.21750663220882416, 0.4758220613002777, 0.26813188195228577]"
