step,acc_train,f1_train,loss_train,cw_acc_train,acc_val,f1_val,loss_val,cw_acc_val,acc_test,f1_test,loss_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,1.9460163116455078,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12065439672801637,0.03076120959332639,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12269938650306748,0.031225604996096803,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.42857142857142855,0.2952380952380952,1.9094088077545166,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]",0.25766871165644173,0.19053301973113543,0.0,"[0.293, 0.729, 0.051, 0.029, 0.026, 0.017, 0.733]",0.2822085889570552,0.2084956341534996,0.0,"[0.427, 0.714, 0.039, 0.014, 0.053, 0.0, 0.787]",0,0,,0.98,"[0.13797253370285034, 0.16332511603832245, 0.1538630574941635, 0.1345236599445343, 0.11809677630662918, 0.14427077770233154, 0.14794787764549255]","[0.8447722792625427, 1.0, 0.9420661330223083, 0.8236556649208069, 0.7230778932571411, 0.8833349347114563, 0.9058489203453064]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.8571428571428571,0.8095238095238095,1.6704206466674805,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0.2658486707566462,0.21608239396411122,0.0,"[0.293, 0.729, 0.0, 0.057, 0.013, 0.305, 0.567]",0.2985685071574642,0.2458340149267227,0.0,"[0.387, 0.757, 0.013, 0.029, 0.053, 0.283, 0.656]",18,26,0.6923076923076923,0.98,"[0.0929846540093422, 0.2165365219116211, 0.07329606264829636, 0.10534719377756119, 0.07048457115888596, 0.21383556723594666, 0.22751522064208984]","[0.40869641304016113, 0.9517452120780945, 0.32215893268585205, 0.46303361654281616, 0.3098015785217285, 0.9398736953735352, 1.0]","[7, 9, 0, 1, 4, 0, 5]","[4, 9, 0, 0, 0, 0, 5]","[0.5714285969734192, 1.0, nan, 0.0, 0.0, nan, 1.0]","[7, 9, 0, 1, 4, 0, 5]","[4, 9, 0, 0, 0, 0, 5]","[0.5714285969734192, 1.0, nan, 0.0, 0.0, nan, 1.0]"
75,1.0,1.0,1.4441858530044556,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.26993865030674846,0.2577888714333091,0.0,"[0.413, 0.271, 0.026, 0.129, 0.117, 0.61, 0.433]",0.32515337423312884,0.31641063368756756,0.0,"[0.493, 0.314, 0.013, 0.214, 0.303, 0.433, 0.574]",147,328,0.4481707317073171,0.98,"[0.11580629646778107, 0.07305680215358734, 0.10955047607421875, 0.15618905425071716, 0.2372865080833435, 0.1847555786371231, 0.12335513532161713]","[0.4880441725254059, 0.3078843355178833, 0.46168017387390137, 0.6582298278808594, 1.0, 0.7786181569099426, 0.5198573470115662]","[56, 64, 27, 30, 55, 33, 63]","[29, 28, 8, 7, 14, 16, 45]","[0.5178571343421936, 0.4375, 0.29629629850387573, 0.23333333432674408, 0.2545454502105713, 0.4848484992980957, 0.7142857313156128]","[63, 73, 27, 31, 59, 33, 68]","[33, 37, 8, 7, 14, 16, 50]","[0.523809552192688, 0.5068492889404297, 0.29629629850387573, 0.22580644488334656, 0.23728813230991364, 0.4848484992980957, 0.7352941036224365]"
100,1.0,1.0,1.3397899866104126,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3067484662576687,0.3011252765957127,0.0,"[0.453, 0.157, 0.295, 0.286, 0.273, 0.136, 0.55]",0.3660531697341513,0.3474216028829939,0.0,"[0.56, 0.157, 0.325, 0.329, 0.461, 0.083, 0.623]",194,475,0.40842105263157896,0.98,"[0.14208316802978516, 0.055190905928611755, 0.22161613404750824, 0.18354427814483643, 0.13471481204032898, 0.07711292803287506, 0.18573758006095886]","[0.6411228775978088, 0.24903830885887146, 1.0, 0.8282080888748169, 0.6078745722770691, 0.34795719385147095, 0.8381049633026123]","[63, 81, 46, 64, 65, 38, 118]","[34, 36, 10, 17, 22, 11, 64]","[0.5396825671195984, 0.4444444477558136, 0.21739129722118378, 0.265625, 0.3384615480899811, 0.28947368264198303, 0.5423728823661804]","[126, 154, 73, 95, 124, 71, 186]","[67, 73, 18, 24, 36, 27, 114]","[0.5317460298538208, 0.4740259647369385, 0.24657534062862396, 0.2526315748691559, 0.29032257199287415, 0.3802816867828369, 0.6129032373428345]"
125,1.0,1.0,1.2405894994735718,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3067484662576687,0.27861791180655227,0.0,"[0.52, 0.586, 0.038, 0.157, 0.052, 0.424, 0.45]",0.3394683026584867,0.30399091659852245,0.0,"[0.627, 0.657, 0.026, 0.229, 0.092, 0.267, 0.525]",199,453,0.4392935982339956,0.98,"[0.18733614683151245, 0.16705574095249176, 0.068803571164608, 0.12902158498764038, 0.09704843908548355, 0.22161665558815002, 0.12911763787269592]","[0.8453161716461182, 0.7538049817085266, 0.310462087392807, 0.5821835994720459, 0.4379113018512726, 1.0, 0.5826170444488525]","[45, 88, 44, 65, 97, 25, 89]","[26, 45, 9, 18, 27, 14, 60]","[0.5777778029441833, 0.5113636255264282, 0.20454545319080353, 0.2769230902194977, 0.27835050225257874, 0.5600000023841858, 0.6741573214530945]","[171, 242, 117, 160, 221, 96, 275]","[93, 118, 27, 42, 63, 41, 174]","[0.5438596606254578, 0.4876033067703247, 0.23076923191547394, 0.26249998807907104, 0.2850678861141205, 0.4270833432674408, 0.6327272653579712]"
150,1.0,1.0,1.2192631959915161,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3231083844580777,0.31940219022473854,0.0,"[0.573, 0.414, 0.231, 0.214, 0.065, 0.305, 0.5]",0.3783231083844581,0.3670217039726896,0.0,"[0.667, 0.5, 0.273, 0.343, 0.118, 0.167, 0.59]",240,531,0.4519774011299435,0.98,"[0.29995638132095337, 0.1663307249546051, 0.0943734347820282, 0.11405665427446365, 0.07966452091932297, 0.1527019888162613, 0.09291606396436691]","[1.0, 0.5545163750648499, 0.3146238625049591, 0.3802441358566284, 0.2655870318412781, 0.5090806484222412, 0.3097652494907379]","[59, 93, 52, 76, 84, 49, 118]","[26, 52, 16, 26, 25, 21, 74]","[0.4406779706478119, 0.5591397881507874, 0.3076923191547394, 0.34210526943206787, 0.2976190447807312, 0.4285714328289032, 0.6271186470985413]","[230, 335, 169, 236, 305, 145, 393]","[119, 170, 43, 68, 88, 62, 248]","[0.5173913240432739, 0.5074626803398132, 0.2544378638267517, 0.2881355881690979, 0.2885245978832245, 0.4275861978530884, 0.6310432553291321]"
175,1.0,1.0,1.2132939100265503,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.34355828220858897,0.3287823348991764,0.0,"[0.587, 0.2, 0.154, 0.371, 0.052, 0.542, 0.6]",0.36809815950920244,0.3580371137146915,0.0,"[0.693, 0.229, 0.156, 0.514, 0.145, 0.25, 0.623]",259,538,0.48141263940520446,0.98,"[0.18875762820243835, 0.08750347793102264, 0.10136967152357101, 0.271261990070343, 0.11137628555297852, 0.15926389396190643, 0.0804668664932251]","[0.6958498954772949, 0.32257920503616333, 0.37369656562805176, 1.0, 0.4105856716632843, 0.5871220231056213, 0.29663893580436707]","[55, 83, 72, 83, 80, 50, 115]","[38, 51, 28, 17, 19, 19, 87]","[0.6909090876579285, 0.6144578456878662, 0.3888888955116272, 0.20481927692890167, 0.23749999701976776, 0.3799999952316284, 0.7565217614173889]","[285, 418, 241, 319, 385, 195, 508]","[157, 221, 71, 85, 107, 81, 335]","[0.5508772134780884, 0.5287081599235535, 0.2946058213710785, 0.2664576768875122, 0.2779220640659332, 0.4153846204280853, 0.6594488024711609]"
200,1.0,1.0,1.1949621438980103,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.35787321063394684,0.354887829494006,0.0,"[0.587, 0.271, 0.115, 0.171, 0.312, 0.576, 0.55]",0.39059304703476483,0.3859306017602746,0.0,"[0.68, 0.3, 0.208, 0.286, 0.408, 0.233, 0.623]",277,606,0.4570957095709571,0.98,"[0.14169102907180786, 0.0926373228430748, 0.09261194616556168, 0.11462999880313873, 0.215901717543602, 0.2091379463672638, 0.13338983058929443]","[0.6562755703926086, 0.42907172441482544, 0.42895418405532837, 0.5309360027313232, 1.0, 0.968671977519989, 0.6178266406059265]","[81, 104, 50, 121, 95, 42, 113]","[55, 55, 13, 24, 27, 16, 87]","[0.6790123581886292, 0.5288461446762085, 0.25999999046325684, 0.19834710657596588, 0.28421053290367126, 0.380952388048172, 0.769911527633667]","[366, 522, 291, 440, 480, 237, 621]","[212, 276, 84, 109, 134, 97, 422]","[0.5792349576950073, 0.5287356376647949, 0.2886597812175751, 0.24772727489471436, 0.27916666865348816, 0.40928271412849426, 0.6795490980148315]"
225,1.0,1.0,1.2962796688079834,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.32515337423312884,0.3115022596445738,0.0,"[0.707, 0.229, 0.141, 0.057, 0.208, 0.475, 0.517]",0.35173824130879344,0.3330807114954378,0.0,"[0.76, 0.271, 0.195, 0.043, 0.316, 0.3, 0.59]",290,665,0.43609022556390975,0.98,"[0.26374635100364685, 0.07438141107559204, 0.11508165299892426, 0.07290870696306229, 0.17572778463363647, 0.19695186614990234, 0.10120196640491486]","[1.0, 0.2820187211036682, 0.4363345801830292, 0.27643492817878723, 0.666275680065155, 0.7467472553253174, 0.38370946049690247]","[50, 131, 70, 114, 120, 70, 110]","[34, 68, 22, 32, 34, 22, 78]","[0.6800000071525574, 0.5190839767456055, 0.3142857253551483, 0.28070175647735596, 0.28333333134651184, 0.3142857253551483, 0.7090908885002136]","[416, 653, 361, 554, 600, 307, 731]","[246, 344, 106, 141, 168, 119, 500]","[0.5913461446762085, 0.5267993807792664, 0.2936288118362427, 0.25451263785362244, 0.2800000011920929, 0.3876221477985382, 0.6839945316314697]"
