step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16771488469601678,0.05303648732220161,0.14285714285714285,0.03710575139146567,0,0,,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.975, 0.0, 0.0, 0.06]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.18448637316561844,0.12982899907206683,0.32857142857142857,0.27681888004468647,0,0,,0.98,"[0.7, 0.0, 0.2, 0.3, 0.1, 0.0, 1.0]","[0.377, 0.0, 0.024, 0.127, 0.015, 0.0, 0.92]","[0.15489903092384338, 0.10785587131977081, 0.1425306349992752, 0.16149641573429108, 0.14768309891223907, 0.11281809955835342, 0.1727166324853897]","[0.8968390822410583, 0.6244671940803528, 0.825228214263916, 0.935036838054657, 0.8550601005554199, 0.6531976461410522, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.24947589098532494,0.20325971510407365,0.6428571428571429,0.5940630797773655,0,0,,0.98,"[0.4, 1.0, 0.9, 0.5, 1.0, 0.0, 0.7]","[0.208, 0.6, 0.145, 0.089, 0.646, 0.0, 0.06]","[0.14526520669460297, 0.15949790179729462, 0.12993116676807404, 0.14980831742286682, 0.1583125740289688, 0.11802198737859726, 0.13916261494159698]","[0.9107656478881836, 1.0, 0.814626157283783, 0.9392494559288025, 0.9925683736801147, 0.7399594783782959, 0.8725043535232544]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.33962264150943394,0.27248807296256716,0.8428571428571429,0.8299224198963406,1,1,1.0,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.3, 0.6]","[0.792, 0.108, 0.048, 0.62, 0.431, 0.155, 0.08]","[0.2100525051355362, 0.11466602981090546, 0.11382226645946503, 0.17136551439762115, 0.15222440659999847, 0.13438059389591217, 0.10348844528198242]","[1.0, 0.5458922386169434, 0.5418753027915955, 0.8158223032951355, 0.724696934223175, 0.6397476196289062, 0.4926789402961731]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[nan, 1.0, nan, nan, nan, nan, nan]","[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[nan, 1.0, nan, nan, nan, nan, nan]"
100,0.3312368972746331,0.31090232726644734,0.8857142857142857,0.8723181580324438,30,49,0.6122448979591837,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.3, 0.9]","[0.481, 0.554, 0.169, 0.342, 0.292, 0.0, 0.5]","[0.17017966508865356, 0.15057499706745148, 0.13979673385620117, 0.16411320865154266, 0.11113997548818588, 0.08773389458656311, 0.17646127939224243]","[0.9644023180007935, 0.8533033132553101, 0.7922232747077942, 0.9300239086151123, 0.6298264265060425, 0.49718496203422546, 1.0]","[12, 19, 5, 5, 6, 0, 2]","[8, 16, 3, 3, 0, 0, 0]","[0.6666666865348816, 0.8421052694320679, 0.6000000238418579, 0.6000000238418579, 0.0, nan, 0.0]","[12, 20, 5, 5, 6, 0, 2]","[8, 17, 3, 3, 0, 0, 0]","[0.6666666865348816, 0.8500000238418579, 0.6000000238418579, 0.6000000238418579, 0.0, nan, 0.0]"
125,0.3228511530398323,0.31186604144632407,0.8857142857142857,0.8754125573674446,50,109,0.45871559633027525,0.98,"[0.4, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","[0.156, 0.538, 0.253, 0.342, 0.446, 0.138, 0.44]","[0.10496634244918823, 0.179435133934021, 0.13844561576843262, 0.14627176523208618, 0.15160486102104187, 0.11087247729301453, 0.16840358078479767]","[0.5849820971488953, 1.0, 0.7715635895729065, 0.8151790499687195, 0.8449006676673889, 0.6178972721099854, 0.9385206699371338]","[26, 26, 15, 11, 15, 7, 9]","[14, 15, 5, 8, 6, 2, 0]","[0.5384615659713745, 0.5769230723381042, 0.3333333432674408, 0.7272727489471436, 0.4000000059604645, 0.2857142984867096, 0.0]","[38, 46, 20, 16, 21, 7, 11]","[22, 32, 8, 11, 6, 2, 0]","[0.5789473652839661, 0.695652186870575, 0.4000000059604645, 0.6875, 0.2857142984867096, 0.2857142984867096, 0.0]"
150,0.3522012578616352,0.3405102022143948,0.9428571428571428,0.942496934978138,176,400,0.44,0.98,"[0.9, 1.0, 1.0, 1.0, 1.0, 0.8, 0.9]","[0.532, 0.477, 0.349, 0.367, 0.308, 0.086, 0.26]","[0.15337657928466797, 0.16145110130310059, 0.19777986407279968, 0.15498562157154083, 0.10856306552886963, 0.08297119289636612, 0.1408722996711731]","[0.7754913568496704, 0.8163172006607056, 1.0, 0.783626914024353, 0.5489085912704468, 0.4195128381252289, 0.7122681736946106]","[74, 73, 51, 30, 68, 34, 70]","[42, 43, 14, 16, 24, 19, 18]","[0.5675675868988037, 0.5890411138534546, 0.27450981736183167, 0.5333333611488342, 0.3529411852359772, 0.5588235259056091, 0.2571428716182709]","[112, 119, 71, 46, 89, 41, 81]","[64, 75, 22, 27, 30, 21, 18]","[0.5714285969734192, 0.6302521228790283, 0.30985915660858154, 0.5869565010070801, 0.33707866072654724, 0.5121951103210449, 0.2222222238779068]"
175,0.350104821802935,0.3248777282592355,0.9571428571428572,0.9568184530590547,220,555,0.3963963963963964,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.9]","[0.494, 0.492, 0.193, 0.519, 0.4, 0.052, 0.22]","[0.18275049328804016, 0.1046917736530304, 0.08091723918914795, 0.21561262011528015, 0.19007912278175354, 0.08119520545005798, 0.1447533220052719]","[0.8475871682167053, 0.48555493354797363, 0.3752899169921875, 1.0, 0.8815769553184509, 0.3765791058540344, 0.6713582873344421]","[107, 95, 75, 54, 89, 42, 93]","[62, 51, 22, 21, 32, 12, 20]","[0.5794392228126526, 0.5368421077728271, 0.2933333218097687, 0.3888888955116272, 0.3595505654811859, 0.2857142984867096, 0.2150537669658661]","[219, 214, 146, 100, 178, 83, 174]","[126, 126, 44, 48, 62, 33, 38]","[0.5753424763679504, 0.5887850522994995, 0.30136987566947937, 0.47999998927116394, 0.3483146131038666, 0.39759036898612976, 0.2183908075094223]"
200,0.3710691823899371,0.3582893401960118,0.9428571428571428,0.9431153641679958,261,685,0.381021897810219,0.98,"[0.9, 1.0, 1.0, 1.0, 1.0, 0.8, 0.9]","[0.532, 0.508, 0.169, 0.506, 0.338, 0.293, 0.2]","[0.1221219003200531, 0.16881993412971497, 0.10984282940626144, 0.17731375992298126, 0.13834629952907562, 0.16190829873085022, 0.12164675444364548]","[0.6887333393096924, 0.9520971775054932, 0.6194828152656555, 1.0, 0.7802343964576721, 0.913117527961731, 0.6860536336898804]","[105, 87, 113, 71, 103, 77, 129]","[62, 42, 39, 28, 44, 23, 23]","[0.5904762148857117, 0.48275861144065857, 0.3451327383518219, 0.39436620473861694, 0.42718446254730225, 0.29870128631591797, 0.1782945692539215]","[324, 301, 259, 171, 281, 160, 303]","[188, 168, 83, 76, 106, 56, 61]","[0.5802469253540039, 0.5581395626068115, 0.3204633295536041, 0.4444444477558136, 0.3772242069244385, 0.3499999940395355, 0.2013201266527176]"
225,0.3689727463312369,0.3544788951154169,0.9714285714285714,0.9713569638381669,310,823,0.37667071688942894,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","[0.532, 0.631, 0.181, 0.456, 0.262, 0.241, 0.24]","[0.1960010528564453, 0.24134691059589386, 0.16262997686862946, 0.12860222160816193, 0.0798327848315239, 0.07882866263389587, 0.11275814473628998]","[0.812113344669342, 1.0, 0.6738432049751282, 0.5328521728515625, 0.3307802081108093, 0.3266197443008423, 0.4672035872936249]","[120, 130, 125, 100, 111, 108, 129]","[66, 75, 33, 44, 36, 27, 29]","[0.550000011920929, 0.5769230723381042, 0.2639999985694885, 0.4399999976158142, 0.3243243098258972, 0.25, 0.22480620443820953]","[444, 431, 384, 271, 392, 268, 432]","[254, 243, 116, 120, 142, 83, 90]","[0.5720720887184143, 0.563805103302002, 0.3020833432674408, 0.4428044259548187, 0.3622449040412903, 0.30970150232315063, 0.2083333283662796]"
