step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16973415132924335,0.12604795899676807,0.047619047619047616,0.05714285714285715,0,0,,0.0,"[0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.013, 0.243, 0.41, 0.371, 0.026, 0.0, 0.083]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.16155419222903886,0.06639668259087712,0.23809523809523808,0.15324675324675324,0,0,,0.98,"[0.667, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.12, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.15118153393268585, 0.10448048263788223, 0.11693331599235535, 0.19444239139556885, 0.13988403975963593, 0.12682107090950012, 0.16625691950321198]","[0.7775132656097412, 0.5373338460922241, 0.6013776659965515, 1.0, 0.7194112539291382, 0.6522295475006104, 0.8550446033477783]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.28016359918200406,0.26599665314898685,1.0,1.0,2,2,1.0,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.486, 0.013, 0.129, 0.403, 0.153, 0.467]","[0.10843352228403091, 0.15149636566638947, 0.09919511526823044, 0.13635395467281342, 0.19133763015270233, 0.14377641677856445, 0.16940677165985107]","[0.5667129755020142, 0.7917750477790833, 0.5184297561645508, 0.712635338306427, 1.0, 0.7514278292655945, 0.8853813409805298]","[2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]","[2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0]","[1.0, nan, nan, nan, nan, nan, nan]"
75,0.2985685071574642,0.26045263578907185,1.0,1.0,26,43,0.6046511627906976,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.373, 0.629, 0.013, 0.157, 0.13, 0.186, 0.683]","[0.18628481030464172, 0.17475399374961853, 0.07569283992052078, 0.12316501140594482, 0.13404099643230438, 0.13320790231227875, 0.1728542596101761]","[1.0, 0.9381011724472046, 0.40632855892181396, 0.6611650586128235, 0.7195487022399902, 0.7150765657424927, 0.9279031157493591]","[28, 5, 4, 6, 0, 0, 0]","[23, 3, 0, 0, 0, 0, 0]","[0.8214285969734192, 0.6000000238418579, 0.0, 0.0, nan, nan, nan]","[30, 5, 4, 6, 0, 0, 0]","[25, 3, 0, 0, 0, 0, 0]","[0.8333333134651184, 0.6000000238418579, 0.0, 0.0, nan, nan, nan]"
100,0.2883435582822086,0.2728855540332505,1.0,1.0,70,125,0.56,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.5, 0.026, 0.2, 0.26, 0.203, 0.467]","[0.17290057241916656, 0.15578597784042358, 0.10539350658655167, 0.16856108605861664, 0.12296396493911743, 0.09009314328432083, 0.18430157005786896]","[0.9381394386291504, 0.8452775478363037, 0.571853518486023, 0.9145938754081726, 0.6671889424324036, 0.4888354539871216, 1.0]","[39, 21, 13, 20, 11, 19, 2]","[32, 15, 3, 2, 4, 12, 2]","[0.8205128312110901, 0.7142857313156128, 0.23076923191547394, 0.10000000149011612, 0.3636363744735718, 0.6315789222717285, 1.0]","[69, 26, 17, 26, 11, 19, 2]","[57, 18, 3, 2, 4, 12, 2]","[0.8260869383811951, 0.692307710647583, 0.1764705926179886, 0.07692307978868484, 0.3636363744735718, 0.6315789222717285, 1.0]"
125,0.2965235173824131,0.26039205458478926,1.0,1.0,172,463,0.3714902807775378,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.686, 0.026, 0.186, 0.39, 0.271, 0.1]","[0.2041594237089157, 0.17371869087219238, 0.05022326484322548, 0.14853663742542267, 0.17584674060344696, 0.1736682802438736, 0.07384669035673141]","[1.0, 0.8508972525596619, 0.2460002303123474, 0.7275521755218506, 0.8613207340240479, 0.8506503105163574, 0.36171090602874756]","[109, 69, 32, 103, 35, 78, 37]","[65, 28, 8, 17, 13, 30, 11]","[0.5963302850723267, 0.4057970941066742, 0.25, 0.1650485396385193, 0.37142857909202576, 0.38461539149284363, 0.29729729890823364]","[178, 95, 49, 129, 46, 97, 39]","[122, 46, 11, 19, 17, 42, 13]","[0.6853932738304138, 0.4842105209827423, 0.22448979318141937, 0.1472868174314499, 0.3695652186870575, 0.4329896867275238, 0.3333333432674408]"
150,0.2842535787321063,0.25847281413839807,1.0,1.0,213,645,0.3302325581395349,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.347, 0.586, 0.026, 0.129, 0.481, 0.186, 0.217]","[0.15770462155342102, 0.16184036433696747, 0.04566090926527977, 0.07345239818096161, 0.26761648058891296, 0.13274027407169342, 0.16098472476005554]","[0.589293360710144, 0.6047473549842834, 0.17062069475650787, 0.27446889877319336, 1.0, 0.49600934982299805, 0.6015501022338867]","[131, 88, 42, 119, 74, 131, 60]","[79, 45, 8, 12, 22, 31, 16]","[0.6030534505844116, 0.5113636255264282, 0.190476194024086, 0.10084033757448196, 0.29729729890823364, 0.23664122819900513, 0.2666666805744171]","[309, 183, 91, 248, 120, 228, 99]","[201, 91, 19, 31, 39, 73, 29]","[0.6504854559898376, 0.4972677528858185, 0.20879121124744415, 0.125, 0.32499998807907104, 0.320175439119339, 0.2929292917251587]"
175,0.30879345603271985,0.2840438076648981,1.0,1.0,231,715,0.3230769230769231,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.714, 0.103, 0.1, 0.429, 0.203, 0.267]","[0.07920416444540024, 0.2419959157705307, 0.07182823866605759, 0.07302455604076385, 0.233378604054451, 0.17886100709438324, 0.12170732766389847]","[0.3272954523563385, 1.0, 0.2968159019947052, 0.3017594516277313, 0.9643906950950623, 0.7391075491905212, 0.5029313564300537]","[103, 96, 62, 163, 76, 157, 58]","[63, 45, 11, 23, 31, 34, 24]","[0.6116504669189453, 0.46875, 0.17741934955120087, 0.1411042958498001, 0.40789473056793213, 0.2165605127811432, 0.4137931168079376]","[412, 279, 153, 411, 196, 385, 157]","[264, 136, 30, 54, 70, 107, 53]","[0.6407766938209534, 0.48745518922805786, 0.19607843458652496, 0.131386861205101, 0.3571428656578064, 0.2779220640659332, 0.337579607963562]"
200,0.26789366053169733,0.2525220198985433,1.0,1.0,250,838,0.29832935560859186,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.387, 0.571, 0.128, 0.129, 0.247, 0.203, 0.2]","[0.2257736325263977, 0.20630943775177002, 0.09396380931138992, 0.11845500022172928, 0.14938980340957642, 0.06878477334976196, 0.13732334971427917]","[1.0, 0.913788914680481, 0.4161859452724457, 0.5246626734733582, 0.6616795659065247, 0.3046625554561615, 0.6082346439361572]","[113, 105, 82, 190, 95, 169, 84]","[59, 51, 12, 26, 28, 48, 26]","[0.5221238732337952, 0.48571428656578064, 0.1463414579629898, 0.13684210181236267, 0.2947368323802948, 0.2840236723423004, 0.3095238208770752]","[525, 384, 235, 601, 291, 554, 241]","[323, 187, 42, 80, 98, 155, 79]","[0.6152380704879761, 0.4869791567325592, 0.17872340977191925, 0.13311147689819336, 0.3367697596549988, 0.2797833979129791, 0.32780084013938904]"
225,0.28629856850715746,0.2742538497763278,1.0,1.0,265,901,0.29411764705882354,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.387, 0.486, 0.167, 0.129, 0.39, 0.22, 0.2]","[0.2213774472475052, 0.12617194652557373, 0.17878001928329468, 0.034053634852170944, 0.2096758633852005, 0.1392628699541092, 0.09067799150943756]","[1.0, 0.5699403882026672, 0.8075801134109497, 0.15382611751556396, 0.9471419453620911, 0.6290743350982666, 0.4096080958843231]","[127, 97, 99, 188, 119, 204, 67]","[60, 62, 12, 24, 39, 49, 19]","[0.4724409580230713, 0.6391752362251282, 0.12121212482452393, 0.12765957415103912, 0.32773110270500183, 0.2401960790157318, 0.28358209133148193]","[652, 481, 334, 789, 410, 758, 308]","[383, 249, 54, 104, 137, 204, 98]","[0.5874233245849609, 0.517671525478363, 0.16167664527893066, 0.1318124234676361, 0.3341463506221771, 0.26912927627563477, 0.3181818127632141]"
