step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.12269938650306748,0.031225604996096803,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.12474437627811862,0.03168831168831169,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.4857142857142857,0.4736850451136166,"[0.8, 0.2, 0.2, 0.4, 0.8, 0.6, 0.4]",0.20449897750511248,0.163780578237946,"[0.387, 0.0, 0.038, 0.086, 0.545, 0.322, 0.017]",0.22699386503067484,0.18644338415776182,"[0.4, 0.014, 0.013, 0.186, 0.605, 0.3, 0.033]",0,0,,0.98,"[0.12958620488643646, 0.10263419151306152, 0.1420963704586029, 0.16708531975746155, 0.17525413632392883, 0.16866019368171692, 0.1146833747625351]","[0.7394188046455383, 0.5856306552886963, 0.8108018040657043, 0.9533887505531311, 1.0, 0.9623749852180481, 0.6543832421302795]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.8857142857142857,0.8851370851370852,"[0.8, 1.0, 1.0, 1.0, 0.8, 0.8, 0.8]",0.25766871165644173,0.26317581710484206,"[0.28, 0.214, 0.346, 0.3, 0.273, 0.305, 0.05]",0.27607361963190186,0.2674359729569885,"[0.307, 0.271, 0.377, 0.271, 0.421, 0.183, 0.033]",13,23,0.5652173913043478,0.98,"[0.06644634902477264, 0.1572234034538269, 0.22059161961078644, 0.12698529660701752, 0.17804421484470367, 0.15529534220695496, 0.09541357308626175]","[0.30121883749961853, 0.7127351760864258, 1.0, 0.575657844543457, 0.8071213960647583, 0.7039947509765625, 0.4325349032878876]","[13, 4, 0, 0, 0, 0, 6]","[10, 2, 0, 0, 0, 0, 1]","[0.7692307829856873, 0.5, nan, nan, nan, nan, 0.1666666716337204]","[13, 4, 0, 0, 0, 0, 6]","[10, 2, 0, 0, 0, 0, 1]","[0.7692307829856873, 0.5, nan, nan, nan, nan, 0.1666666716337204]"
75,0.9142857142857143,0.9116161616161617,"[1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 0.8]",0.2658486707566462,0.23890219789006648,"[0.453, 0.471, 0.064, 0.3, 0.091, 0.475, 0.033]",0.26789366053169733,0.23866779619626113,"[0.493, 0.5, 0.039, 0.343, 0.145, 0.3, 0.049]",95,224,0.42410714285714285,0.98,"[0.12193486839532852, 0.2075284719467163, 0.10795094817876816, 0.11626514792442322, 0.15436038374900818, 0.23252640664577484, 0.05943363532423973]","[0.5243914723396301, 0.8924942016601562, 0.46425241231918335, 0.5000083446502686, 0.6638402342796326, 1.0, 0.2555994987487793]","[73, 63, 9, 22, 25, 1, 31]","[47, 26, 1, 9, 4, 1, 7]","[0.6438356041908264, 0.4126984179019928, 0.1111111119389534, 0.40909090638160706, 0.1599999964237213, 1.0, 0.22580644488334656]","[86, 67, 9, 22, 25, 1, 37]","[57, 28, 1, 9, 4, 1, 8]","[0.6627907156944275, 0.41791045665740967, 0.1111111119389534, 0.40909090638160706, 0.1599999964237213, 1.0, 0.21621622145175934]"
100,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.28629856850715746,0.27805138546740676,"[0.413, 0.343, 0.295, 0.5, 0.052, 0.237, 0.15]",0.3231083844580777,0.31502776788822134,"[0.427, 0.457, 0.273, 0.557, 0.105, 0.183, 0.246]",177,421,0.42042755344418054,0.98,"[0.14727765321731567, 0.18561233580112457, 0.13377593457698822, 0.21030759811401367, 0.14520561695098877, 0.08640944957733154, 0.091411292552948]","[0.7002964019775391, 0.882575511932373, 0.6360965371131897, 1.0, 0.6904439926147461, 0.4108717441558838, 0.43465521931648254]","[111, 111, 35, 58, 30, 33, 43]","[81, 43, 11, 21, 6, 6, 9]","[0.7297297120094299, 0.38738739490509033, 0.3142857253551483, 0.36206895112991333, 0.20000000298023224, 0.1818181872367859, 0.20930232107639313]","[197, 178, 44, 80, 55, 34, 80]","[138, 71, 12, 30, 10, 7, 17]","[0.700507640838623, 0.3988763988018036, 0.27272728085517883, 0.375, 0.1818181872367859, 0.20588235557079315, 0.21250000596046448]"
125,0.9714285714285714,0.9711399711399712,"[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0]",0.3067484662576687,0.29094540519191564,"[0.467, 0.457, 0.282, 0.486, 0.026, 0.254, 0.167]",0.32719836400818,0.31003555294525137,"[0.56, 0.557, 0.195, 0.457, 0.053, 0.233, 0.23]",213,568,0.375,0.98,"[0.10238280892372131, 0.22161030769348145, 0.17290468513965607, 0.22733907401561737, 0.0654970034956932, 0.1204666867852211, 0.08979925513267517]","[0.45035287737846375, 0.9748007655143738, 0.7605586051940918, 1.0, 0.2881027162075043, 0.5298987030982971, 0.3950014114379883]","[125, 89, 54, 74, 78, 61, 87]","[83, 36, 18, 22, 12, 17, 25]","[0.6639999747276306, 0.40449437499046326, 0.3333333432674408, 0.29729729890823364, 0.1538461595773697, 0.2786885201931, 0.28735631704330444]","[322, 267, 98, 154, 133, 95, 167]","[221, 107, 30, 52, 22, 24, 42]","[0.6863353848457336, 0.4007490575313568, 0.30612245202064514, 0.33766233921051025, 0.1654135286808014, 0.2526315748691559, 0.2514970004558563]"
150,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.25766871165644173,0.23280136293058143,"[0.573, 0.257, 0.256, 0.386, 0.065, 0.034, 0.183]",0.3128834355828221,0.2815351122548657,"[0.76, 0.386, 0.247, 0.357, 0.092, 0.067, 0.23]",187,567,0.3298059964726631,0.98,"[0.15948040783405304, 0.08637303113937378, 0.27554723620414734, 0.23637859523296356, 0.06247089430689812, 0.03962972015142441, 0.14011991024017334]","[0.578777015209198, 0.31345999240875244, 1.0, 0.8578514456748962, 0.22671572864055634, 0.14382188022136688, 0.5085150003433228]","[122, 86, 53, 71, 92, 47, 96]","[68, 35, 13, 28, 13, 11, 19]","[0.5573770403862, 0.40697672963142395, 0.24528302252292633, 0.39436620473861694, 0.14130434393882751, 0.23404255509376526, 0.1979166716337204]","[444, 353, 151, 225, 225, 142, 263]","[289, 142, 43, 80, 35, 35, 61]","[0.6509009003639221, 0.4022662937641144, 0.2847682237625122, 0.35555556416511536, 0.15555556118488312, 0.246478870511055, 0.2319391667842865]"
175,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2842535787321063,0.25454879301438255,"[0.56, 0.457, 0.128, 0.3, 0.0, 0.424, 0.15]",0.33537832310838445,0.2970036938075674,"[0.72, 0.571, 0.065, 0.386, 0.026, 0.317, 0.279]",246,634,0.38801261829652994,0.98,"[0.13672670722007751, 0.14298619329929352, 0.15344631671905518, 0.13619129359722137, 0.0765271782875061, 0.203651562333107, 0.1504705548286438]","[0.6713756918907166, 0.7021119594573975, 0.753474771976471, 0.6687465906143188, 0.3757750689983368, 1.0, 0.7388627529144287]","[129, 114, 49, 75, 121, 60, 86]","[88, 47, 17, 27, 19, 26, 22]","[0.682170569896698, 0.41228070855140686, 0.3469387888908386, 0.36000001430511475, 0.1570248007774353, 0.4333333373069763, 0.25581395626068115]","[573, 467, 200, 300, 346, 202, 349]","[377, 189, 60, 107, 54, 61, 83]","[0.657940685749054, 0.40471091866493225, 0.30000001192092896, 0.3566666543483734, 0.15606936812400818, 0.301980197429657, 0.23782235383987427]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.30879345603271985,0.30709375290869684,"[0.467, 0.4, 0.282, 0.414, 0.052, 0.39, 0.167]",0.3496932515337423,0.34504953363608465,"[0.52, 0.514, 0.325, 0.443, 0.118, 0.233, 0.279]",269,777,0.3462033462033462,0.98,"[0.09737157821655273, 0.07811557501554489, 0.2154376357793808, 0.2021985799074173, 0.10250493139028549, 0.1752258539199829, 0.12914568185806274]","[0.45197105407714844, 0.3625901937484741, 1.0, 0.9385480880737305, 0.475798636674881, 0.8133484125137329, 0.5994573831558228]","[137, 135, 96, 76, 89, 113, 131]","[93, 58, 26, 24, 16, 26, 26]","[0.6788321137428284, 0.4296296238899231, 0.2708333432674408, 0.31578946113586426, 0.17977528274059296, 0.2300885021686554, 0.19847328960895538]","[710, 602, 296, 376, 435, 315, 480]","[470, 247, 86, 131, 70, 87, 109]","[0.6619718074798584, 0.41029900312423706, 0.29054054617881775, 0.34840425848960876, 0.16091954708099365, 0.27619048953056335, 0.22708334028720856]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3047034764826176,0.30008315732177177,"[0.507, 0.329, 0.218, 0.429, 0.078, 0.424, 0.167]",0.3476482617586912,0.336462783634448,"[0.627, 0.457, 0.208, 0.486, 0.118, 0.267, 0.262]",245,741,0.33063427800269907,0.98,"[0.16174671053886414, 0.19125467538833618, 0.15400274097919464, 0.11766419559717178, 0.06416516751050949, 0.17973481118679047, 0.13143157958984375]","[0.84571373462677, 1.0, 0.8052234053611755, 0.6152225732803345, 0.3354959487915039, 0.9397668838500977, 0.6872071623802185]","[144, 131, 71, 80, 121, 72, 122]","[98, 51, 10, 32, 17, 14, 23]","[0.6805555820465088, 0.3893129825592041, 0.14084507524967194, 0.4000000059604645, 0.14049586653709412, 0.1944444477558136, 0.18852458894252777]","[854, 733, 367, 456, 556, 387, 602]","[568, 298, 96, 163, 87, 101, 132]","[0.665105402469635, 0.4065484404563904, 0.26158037781715393, 0.35745614767074585, 0.15647481381893158, 0.2609819173812866, 0.21926909685134888]"
