step,acc_train,f1_train,loss_train,cw_acc_train,acc_val,f1_val,loss_val,cw_acc_val,acc_test,f1_test,loss_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,1.9463634490966797,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12065439672801637,0.03076120959332639,1.9461241892405918,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12269938650306748,0.031225604996096803,1.9462268693106515,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.7142857142857143,0.619047619047619,1.8579119443893433,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0.2331288343558282,0.2187680777610777,1.9343796798161097,"[0.293, 0.329, 0.179, 0.114, 0.0, 0.576, 0.217]",0.22903885480572597,0.22133010686683438,1.932152921812875,"[0.387, 0.286, 0.117, 0.143, 0.0, 0.517, 0.213]",0,0,,0.98,"[0.14290671050548553, 0.15123704075813293, 0.13979502022266388, 0.14173796772956848, 0.10545988380908966, 0.1720477193593979, 0.1468154639005661]","[0.8306224942207336, 0.8790412545204163, 0.8125362992286682, 0.8238294124603271, 0.6129688024520874, 1.0, 0.8533415198326111]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,1.0,1.0,1.3906548023223877,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.25357873210633947,0.24915289974495766,1.8914787769317627,"[0.4, 0.186, 0.115, 0.257, 0.351, 0.22, 0.233]",0.261758691206544,0.24882049938001932,1.8786002806254796,"[0.507, 0.2, 0.039, 0.271, 0.355, 0.117, 0.328]",23,46,0.5,0.98,"[0.15914927423000336, 0.12408342212438583, 0.14644677937030792, 0.12214295566082001, 0.1628476083278656, 0.15286432206630707, 0.1324654221534729]","[0.977289617061615, 0.7619603872299194, 0.8992872834205627, 0.7500445246696472, 1.0, 0.9386955499649048, 0.8134317994117737]","[16, 11, 2, 6, 2, 1, 8]","[14, 5, 0, 0, 1, 0, 3]","[0.875, 0.4545454680919647, 0.0, 0.0, 0.5, 0.0, 0.375]","[16, 11, 2, 6, 2, 1, 8]","[14, 5, 0, 0, 1, 0, 3]","[0.875, 0.4545454680919647, 0.0, 0.0, 0.5, 0.0, 0.375]"
75,1.0,1.0,1.278741717338562,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.25357873210633947,0.24665718094304914,1.8838532618113926,"[0.347, 0.257, 0.115, 0.329, 0.091, 0.458, 0.233]",0.3006134969325153,0.30317737237807296,1.8724076918193273,"[0.413, 0.343, 0.117, 0.371, 0.145, 0.367, 0.393]",115,307,0.3745928338762215,0.98,"[0.1647789627313614, 0.14215460419654846, 0.12510542571544647, 0.16022638976573944, 0.09759277105331421, 0.18708723783493042, 0.12305441498756409]","[0.8807600140571594, 0.7598305940628052, 0.6687009930610657, 0.8564260601997375, 0.5216431021690369, 1.0, 0.6577381491661072]","[72, 53, 33, 64, 29, 13, 43]","[43, 26, 3, 15, 8, 3, 17]","[0.5972222089767456, 0.49056604504585266, 0.09090909361839294, 0.234375, 0.27586206793785095, 0.23076923191547394, 0.39534884691238403]","[88, 64, 35, 70, 31, 14, 51]","[57, 31, 3, 15, 9, 3, 20]","[0.6477272510528564, 0.484375, 0.08571428805589676, 0.2142857164144516, 0.29032257199287415, 0.2142857164144516, 0.3921568691730499]"
100,1.0,1.0,1.2158077955245972,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.27607361963190186,0.27158087356555344,1.8781712293624877,"[0.4, 0.4, 0.154, 0.314, 0.195, 0.136, 0.333]",0.2985685071574642,0.2939061876825845,1.8530972957611085,"[0.52, 0.386, 0.117, 0.3, 0.211, 0.183, 0.377]",108,266,0.40601503759398494,0.98,"[0.1839923858642578, 0.16953107714653015, 0.15248645842075348, 0.19020314514636993, 0.1109762117266655, 0.09786973893642426, 0.09494077414274216]","[0.967346727848053, 0.8913158178329468, 0.801703155040741, 1.0, 0.5834615230560303, 0.5145537257194519, 0.49915459752082825]","[67, 61, 18, 61, 21, 10, 28]","[40, 29, 2, 15, 7, 1, 14]","[0.5970149040222168, 0.4754098355770111, 0.1111111119389534, 0.24590164422988892, 0.3333333432674408, 0.10000000149011612, 0.5]","[155, 125, 53, 131, 52, 24, 79]","[97, 60, 5, 30, 16, 4, 34]","[0.625806450843811, 0.47999998927116394, 0.09433962404727936, 0.22900763154029846, 0.3076923191547394, 0.1666666716337204, 0.4303797483444214]"
125,1.0,1.0,1.20830500125885,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.23517382413087934,0.21506811340802592,1.8896663222994123,"[0.467, 0.086, 0.051, 0.414, 0.26, 0.153, 0.2]",0.2719836400817996,0.2603581548693707,1.8645736762455531,"[0.547, 0.129, 0.091, 0.357, 0.25, 0.2, 0.328]",125,377,0.33156498673740054,0.98,"[0.2227349728345871, 0.06741854548454285, 0.10029690712690353, 0.21239155530929565, 0.13263359665870667, 0.16588318347930908, 0.09864106774330139]","[1.0, 0.30268505215644836, 0.450297087430954, 0.9535617828369141, 0.5954772233963013, 0.7447558641433716, 0.44286295771598816]","[74, 61, 44, 79, 54, 23, 42]","[35, 27, 2, 16, 18, 3, 24]","[0.47297295928001404, 0.44262295961380005, 0.04545454680919647, 0.20253165066242218, 0.3333333432674408, 0.1304347813129425, 0.5714285969734192]","[229, 186, 97, 210, 106, 47, 121]","[132, 87, 7, 46, 34, 7, 58]","[0.5764192342758179, 0.4677419364452362, 0.07216494530439377, 0.21904762089252472, 0.3207547068595886, 0.1489361673593521, 0.4793388545513153]"
150,1.0,1.0,1.2295047044754028,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.25766871165644173,0.2331678935576292,1.8826955897467477,"[0.307, 0.429, 0.128, 0.371, 0.325, 0.0, 0.2]",0.2883435582822086,0.26742287227608313,1.8609907014029368,"[0.427, 0.386, 0.13, 0.314, 0.355, 0.0, 0.377]",167,491,0.34012219959266804,0.98,"[0.15895113348960876, 0.17502200603485107, 0.1736491322517395, 0.1901237666606903, 0.13108856976032257, 0.06389685720205307, 0.1072683334350586]","[0.8360403180122375, 0.9205687642097473, 0.9133478403091431, 1.0, 0.6894906759262085, 0.33608031272888184, 0.5642026662826538]","[73, 88, 71, 125, 44, 31, 59]","[38, 45, 9, 22, 10, 10, 33]","[0.5205479264259338, 0.5113636255264282, 0.1267605572938919, 0.17599999904632568, 0.22727273404598236, 0.32258063554763794, 0.5593220591545105]","[302, 274, 168, 335, 150, 78, 180]","[170, 132, 16, 68, 44, 17, 91]","[0.5629138946533203, 0.48175182938575745, 0.095238097012043, 0.20298507809638977, 0.2933333218097687, 0.21794871985912323, 0.5055555701255798]"
175,1.0,1.0,1.1918998956680298,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.23721881390593047,0.21346819196826156,1.8977446522031511,"[0.36, 0.529, 0.128, 0.271, 0.182, 0.017, 0.133]",0.26380368098159507,0.24724880901118323,1.874650001525879,"[0.467, 0.471, 0.078, 0.286, 0.184, 0.067, 0.279]",124,390,0.31794871794871793,0.98,"[0.16909044981002808, 0.17876960337162018, 0.16177189350128174, 0.15404997766017914, 0.16289576888084412, 0.05582169070839882, 0.1176004484295845]","[0.9458568096160889, 1.0, 0.904918372631073, 0.8617235422134399, 0.9112050533294678, 0.312254935503006, 0.6578324437141418]","[50, 78, 39, 120, 36, 18, 49]","[22, 45, 4, 23, 8, 5, 17]","[0.4399999976158142, 0.5769230723381042, 0.10256410390138626, 0.19166666269302368, 0.2222222238779068, 0.2777777910232544, 0.3469387888908386]","[352, 352, 207, 455, 186, 96, 229]","[192, 177, 20, 91, 52, 22, 108]","[0.5454545617103577, 0.5028409361839294, 0.09661835432052612, 0.20000000298023224, 0.2795698940753937, 0.2291666716337204, 0.471615731716156]"
200,1.0,1.0,1.1844183206558228,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2085889570552147,0.1885294584536857,1.9200095994131905,"[0.427, 0.114, 0.077, 0.257, 0.065, 0.441, 0.117]",0.23721881390593047,0.21492472316708322,1.9014911208833967,"[0.547, 0.129, 0.13, 0.271, 0.066, 0.4, 0.131]",145,573,0.2530541012216405,0.98,"[0.2515941858291626, 0.08672342449426651, 0.13222147524356842, 0.13954129815101624, 0.07247652113437653, 0.25938671827316284, 0.058056242763996124]","[0.9699578881263733, 0.33434027433395386, 0.5097464919090271, 0.537966251373291, 0.27941492199897766, 1.0, 0.22382117807865143]","[47, 76, 43, 189, 45, 82, 91]","[18, 40, 3, 35, 10, 11, 28]","[0.38297873735427856, 0.5263158082962036, 0.06976744532585144, 0.18518517911434174, 0.2222222238779068, 0.13414634764194489, 0.3076923191547394]","[399, 428, 250, 644, 231, 178, 320]","[210, 217, 23, 126, 62, 33, 136]","[0.5263158082962036, 0.5070093274116516, 0.09200000017881393, 0.19565217196941376, 0.268398255109787, 0.18539325892925262, 0.42500001192092896]"
225,1.0,1.0,1.1819051504135132,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2310838445807771,0.20859327834501978,1.9030621801103864,"[0.4, 0.429, 0.013, 0.286, 0.169, 0.085, 0.233]",0.2740286298568507,0.25564985803926366,1.8685144049780709,"[0.507, 0.371, 0.052, 0.3, 0.158, 0.183, 0.361]",191,620,0.30806451612903224,0.98,"[0.27117449045181274, 0.16220878064632416, 0.08494414389133453, 0.10641524940729141, 0.09776812046766281, 0.11354874074459076, 0.16394031047821045]","[1.0, 0.5981712341308594, 0.31324532628059387, 0.39242351055145264, 0.3605358302593231, 0.41872942447662354, 0.6045565605163574]","[57, 96, 43, 192, 54, 94, 84]","[34, 54, 7, 40, 19, 17, 20]","[0.5964912176132202, 0.5625, 0.1627907007932663, 0.2083333283662796, 0.35185185074806213, 0.1808510571718216, 0.2380952388048172]","[456, 524, 293, 836, 285, 272, 404]","[244, 271, 30, 166, 81, 50, 156]","[0.5350877046585083, 0.517175555229187, 0.10238907486200333, 0.1985645890235901, 0.28421053290367126, 0.18382352590560913, 0.3861386179924011]"
