record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,seeds_list
20240326-224027,15.54,4.91,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_10_0.7,microsoft/codebert-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,seeds_list
20240327-000813,15.75,3.89,0,../codecomplex_java,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_5_0.7,microsoft/codebert-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,seeds_list
20240327-001841,15.75,3.89,0,../codecomplex_java,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_5_0.7,microsoft/codebert-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,seeds_list
20240327-003354,15.75,3.89,0,../codecomplex_java,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_5_0.7,microsoft/codebert-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,seeds_list
20240327-000806,29.86,26.69,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_10_0.7,microsoft/codebert-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,seeds_list
20240327-010433,37.83,36.45,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codet5p-110m-embedding_10_0.7,Salesforce/codet5p-110m-embedding,Salesforce/codet5p-110m-embedding,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,seeds_list
20240327-010048,35.38,35.08,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_unixcoder-base_10_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,seeds_list
20240327-085940,35.38,35.08,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_unixcoder-base_10_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,seeds_list
20240327-100341,29.65,26.42,0,../codecomplex_java,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_unixcoder-base_5_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-105830,37.83,36.45,0,../codecomplex_java,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codet5p-110m-embedding_10_0.7,Salesforce/codet5p-110m-embedding,Salesforce/codet5p-110m-embedding,soft,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-115400,52.76,52.64,0,../codecomplex_java,20,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codet5p-110m-embedding_20_0.7,Salesforce/codet5p-110m-embedding,Salesforce/codet5p-110m-embedding,soft,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-145257,20.04,17.71,0,../codecomplex_java,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_1_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-151532,20.04,17.71,0,../codecomplex_java,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_1_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-155556,15.75,3.89,0,../codecomplex_java,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_codebert-base_5_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-151851,26.18,23.88,0,../codecomplex_java,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,codecomplex_java_unixcoder-base_1_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-171545,6.94,4.34,0,../data/problem_based_split/java_extended_data,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,data_codebert-base_5_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-171613,17.23,6.36,0,../data/problem_based_split/java_extended_data,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,data_codebert-base_10_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-173703,25.28,15.22,0,../data/problem_based_split/java_extended_data,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,data_unixcoder-base_1_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-173617,14.32,12.39,0,../data/problem_based_split/java_extended_data,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,data_codebert-base_1_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-180348,19.46,19.28,0,../data/problem_based_split/java_extended_data,10,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,java_extended_data_unixcoder-base_10_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-180423,19.02,17.40,0,../data/problem_based_split/java_extended_data,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,java_extended_data_unixcoder-base_5_0.7,microsoft/unixcoder-base,microsoft/unixcoder-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-184548,42.73,38.80,0,../data/problem_based_split/java_extended_data,50,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,java_extended_data_codet5p-110m-embedding_50_0.7,Salesforce/codet5p-110m-embedding,Salesforce/codet5p-110m-embedding,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-191133,42.73,38.80,0,../data/problem_based_split/java_extended_data,50,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,java_extended_data_codet5p-110m-embedding_50_0.7,Salesforce/codet5p-110m-embedding,Salesforce/codet5p-110m-embedding,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-193206,19.26,9.89,0,../data/problem_based_split/python_extended_data,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,python_extended_data_codebert-base_1_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-193233,32.58,24.23,0,../data/problem_based_split/python_extended_data,5,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,python_extended_data_codebert-base_5_0.7,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-200619,29.71,6.54,0,../data/problem_based_split/python_extended_data,10,7,1e-05,1,0,True,1,False,True,0.9,False,0.9,25,10,100000,100,python_extended_data_codebert-base_10_0,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
20240327-221829,14.32,12.39,0,../data/problem_based_split/java_extended_data,1,7,1e-05,1,0.7,True,1,False,True,0.9,False,0.9,25,10,100000,100,1_codebert-base_1e-05_0.7_10_java_extended_data,microsoft/codebert-base,microsoft/codebert-base,hard,[0]
record_time,Mean_std_acc,Mean_std_f1,device_idx,dataset,n_labeled_per_class,bs,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,max_epoch,save_name,token,net_arch,labeling_mode,seeds_list
