step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16771488469601678,0.05731441915140347,0.14285714285714285,0.06349206349206349,0,0,,0.0,"[0.0, 0.0, 0.0, 0.8, 0.0, 0.2, 0.0]","[0.0, 0.0, 0.0, 0.949, 0.0, 0.086, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.20964360587002095,0.13938863436638813,0.5428571428571428,0.47239527389903335,0,0,,0.98,"[0.0, 0.8, 0.8, 0.4, 0.8, 1.0, 0.0]","[0.013, 0.292, 0.747, 0.0, 0.031, 0.276, 0.0]","[0.14687436819076538, 0.16467861831188202, 0.16465440392494202, 0.14355875551700592, 0.13886582851409912, 0.11950843036174774, 0.12185931950807571]","[0.8918848633766174, 1.0, 0.9998529553413391, 0.8717510104179382, 0.8432535529136658, 0.7257070541381836, 0.7399826645851135]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.20335429769392033,0.1491115059823068,0.7714285714285715,0.7619562976705833,0,0,,0.98,"[0.6, 1.0, 1.0, 0.4, 0.8, 1.0, 0.6]","[0.091, 0.323, 0.663, 0.0, 0.0, 0.138, 0.12]","[0.15243269503116608, 0.15339411795139313, 0.2044142186641693, 0.12391731888055801, 0.10659868270158768, 0.09973721951246262, 0.15950551629066467]","[0.7457049489021301, 0.7504082322120667, 1.0, 0.6062069535255432, 0.5214837193489075, 0.4879172444343567, 0.7803053855895996]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.19077568134171907,0.10356583595123062,0.9142857142857143,0.9194139194139195,1,5,0.2,0.98,"[0.8, 0.8, 1.0, 1.0, 1.0, 1.0, 0.8]","[0.091, 0.077, 0.88, 0.025, 0.0, 0.052, 0.02]","[0.15364675223827362, 0.09590939432382584, 0.3274479806423187, 0.135004922747612, 0.0862453430891037, 0.07268157601356506, 0.12906375527381897]","[0.4692249298095703, 0.29289963841438293, 1.0, 0.41229426860809326, 0.26338639855384827, 0.22196373343467712, 0.39415040612220764]","[0, 0, 0, 0, 4, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[nan, nan, nan, nan, 0.25, 0.0, nan]","[0, 0, 0, 0, 4, 1, 0]","[0, 0, 0, 0, 1, 0, 0]","[nan, nan, nan, nan, 0.25, 0.0, nan]"
100,0.24528301886792453,0.23000932457993986,1.0,1.0,3,11,0.2727272727272727,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.369, 0.446, 0.089, 0.108, 0.431, 0.14]","[0.11590906977653503, 0.16239549219608307, 0.14789418876171112, 0.1490025818347931, 0.1120569035410881, 0.1405874490737915, 0.172154039144516]","[0.6732869744300842, 0.9433150291442871, 0.8590805530548096, 0.8655189275741577, 0.6509106755256653, 0.8166375160217285, 1.0]","[0, 5, 1, 0, 4, 1, 0]","[0, 1, 0, 0, 2, 0, 0]","[nan, 0.20000000298023224, 0.0, nan, 0.5, 0.0, nan]","[0, 5, 1, 0, 8, 2, 0]","[0, 1, 0, 0, 3, 0, 0]","[nan, 0.20000000298023224, 0.0, nan, 0.375, 0.0, nan]"
125,0.23060796645702306,0.2169613301383372,1.0,1.0,49,182,0.2692307692307692,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.169, 0.277, 0.253, 0.089, 0.092, 0.621, 0.18]","[0.0903635323047638, 0.19278691709041595, 0.09713228791952133, 0.12648411095142365, 0.16418589651584625, 0.14592833817005157, 0.18311865627765656]","[0.46872231364250183, 1.0, 0.5038323402404785, 0.6560824513435364, 0.8516443967819214, 0.7569410800933838, 0.9498500227928162]","[24, 31, 44, 18, 20, 29, 16]","[8, 7, 12, 1, 6, 9, 6]","[0.3333333432674408, 0.22580644488334656, 0.27272728085517883, 0.0555555559694767, 0.30000001192092896, 0.3103448152542114, 0.375]","[24, 36, 45, 18, 28, 31, 16]","[8, 8, 12, 1, 9, 9, 6]","[0.3333333432674408, 0.2222222238779068, 0.2666666805744171, 0.0555555559694767, 0.3214285671710968, 0.29032257199287415, 0.375]"
150,0.23270440251572327,0.2241623705535201,1.0,1.0,107,378,0.2830687830687831,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.104, 0.354, 0.157, 0.316, 0.108, 0.5, 0.12]","[0.07622693479061127, 0.27534592151641846, 0.11399354040622711, 0.24681082367897034, 0.05658906698226929, 0.10828135907649994, 0.12275213748216629]","[0.2768406271934509, 1.0, 0.4140011966228485, 0.8963663578033447, 0.205519899725914, 0.39325571060180664, 0.44581061601638794]","[67, 50, 97, 40, 38, 34, 52]","[8, 21, 25, 10, 9, 23, 11]","[0.11940298229455948, 0.41999998688697815, 0.25773194432258606, 0.25, 0.2368421107530594, 0.6764705777168274, 0.21153846383094788]","[91, 86, 142, 58, 66, 65, 68]","[16, 29, 37, 11, 18, 32, 17]","[0.17582418024539948, 0.3372093141078949, 0.26056337356567383, 0.18965516984462738, 0.27272728085517883, 0.4923076927661896, 0.25]"
175,0.23060796645702306,0.2316568827316436,1.0,1.0,153,629,0.24324324324324326,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.246, 0.229, 0.114, 0.215, 0.552, 0.2]","[0.10188394039869308, 0.11269921064376831, 0.24534639716148376, 0.13019561767578125, 0.09203927218914032, 0.15496334433555603, 0.16287198662757874]","[0.41526567935943604, 0.45934733748435974, 1.0, 0.5306603908538818, 0.37514010071754456, 0.6316104531288147, 0.6638450026512146]","[94, 84, 131, 66, 86, 80, 88]","[16, 20, 30, 14, 17, 43, 13]","[0.1702127605676651, 0.2380952388048172, 0.22900763154029846, 0.21212121844291687, 0.19767442345619202, 0.5375000238418579, 0.14772726595401764]","[185, 170, 273, 124, 152, 145, 156]","[32, 49, 67, 25, 35, 75, 30]","[0.17297297716140747, 0.28823530673980713, 0.24542124569416046, 0.2016129046678543, 0.23026315867900848, 0.517241358757019, 0.19230769574642181]"
200,0.2431865828092243,0.23387706060827126,0.9714285714285714,0.9711399711399712,198,776,0.2551546391752577,0.98,"[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0]","[0.143, 0.369, 0.157, 0.127, 0.231, 0.603, 0.16]","[0.1294545978307724, 0.260031133890152, 0.07511118799448013, 0.1328095942735672, 0.10709922760725021, 0.16655752062797546, 0.1289365291595459]","[0.4978426992893219, 1.0, 0.28885459899902344, 0.5107449889183044, 0.4118707776069641, 0.6405291557312012, 0.4958503544330597]","[107, 138, 159, 115, 108, 73, 76]","[24, 31, 34, 31, 27, 39, 12]","[0.22429905831813812, 0.2246376872062683, 0.21383647620677948, 0.269565224647522, 0.25, 0.534246563911438, 0.15789473056793213]","[292, 308, 432, 239, 260, 218, 232]","[56, 80, 101, 56, 62, 114, 42]","[0.19178082048892975, 0.25974026322364807, 0.23379629850387573, 0.2343096286058426, 0.23846153914928436, 0.5229358077049255, 0.18103447556495667]"
225,0.24528301886792453,0.22890507435863633,1.0,1.0,215,962,0.2234927234927235,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.104, 0.277, 0.193, 0.203, 0.246, 0.655, 0.1]","[0.11222492903470993, 0.13233332335948944, 0.1933717131614685, 0.11721694469451904, 0.1967509388923645, 0.185891792178154, 0.062210142612457275]","[0.5703908205032349, 0.6725931167602539, 0.9828248620033264, 0.595763087272644, 1.0, 0.9448076486587524, 0.3161872625350952]","[138, 156, 193, 140, 122, 113, 100]","[24, 37, 45, 20, 18, 52, 19]","[0.17391304671764374, 0.2371794879436493, 0.2331606149673462, 0.1428571492433548, 0.14754098653793335, 0.4601770043373108, 0.1899999976158142]","[430, 464, 625, 379, 382, 331, 332]","[80, 117, 146, 76, 80, 166, 61]","[0.1860465109348297, 0.2521551847457886, 0.23360000550746918, 0.20052769780158997, 0.20942407846450806, 0.5015105605125427, 0.1837349385023117]"
