step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.15337423312883436,0.037993920972644375,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.15337423312883436,0.037993920972644375,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.2714285714285714,0.1986190773376128,"[0.7, 0.0, 0.0, 0.1, 0.1, 0.0, 1.0]",0.15132924335378323,0.07712980089217714,"[0.213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.967]",0.16768916155419222,0.08941485864562788,"[0.307, 0.0, 0.0, 0.0, 0.0, 0.0, 0.967]",0,0,,0.98,"[0.12864398956298828, 0.1321272999048233, 0.14075274765491486, 0.14246852695941925, 0.14137427508831024, 0.1423625349998474, 0.17227047681808472]","[0.7467558979988098, 0.7669758796691895, 0.8170450925827026, 0.8270049095153809, 0.820652961730957, 0.8263896107673645, 1.0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.5142857142857142,0.438516820869762,"[1.0, 0.4, 0.1, 0.6, 0.5, 0.0, 1.0]",0.261758691206544,0.18724905600766836,"[0.787, 0.186, 0.0, 0.243, 0.052, 0.0, 0.583]",0.2556237218813906,0.17341763297760115,"[0.787, 0.214, 0.0, 0.186, 0.0, 0.0, 0.623]",3,10,0.3,0.98,"[0.19248583912849426, 0.15722109377384186, 0.1154884472489357, 0.17026439309120178, 0.07145196199417114, 0.14171653985977173, 0.1513715535402298]","[1.0, 0.8167930245399475, 0.5999841094017029, 0.8845553994178772, 0.3712063431739807, 0.7362439632415771, 0.7864035964012146]","[10, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[0.30000001192092896, nan, nan, nan, nan, nan, nan]","[10, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0]","[0.30000001192092896, nan, nan, nan, nan, nan, nan]"
75,0.8,0.7889366272824919,"[1.0, 0.9, 0.5, 0.7, 1.0, 0.5, 1.0]",0.2985685071574642,0.2591330753414716,"[0.36, 0.557, 0.038, 0.1, 0.299, 0.051, 0.733]",0.3231083844580777,0.2744368699011873,"[0.493, 0.6, 0.065, 0.057, 0.289, 0.017, 0.77]",61,89,0.6853932584269663,0.98,"[0.07991602271795273, 0.19283348321914673, 0.13316850364208221, 0.1509135365486145, 0.15533527731895447, 0.1333112120628357, 0.15452176332473755]","[0.4144302308559418, 1.0, 0.6905880570411682, 0.7826106548309326, 0.8055409789085388, 0.6913281083106995, 0.8013222813606262]","[60, 6, 5, 0, 5, 0, 13]","[49, 2, 2, 0, 2, 0, 6]","[0.8166666626930237, 0.3333333432674408, 0.4000000059604645, nan, 0.4000000059604645, nan, 0.4615384638309479]","[70, 6, 5, 0, 5, 0, 13]","[52, 2, 2, 0, 2, 0, 6]","[0.7428571581840515, 0.3333333432674408, 0.4000000059604645, nan, 0.4000000059604645, nan, 0.4615384638309479]"
100,0.9142857142857143,0.9150100925190825,"[1.0, 0.9, 0.9, 1.0, 0.8, 0.8, 1.0]",0.3047034764826176,0.27850167012500104,"[0.427, 0.2, 0.256, 0.557, 0.039, 0.051, 0.633]",0.3231083844580777,0.2991255207574518,"[0.507, 0.314, 0.325, 0.414, 0.026, 0.083, 0.607]",137,228,0.6008771929824561,0.98,"[0.07671026885509491, 0.11843140423297882, 0.18787671625614166, 0.2328612208366394, 0.061247777193784714, 0.1540362685918808, 0.16883620619773865]","[0.32942482829093933, 0.5085921883583069, 0.8068183660507202, 1.0, 0.26302266120910645, 0.6614938378334045, 0.7250507473945618]","[107, 21, 15, 11, 30, 0, 44]","[87, 5, 5, 4, 11, 0, 25]","[0.8130841255187988, 0.2380952388048172, 0.3333333432674408, 0.3636363744735718, 0.36666667461395264, nan, 0.5681818127632141]","[177, 27, 20, 11, 35, 0, 57]","[139, 7, 7, 4, 13, 0, 31]","[0.7853107452392578, 0.25925925374031067, 0.3499999940395355, 0.3636363744735718, 0.37142857909202576, nan, 0.5438596606254578]"
125,0.9285714285714286,0.9285319925071479,"[1.0, 0.8, 0.8, 1.0, 1.0, 0.9, 1.0]",0.31901840490797545,0.3065456658957051,"[0.333, 0.2, 0.128, 0.3, 0.558, 0.119, 0.6]",0.294478527607362,0.28842026287363787,"[0.453, 0.214, 0.104, 0.171, 0.395, 0.117, 0.623]",210,394,0.5329949238578681,0.98,"[0.06635686755180359, 0.16421164572238922, 0.11831057071685791, 0.1115032210946083, 0.21332389116287231, 0.16975456476211548, 0.1565389782190323]","[0.3110615909099579, 0.7697761654853821, 0.5546053647994995, 0.52269446849823, 1.0, 0.7957597374916077, 0.7338089346885681]","[131, 49, 41, 38, 59, 9, 67]","[105, 7, 18, 10, 31, 2, 37]","[0.8015267252922058, 0.1428571492433548, 0.4390243887901306, 0.2631579041481018, 0.5254237055778503, 0.2222222238779068, 0.5522388219833374]","[308, 76, 61, 49, 94, 9, 124]","[244, 14, 25, 14, 44, 2, 68]","[0.7922077775001526, 0.18421052396297455, 0.4098360538482666, 0.2857142984867096, 0.4680851101875305, 0.2222222238779068, 0.5483871102333069]"
150,0.9857142857142858,0.9856784819190835,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0]",0.36400817995910023,0.3539901637644765,"[0.36, 0.429, 0.205, 0.357, 0.571, 0.085, 0.517]",0.3496932515337423,0.345062611493782,"[0.453, 0.514, 0.312, 0.243, 0.368, 0.083, 0.443]",258,523,0.4933078393881453,0.98,"[0.04158829152584076, 0.24668608605861664, 0.17404621839523315, 0.0959736630320549, 0.19643965363502502, 0.11815840005874634, 0.12710750102996826]","[0.16858790814876556, 1.0, 0.7055372595787048, 0.38905179500579834, 0.7963142991065979, 0.4789828360080719, 0.5152601003646851]","[127, 75, 56, 68, 74, 32, 91]","[106, 25, 18, 25, 27, 7, 50]","[0.834645688533783, 0.3333333432674408, 0.3214285671710968, 0.36764705181121826, 0.36486485600471497, 0.21875, 0.5494505763053894]","[435, 151, 117, 117, 168, 41, 215]","[350, 39, 43, 39, 71, 9, 118]","[0.8045976758003235, 0.25827813148498535, 0.36752137541770935, 0.3333333432674408, 0.4226190447807312, 0.2195121943950653, 0.5488371849060059]"
175,0.9857142857142858,0.9856784819190835,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0]",0.3374233128834356,0.336171234026928,"[0.373, 0.286, 0.244, 0.3, 0.39, 0.169, 0.617]",0.3292433537832311,0.32210971925958537,"[0.467, 0.371, 0.429, 0.157, 0.211, 0.1, 0.557]",263,583,0.451114922813036,0.98,"[0.09226014465093613, 0.1758490800857544, 0.20450398325920105, 0.1038084477186203, 0.14076310396194458, 0.10369082540273666, 0.17912422120571136]","[0.4511410593986511, 0.8598809242248535, 1.0, 0.5076108574867249, 0.6883147358894348, 0.5070357322692871, 0.8758959770202637]","[151, 93, 53, 72, 49, 59, 106]","[118, 30, 16, 13, 18, 9, 59]","[0.7814569473266602, 0.32258063554763794, 0.30188679695129395, 0.1805555522441864, 0.36734694242477417, 0.1525423675775528, 0.5566037893295288]","[586, 244, 170, 189, 217, 100, 321]","[468, 69, 59, 52, 89, 18, 177]","[0.7986348271369934, 0.28278687596321106, 0.34705883264541626, 0.27513226866722107, 0.41013824939727783, 0.18000000715255737, 0.5514018535614014]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3292433537832311,0.32354031992320603,"[0.347, 0.5, 0.449, 0.2, 0.39, 0.085, 0.267]",0.37423312883435583,0.364236682391777,"[0.453, 0.629, 0.584, 0.086, 0.289, 0.183, 0.344]",282,609,0.4630541871921182,0.98,"[0.04074844717979431, 0.26251426339149475, 0.2878452241420746, 0.0715569257736206, 0.14708751440048218, 0.12002372741699219, 0.07022367417812347]","[0.14156374335289001, 0.9119979739189148, 1.0, 0.24859514832496643, 0.5109951496124268, 0.41697314381599426, 0.2439633160829544]","[133, 88, 57, 84, 55, 88, 104]","[121, 34, 20, 19, 15, 17, 56]","[0.9097744226455688, 0.3863636255264282, 0.35087719559669495, 0.2261904776096344, 0.27272728085517883, 0.1931818127632141, 0.5384615659713745]","[719, 332, 227, 273, 272, 188, 425]","[589, 103, 79, 71, 104, 35, 233]","[0.8191933035850525, 0.3102409541606903, 0.3480176329612732, 0.2600732743740082, 0.38235294818878174, 0.18617020547389984, 0.548235297203064]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3006134969325153,0.29620020233005706,"[0.36, 0.186, 0.282, 0.243, 0.571, 0.153, 0.25]",0.34151329243353784,0.34730973426124245,"[0.48, 0.314, 0.416, 0.243, 0.434, 0.133, 0.311]",284,600,0.47333333333333333,0.98,"[0.0971512421965599, 0.12878473103046417, 0.2523500919342041, 0.13745634257793427, 0.2210633009672165, 0.108424611389637, 0.05476948246359825]","[0.38498595356941223, 0.5103415250778198, 1.0, 0.5447049140930176, 0.8760182857513428, 0.42965948581695557, 0.21703769266605377]","[117, 79, 71, 97, 59, 80, 97]","[98, 31, 33, 29, 26, 16, 51]","[0.8376068472862244, 0.39240506291389465, 0.4647887349128723, 0.2989690601825714, 0.4406779706478119, 0.20000000298023224, 0.5257731676101685]","[836, 411, 298, 370, 331, 268, 522]","[687, 134, 112, 100, 130, 51, 284]","[0.8217703104019165, 0.3260340690612793, 0.3758389353752136, 0.2702702581882477, 0.39274924993515015, 0.19029851257801056, 0.5440613031387329]"
