step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.10482180293501048,0.027262813522355506,0.14285714285714285,0.03861003861003861,0,0,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.25157232704402516,0.20386260392906236,0.4857142857142857,0.3999381570810142,0,0,,0.98,"[1.0, 0.0, 0.0, 0.2, 1.0, 0.4, 0.8]","[0.818, 0.092, 0.048, 0.152, 0.169, 0.086, 0.38]","[0.1754123419523239, 0.15552857518196106, 0.1385464072227478, 0.1521335244178772, 0.11591939628124237, 0.12245607376098633, 0.14000336825847626]","[1.0, 0.8866455554962158, 0.7898327112197876, 0.8672908544540405, 0.6608394384384155, 0.6981040835380554, 0.7981386184692383]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.29979035639413,0.29316828166973996,0.8,0.7516134658991802,1,2,0.5,0.98,"[1.0, 0.8, 0.0, 0.8, 1.0, 1.0, 1.0]","[0.558, 0.354, 0.012, 0.215, 0.215, 0.224, 0.64]","[0.10480673611164093, 0.15013542771339417, 0.11513348668813705, 0.1752893477678299, 0.14981281757354736, 0.12027301639318466, 0.18454889953136444]","[0.5679076910018921, 0.8135265111923218, 0.6238644123077393, 0.9498260021209717, 0.8117784261703491, 0.6517135500907898, 1.0]","[0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[nan, nan, nan, nan, 0.5, nan, nan]","[0, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0]","[nan, nan, nan, nan, 0.5, nan, nan]"
75,0.29559748427672955,0.27934502904692826,0.9142857142857143,0.9154456654456654,5,10,0.5,0.98,"[1.0, 0.6, 0.8, 1.0, 1.0, 1.0, 1.0]","[0.753, 0.262, 0.084, 0.127, 0.215, 0.328, 0.32]","[0.18488353490829468, 0.15944251418113708, 0.14920373260974884, 0.14274564385414124, 0.13488708436489105, 0.0874105766415596, 0.141426682472229]","[1.0, 0.8623943328857422, 0.8070147037506104, 0.77208411693573, 0.7295786738395691, 0.4727872312068939, 0.7649500966072083]","[1, 0, 0, 0, 5, 4, 0]","[0, 0, 0, 0, 3, 2, 0]","[0.0, nan, nan, nan, 0.6000000238418579, 0.5, nan]","[1, 0, 0, 0, 7, 4, 0]","[0, 0, 0, 0, 4, 2, 0]","[0.0, nan, nan, nan, 0.5714285969734192, 0.5, nan]"
100,0.31865828092243187,0.31064279322089694,1.0,1.0,52,103,0.5048543689320388,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.468, 0.415, 0.012, 0.165, 0.415, 0.379, 0.52]","[0.08701536804437637, 0.12912610173225403, 0.08429958671331406, 0.13663308322429657, 0.23113493621349335, 0.12083824723958969, 0.21095244586467743]","[0.37646999955177307, 0.5586611032485962, 0.3647202253341675, 0.5911399126052856, 1.0, 0.5228039026260376, 0.9126809239387512]","[24, 13, 1, 8, 22, 29, 6]","[15, 9, 0, 1, 6, 18, 3]","[0.625, 0.692307710647583, 0.0, 0.125, 0.27272728085517883, 0.6206896305084229, 0.5]","[25, 13, 1, 8, 29, 33, 6]","[15, 9, 0, 1, 10, 20, 3]","[0.6000000238418579, 0.692307710647583, 0.0, 0.125, 0.3448275923728943, 0.6060606241226196, 0.5]"
125,0.3249475890985325,0.28915364003715593,0.9714285714285714,0.9711399711399711,180,360,0.5,0.98,"[1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0]","[0.714, 0.369, 0.0, 0.114, 0.385, 0.534, 0.22]","[0.16251401603221893, 0.13689959049224854, 0.12144622951745987, 0.07122938334941864, 0.20231756567955017, 0.18008042871952057, 0.12551261484622955]","[0.8032619953155518, 0.67665696144104, 0.6002752780914307, 0.352067232131958, 1.0, 0.8900879621505737, 0.6203742623329163]","[97, 59, 14, 45, 50, 67, 28]","[59, 42, 1, 12, 14, 43, 9]","[0.6082473993301392, 0.7118644118309021, 0.0714285746216774, 0.2666666805744171, 0.2800000011920929, 0.641791045665741, 0.3214285671710968]","[122, 72, 15, 53, 79, 100, 34]","[74, 51, 1, 13, 24, 63, 12]","[0.6065573692321777, 0.7083333134651184, 0.06666667014360428, 0.24528302252292633, 0.3037974536418915, 0.6299999952316284, 0.3529411852359772]"
150,0.3165618448637317,0.2915591658574616,0.9714285714285714,0.9711399711399711,266,588,0.4523809523809524,0.98,"[1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0]","[0.714, 0.385, 0.0, 0.203, 0.292, 0.414, 0.24]","[0.22625020146369934, 0.10441165417432785, 0.09173186868429184, 0.13648974895477295, 0.1723961979150772, 0.14641904830932617, 0.12230104953050613]","[1.0, 0.4614875614643097, 0.40544435381889343, 0.603269100189209, 0.7619714736938477, 0.6471554636955261, 0.5405566692352295]","[151, 99, 21, 86, 78, 82, 71]","[96, 70, 2, 27, 18, 34, 19]","[0.6357616186141968, 0.7070707082748413, 0.095238097012043, 0.3139534890651703, 0.23076923191547394, 0.4146341383457184, 0.26760563254356384]","[273, 171, 36, 139, 157, 182, 105]","[170, 121, 3, 40, 42, 97, 31]","[0.622710645198822, 0.707602322101593, 0.0833333358168602, 0.28776979446411133, 0.2675159275531769, 0.5329670310020447, 0.29523810744285583]"
175,0.31446540880503143,0.2860159523598579,1.0,1.0,270,647,0.41731066460587324,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.442, 0.708, 0.0, 0.278, 0.4, 0.241, 0.16]","[0.1270328164100647, 0.26435866951942444, 0.04360979422926903, 0.16864557564258575, 0.2461097687482834, 0.03202081471681595, 0.11822233349084854]","[0.48053205013275146, 1.0, 0.164964497089386, 0.6379423141479492, 0.9309691786766052, 0.12112640589475632, 0.4472042918205261]","[133, 126, 35, 119, 62, 92, 80]","[81, 83, 4, 30, 13, 44, 15]","[0.6090225577354431, 0.658730149269104, 0.11428571492433548, 0.2521008551120758, 0.20967741310596466, 0.47826087474823, 0.1875]","[406, 297, 71, 258, 219, 274, 185]","[251, 204, 7, 70, 55, 141, 46]","[0.6182265877723694, 0.6868686676025391, 0.09859155118465424, 0.27131783962249756, 0.2511415481567383, 0.514598548412323, 0.24864864349365234]"
200,0.33752620545073375,0.3271843635521341,1.0,1.0,352,828,0.4251207729468599,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.584, 0.538, 0.024, 0.165, 0.308, 0.552, 0.28]","[0.1269315779209137, 0.14743758738040924, 0.12234464287757874, 0.12249935418367386, 0.17698942124843597, 0.17172998189926147, 0.1320672482252121]","[0.7171704173088074, 0.8330305218696594, 0.6912539601325989, 0.6921281218528748, 1.0, 0.9702838659286499, 0.7461872696876526]","[167, 120, 77, 134, 85, 137, 108]","[110, 73, 23, 35, 25, 60, 26]","[0.658682644367218, 0.6083333492279053, 0.29870128631591797, 0.26119402050971985, 0.29411765933036804, 0.43795621395111084, 0.24074074625968933]","[573, 417, 148, 392, 304, 411, 293]","[361, 277, 30, 105, 80, 201, 72]","[0.6300174593925476, 0.6642686128616333, 0.20270270109176636, 0.2678571343421936, 0.2631579041481018, 0.48905110359191895, 0.24573378264904022]"
225,0.35639412997903563,0.3511212025475339,1.0,1.0,333,879,0.378839590443686,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.597, 0.462, 0.145, 0.215, 0.323, 0.552, 0.24]","[0.1671314835548401, 0.1384548544883728, 0.11720430850982666, 0.14518731832504272, 0.20206867158412933, 0.08256007730960846, 0.14739303290843964]","[0.8271024227142334, 0.6851871609687805, 0.5800221562385559, 0.7185048460960388, 1.0, 0.40857434272766113, 0.7294204831123352]","[166, 131, 90, 120, 94, 109, 169]","[97, 74, 20, 35, 23, 57, 27]","[0.5843373537063599, 0.5648854970932007, 0.2222222238779068, 0.2916666567325592, 0.24468085169792175, 0.5229358077049255, 0.15976330637931824]","[739, 548, 238, 512, 398, 520, 462]","[458, 351, 50, 140, 103, 258, 99]","[0.6197564005851746, 0.6405109763145447, 0.21008403599262238, 0.2734375, 0.25879397988319397, 0.4961538314819336, 0.2142857164144516]"
