step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16561844863731656,0.040596094552929084,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.16142557651991615,0.039711191335740074,0.14285714285714285,0.03571428571428571,0,0,,0.98,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.20601259171962738, 0.1428881287574768, 0.12407472729682922, 0.1498185694217682, 0.1285054087638855, 0.12271136045455933, 0.12598899006843567]","[1.0, 0.6935892701148987, 0.6022676825523376, 0.7272301316261292, 0.623774528503418, 0.595649778842926, 0.6115596294403076]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.23060796645702306,0.15785615559976626,0.4857142857142857,0.4580301685891749,0,0,,0.98,"[0.4, 0.6, 0.2, 1.0, 0.0, 0.6, 0.6]","[0.156, 0.123, 0.0, 0.886, 0.0, 0.31, 0.04]","[0.16185235977172852, 0.14159157872200012, 0.12066124379634857, 0.17051169276237488, 0.14157921075820923, 0.13670596480369568, 0.12709775567054749]","[0.9492155909538269, 0.8303921818733215, 0.7076420783996582, 1.0, 0.8303196430206299, 0.801739513874054, 0.7453902363777161]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.31236897274633124,0.3058695413012215,0.9142857142857143,0.913997113997114,1,2,0.5,0.98,"[1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.8]","[0.325, 0.446, 0.145, 0.481, 0.092, 0.379, 0.34]","[0.14024215936660767, 0.14045216143131256, 0.145745187997818, 0.18081939220428467, 0.12114627659320831, 0.12764953076839447, 0.14394506812095642]","[0.7755924463272095, 0.776753842830658, 0.8060263395309448, 1.0, 0.6699849963188171, 0.7059504389762878, 0.7960709929466248]","[0, 2, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[nan, 0.5, nan, nan, nan, nan, nan]","[0, 2, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]","[nan, 0.5, nan, nan, nan, nan, nan]"
100,0.31027253668763105,0.3049612182681338,1.0,1.0,19,37,0.5135135135135135,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.468, 0.292, 0.157, 0.342, 0.215, 0.534, 0.16]","[0.16563144326210022, 0.12444573640823364, 0.1458272784948349, 0.1759066879749298, 0.09413620084524155, 0.15376964211463928, 0.1402827948331833]","[0.941586971282959, 0.7074531316757202, 0.829003632068634, 1.0, 0.5351485013961792, 0.8741546273231506, 0.7974841594696045]","[3, 23, 1, 0, 3, 6, 1]","[2, 10, 0, 0, 0, 6, 1]","[0.6666666865348816, 0.43478259444236755, 0.0, nan, 0.0, 1.0, 1.0]","[3, 25, 1, 0, 3, 6, 1]","[2, 11, 0, 0, 0, 6, 1]","[0.6666666865348816, 0.4399999976158142, 0.0, nan, 0.0, 1.0, 1.0]"
125,0.3018867924528302,0.30088116715420227,0.9714285714285714,0.9711399711399711,107,255,0.4196078431372549,0.98,"[1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]","[0.403, 0.292, 0.181, 0.114, 0.369, 0.586, 0.24]","[0.14909657835960388, 0.1216408759355545, 0.12576179206371307, 0.12297701090574265, 0.1486213356256485, 0.19018158316612244, 0.14172062277793884]","[0.7839695811271667, 0.639603853225708, 0.6612721681594849, 0.6466294527053833, 0.7814707159996033, 1.0, 0.7451858520507812]","[43, 61, 32, 14, 37, 40, 28]","[25, 33, 10, 2, 14, 17, 6]","[0.5813953280448914, 0.5409836173057556, 0.3125, 0.1428571492433548, 0.37837839126586914, 0.42500001192092896, 0.2142857164144516]","[46, 86, 33, 14, 40, 46, 29]","[27, 44, 10, 2, 14, 23, 7]","[0.5869565010070801, 0.5116279125213623, 0.3030303120613098, 0.1428571492433548, 0.3499999940395355, 0.5, 0.24137930572032928]"
150,0.2746331236897275,0.24004924199581154,0.8857142857142857,0.8908424908424909,183,468,0.391025641025641,0.98,"[0.8, 1.0, 1.0, 0.8, 1.0, 0.8, 0.8]","[0.558, 0.231, 0.205, 0.063, 0.354, 0.483, 0.0]","[0.18917064368724823, 0.13282769918441772, 0.13967034220695496, 0.14855526387691498, 0.16856035590171814, 0.12493783980607986, 0.09627760946750641]","[1.0, 0.7021580934524536, 0.7383298873901367, 0.7852976322174072, 0.8910492062568665, 0.6604504585266113, 0.5089458227157593]","[64, 80, 67, 38, 80, 75, 64]","[33, 40, 13, 14, 28, 36, 19]","[0.515625, 0.5, 0.19402985274791718, 0.3684210479259491, 0.3499999940395355, 0.47999998927116394, 0.296875]","[110, 166, 100, 52, 120, 121, 93]","[60, 84, 23, 16, 42, 59, 26]","[0.5454545617103577, 0.5060241222381592, 0.23000000417232513, 0.3076923191547394, 0.3499999940395355, 0.4876033067703247, 0.2795698940753937]"
175,0.2431865828092243,0.22783356386744552,0.9428571428571428,0.9444444444444444,164,403,0.40694789081885857,0.98,"[0.8, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]","[0.143, 0.4, 0.133, 0.025, 0.354, 0.517, 0.26]","[0.09556090086698532, 0.137425035238266, 0.1097218245267868, 0.07732919603586197, 0.17347127199172974, 0.19335810840129852, 0.21313342452049255]","[0.448361873626709, 0.6447840332984924, 0.5148034691810608, 0.3628205955028534, 0.8139092922210693, 0.9072162508964539, 1.0]","[76, 80, 47, 40, 57, 50, 53]","[54, 45, 11, 11, 12, 19, 12]","[0.7105262875556946, 0.5625, 0.23404255509376526, 0.2750000059604645, 0.21052631735801697, 0.3799999952316284, 0.22641509771347046]","[186, 246, 147, 92, 177, 171, 146]","[114, 129, 34, 27, 54, 78, 38]","[0.6129032373428345, 0.5243902206420898, 0.2312925159931183, 0.29347825050354004, 0.3050847351551056, 0.45614033937454224, 0.2602739632129669]"
200,0.2662473794549266,0.2534017032586822,0.9428571428571428,0.9422799422799423,285,721,0.39528432732316227,0.98,"[1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 0.8]","[0.312, 0.492, 0.108, 0.101, 0.354, 0.5, 0.04]","[0.1728779822587967, 0.16609138250350952, 0.0896693542599678, 0.15339770913124084, 0.1499800980091095, 0.17336031794548035, 0.094622902572155]","[0.9972177147865295, 0.9580703377723694, 0.5172426700592041, 0.8848490118980408, 0.865135133266449, 1.0, 0.5458163619041443]","[128, 97, 84, 69, 120, 119, 104]","[88, 53, 15, 23, 26, 58, 22]","[0.6875, 0.5463917255401611, 0.1785714328289032, 0.3333333432674408, 0.21666666865348816, 0.48739495873451233, 0.21153846383094788]","[314, 343, 231, 161, 297, 290, 250]","[202, 182, 49, 50, 80, 136, 60]","[0.6433120965957642, 0.5306122303009033, 0.21212121844291687, 0.3105590045452118, 0.2693602740764618, 0.4689655303955078, 0.23999999463558197]"
225,0.28721174004192873,0.27958791183080495,1.0,1.0,294,739,0.39783491204330174,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.299, 0.492, 0.145, 0.177, 0.308, 0.552, 0.08]","[0.11247389763593674, 0.1409877985715866, 0.1301514059305191, 0.22271183133125305, 0.1470014601945877, 0.14175182580947876, 0.10492155700922012]","[0.5050198435783386, 0.6330503225326538, 0.5843937397003174, 1.0, 0.6600522994995117, 0.6364808678627014, 0.4711090326309204]","[143, 129, 77, 92, 142, 74, 82]","[100, 71, 15, 24, 27, 41, 16]","[0.6993007063865662, 0.5503876209259033, 0.19480518996715546, 0.260869562625885, 0.19014084339141846, 0.5540540814399719, 0.19512194395065308]","[457, 472, 308, 253, 439, 364, 332]","[302, 253, 64, 74, 107, 177, 76]","[0.6608315110206604, 0.5360169410705566, 0.20779220759868622, 0.2924901247024536, 0.24373576045036316, 0.4862637221813202, 0.22891566157341003]"
