step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.13626834381551362,0.034264628360569316,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.19916142557651992,0.12533754951179105,1.0,1.0,2,9,0.2222222222222222,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.74, 0.062, 0.0, 0.0, 0.354, 0.172, 0.02]","[0.19612561166286469, 0.10400561988353729, 0.09616382420063019, 0.10542979836463928, 0.2011936455965042, 0.1603698581457138, 0.13671141862869263]","[0.9748101830482483, 0.5169428586959839, 0.4779665172100067, 0.5240215063095093, 1.0, 0.797092080116272, 0.6795016527175903]","[0, 0, 0, 0, 1, 0, 8]","[0, 0, 0, 0, 0, 0, 2]","[nan, nan, nan, nan, 0.0, nan, 0.25]","[0, 0, 0, 0, 1, 0, 8]","[0, 0, 0, 0, 0, 0, 2]","[nan, nan, nan, nan, 0.0, nan, 0.25]"
50,0.18867924528301888,0.17230083828422524,1.0,1.0,21,93,0.22580645161290322,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.273, 0.231, 0.012, 0.076, 0.308, 0.397, 0.08]","[0.13495944440364838, 0.153726264834404, 0.11033693701028824, 0.1328512579202652, 0.18169113993644714, 0.157731294631958, 0.12870346009731293]","[0.7427959442138672, 0.8460856676101685, 0.6072774529457092, 0.7311928272247314, 1.0, 0.8681287169456482, 0.7083640098571777]","[3, 13, 5, 6, 12, 3, 51]","[1, 7, 2, 2, 1, 2, 6]","[0.3333333432674408, 0.5384615659713745, 0.4000000059604645, 0.3333333432674408, 0.0833333358168602, 0.6666666865348816, 0.11764705926179886]","[3, 13, 5, 6, 13, 3, 59]","[1, 7, 2, 2, 1, 2, 8]","[0.3333333432674408, 0.5384615659713745, 0.4000000059604645, 0.3333333432674408, 0.07692307978868484, 0.6666666865348816, 0.1355932205915451]"
75,0.21593291404612158,0.2019286627760332,1.0,1.0,53,302,0.17549668874172186,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.299, 0.215, 0.12, 0.19, 0.354, 0.293, 0.02]","[0.13077802956104279, 0.12449159473180771, 0.24337008595466614, 0.16911210119724274, 0.18980172276496887, 0.102926105260849, 0.039520103484392166]","[0.537362813949585, 0.5115320086479187, 1.0, 0.6948763132095337, 0.7798892855644226, 0.4229201078414917, 0.16238686442375183]","[21, 51, 42, 51, 39, 17, 81]","[8, 11, 9, 7, 5, 2, 11]","[0.380952388048172, 0.21568627655506134, 0.2142857164144516, 0.13725490868091583, 0.12820513546466827, 0.11764705926179886, 0.1358024626970291]","[24, 64, 47, 57, 52, 20, 140]","[9, 18, 11, 9, 6, 4, 19]","[0.375, 0.28125, 0.23404255509376526, 0.15789473056793213, 0.11538461595773697, 0.20000000298023224, 0.13571429252624512]"
100,0.18867924528301888,0.17646297961383342,1.0,1.0,131,692,0.1893063583815029,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.143, 0.215, 0.072, 0.278, 0.338, 0.241, 0.02]","[0.17961309850215912, 0.091237872838974, 0.08996368199586868, 0.18306833505630493, 0.2071242332458496, 0.1638677418231964, 0.08512479066848755]","[0.8671756982803345, 0.4404982924461365, 0.434346467256546, 0.8838576078414917, 1.0, 0.7911567687988281, 0.41098421812057495]","[77, 156, 95, 105, 82, 79, 98]","[18, 47, 8, 10, 17, 16, 15]","[0.23376622796058655, 0.30128204822540283, 0.08421052992343903, 0.095238097012043, 0.2073170691728592, 0.20253165066242218, 0.15306122601032257]","[101, 220, 142, 162, 134, 99, 238]","[27, 65, 19, 19, 23, 20, 34]","[0.2673267424106598, 0.2954545319080353, 0.13380281627178192, 0.11728394776582718, 0.17164179682731628, 0.20202019810676575, 0.1428571492433548]"
125,0.2180293501048218,0.1991017225624537,1.0,1.0,159,914,0.1739606126914661,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.247, 0.215, 0.084, 0.165, 0.446, 0.362, 0.02]","[0.16578206419944763, 0.19845548272132874, 0.10422005504369736, 0.10228122770786285, 0.15716400742530823, 0.18891720473766327, 0.08317973464727402]","[0.8353614807128906, 1.0, 0.5251558423042297, 0.5153862237930298, 0.7919358015060425, 0.9519374370574951, 0.4191354811191559]","[121, 193, 133, 141, 130, 105, 91]","[25, 38, 20, 22, 28, 19, 7]","[0.20661157369613647, 0.196891188621521, 0.15037593245506287, 0.1560283750295639, 0.2153846174478531, 0.18095238506793976, 0.07692307978868484]","[222, 413, 275, 303, 264, 204, 329]","[52, 103, 39, 41, 51, 39, 41]","[0.23423422873020172, 0.24939467012882233, 0.14181818068027496, 0.13531352579593658, 0.1931818127632141, 0.19117647409439087, 0.12462005764245987]"
150,0.19916142557651992,0.18657834761046313,1.0,1.0,175,1069,0.1637043966323667,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.156, 0.231, 0.06, 0.215, 0.354, 0.379, 0.02]","[0.19025179743766785, 0.11167003214359283, 0.05490252748131752, 0.336319237947464, 0.13373400270938873, 0.1025628075003624, 0.07055933773517609]","[0.5656881332397461, 0.3320358097553253, 0.1632452756166458, 1.0, 0.39764004945755005, 0.30495670437812805, 0.2097986936569214]","[131, 223, 121, 176, 119, 188, 111]","[16, 47, 18, 27, 24, 26, 17]","[0.1221374049782753, 0.21076233685016632, 0.1487603336572647, 0.15340909361839294, 0.20168067514896393, 0.13829787075519562, 0.15315315127372742]","[353, 636, 396, 479, 383, 392, 440]","[68, 150, 57, 68, 75, 65, 58]","[0.19263456761837006, 0.2358490526676178, 0.14393939077854156, 0.1419624239206314, 0.19582244753837585, 0.1658163219690323, 0.13181817531585693]"
175,0.1928721174004193,0.1798811006105992,1.0,1.0,190,1142,0.16637478108581435,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.156, 0.2, 0.06, 0.203, 0.385, 0.345, 0.02]","[0.14247114956378937, 0.12239430844783783, 0.14214687049388885, 0.14465807378292084, 0.16608522832393646, 0.22438275814056396, 0.057861410081386566]","[0.6349469423294067, 0.5454710721969604, 0.6335017681121826, 0.6446933746337891, 0.7401871085166931, 1.0, 0.25786924362182617]","[137, 225, 129, 152, 157, 242, 100]","[14, 43, 17, 21, 34, 46, 15]","[0.10218977928161621, 0.19111111760139465, 0.13178294897079468, 0.1381578892469406, 0.2165605127811432, 0.1900826394557953, 0.15000000596046448]","[490, 861, 525, 631, 540, 634, 540]","[82, 193, 74, 89, 109, 111, 73]","[0.16734693944454193, 0.22415795922279358, 0.14095237851142883, 0.1410459578037262, 0.20185184478759766, 0.1750788688659668, 0.13518518209457397]"
200,0.1928721174004193,0.1799991096150608,1.0,1.0,184,1168,0.15753424657534246,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.231, 0.06, 0.215, 0.369, 0.345, 0.02]","[0.17864331603050232, 0.17140473425388336, 0.08477884531021118, 0.17573320865631104, 0.17670921981334686, 0.12234405428171158, 0.09038635343313217]","[1.0, 0.9594802260398865, 0.47457048296928406, 0.9837099313735962, 0.989173412322998, 0.6848509907722473, 0.5059598684310913]","[145, 201, 129, 206, 135, 254, 98]","[15, 44, 13, 24, 35, 47, 6]","[0.1034482792019844, 0.2189054787158966, 0.10077519714832306, 0.11650485545396805, 0.25925925374031067, 0.18503937125205994, 0.06122449040412903]","[635, 1062, 654, 837, 675, 888, 638]","[97, 237, 87, 113, 144, 158, 79]","[0.15275590121746063, 0.22316384315490723, 0.13302752375602722, 0.13500598073005676, 0.2133333384990692, 0.1779279261827469, 0.12382445484399796]"
225,0.18867924528301888,0.17270591694624451,1.0,1.0,217,1258,0.1724960254372019,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.156, 0.231, 0.06, 0.114, 0.431, 0.345, 0.02]","[0.24039509892463684, 0.06758656352758408, 0.0786907970905304, 0.07696819305419922, 0.20699942111968994, 0.23346208035945892, 0.09589756280183792]","[1.0, 0.281147837638855, 0.32733944058418274, 0.3201737105846405, 0.8610800504684448, 0.9711598753929138, 0.39891645312309265]","[158, 235, 131, 191, 197, 259, 87]","[17, 53, 18, 19, 50, 49, 11]","[0.10759493708610535, 0.2255319207906723, 0.13740457594394684, 0.09947644174098969, 0.25380709767341614, 0.18918919563293457, 0.12643678486347198]","[793, 1297, 785, 1028, 872, 1147, 725]","[114, 290, 105, 132, 194, 207, 90]","[0.1437578797340393, 0.22359290719032288, 0.13375796377658844, 0.1284046620130539, 0.22247706353664398, 0.1804707944393158, 0.12413793057203293]"
250,0.19077568134171907,0.17771797277416043,1.0,1.0,196,1315,0.14904942965779466,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.231, 0.06, 0.19, 0.385, 0.345, 0.02]","[0.18000183999538422, 0.1283930391073227, 0.045721568167209625, 0.19581851363182068, 0.16945099830627441, 0.22197754681110382, 0.058636270463466644]","[0.8109011054039001, 0.578405499458313, 0.20597384870052338, 0.8821545839309692, 0.7633699774742126, 1.0, 0.2641540467739105]","[169, 229, 133, 254, 178, 263, 89]","[24, 46, 14, 20, 37, 43, 12]","[0.1420118361711502, 0.20087336003780365, 0.10526315867900848, 0.07874015718698502, 0.2078651636838913, 0.16349810361862183, 0.13483145833015442]","[962, 1526, 918, 1282, 1050, 1410, 814]","[138, 336, 119, 152, 231, 250, 102]","[0.14345113933086395, 0.22018349170684814, 0.12962962687015533, 0.11856473982334137, 0.2199999988079071, 0.1773049682378769, 0.1253071278333664]"
275,0.19077568134171907,0.17622312981227475,1.0,1.0,207,1316,0.15729483282674772,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.143, 0.231, 0.06, 0.152, 0.415, 0.345, 0.02]","[0.1824563443660736, 0.13442394137382507, 0.030412105843424797, 0.16032321751117706, 0.18021705746650696, 0.2225925624370575, 0.08957456052303314]","[0.8196874856948853, 0.6039013266563416, 0.13662678003311157, 0.720254123210907, 0.8096274733543396, 1.0, 0.40241488814353943]","[183, 227, 118, 236, 172, 277, 103]","[21, 44, 15, 17, 47, 48, 15]","[0.1147540956735611, 0.1938326060771942, 0.12711864709854126, 0.07203389704227448, 0.2732558250427246, 0.17328520119190216, 0.1456310749053955]","[1145, 1753, 1036, 1518, 1222, 1687, 917]","[159, 380, 134, 169, 278, 298, 117]","[0.13886462152004242, 0.21677124500274658, 0.12934362888336182, 0.11133069545030594, 0.22749590873718262, 0.1766449362039566, 0.12758997082710266]"
300,0.18238993710691823,0.17061038052880736,1.0,1.0,218,1401,0.15560314061384725,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.215, 0.06, 0.177, 0.354, 0.345, 0.02]","[0.09937465935945511, 0.13980361819267273, 0.10707807540893555, 0.23287223279476166, 0.1443072259426117, 0.2241620272397995, 0.05240195617079735]","[0.42673468589782715, 0.600344717502594, 0.4598146975040436, 1.0, 0.619684100151062, 0.9625966548919678, 0.2250244915485382]","[190, 255, 138, 214, 203, 287, 114]","[15, 50, 14, 28, 48, 50, 13]","[0.07894736528396606, 0.19607843458652496, 0.10144927352666855, 0.13084112107753754, 0.23645320534706116, 0.17421603202819824, 0.11403508484363556]","[1335, 2008, 1174, 1732, 1425, 1974, 1031]","[174, 430, 148, 197, 326, 348, 130]","[0.13033707439899445, 0.21414342522621155, 0.126064732670784, 0.11374133825302124, 0.22877192497253418, 0.1762917935848236, 0.12609116733074188]"
325,0.18448637316561844,0.17054897810549377,1.0,1.0,197,1287,0.15306915306915306,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13, 0.2, 0.06, 0.165, 0.4, 0.345, 0.02]","[0.12111331522464752, 0.09698663651943207, 0.08312004804611206, 0.14535778760910034, 0.20240119099617004, 0.26229795813560486, 0.08872279524803162]","[0.4617394506931305, 0.3697575032711029, 0.31689170002937317, 0.5541704893112183, 0.7716460824012756, 1.0, 0.3382519483566284]","[164, 212, 138, 235, 163, 262, 113]","[17, 51, 20, 16, 37, 43, 13]","[0.1036585345864296, 0.24056604504585266, 0.14492753148078918, 0.06808510422706604, 0.2269938588142395, 0.16412213444709778, 0.1150442510843277]","[1499, 2220, 1312, 1967, 1588, 2236, 1144]","[191, 481, 168, 213, 363, 391, 143]","[0.12741827964782715, 0.21666666865348816, 0.12804877758026123, 0.10828673094511032, 0.22858941555023193, 0.17486582696437836, 0.125]"
350,0.19077568134171907,0.1730296708231886,1.0,1.0,216,1365,0.15824175824175823,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.117, 0.2, 0.06, 0.19, 0.431, 0.345, 0.02]","[0.10933010280132294, 0.13156811892986298, 0.041188810020685196, 0.19563661515712738, 0.1938684582710266, 0.25922873616218567, 0.06917893141508102]","[0.421751469373703, 0.507536768913269, 0.15888983011245728, 0.7546872496604919, 0.7478663921356201, 1.0, 0.26686444878578186]","[186, 215, 153, 242, 175, 314, 80]","[19, 47, 23, 29, 32, 56, 10]","[0.10215053707361221, 0.2186046540737152, 0.15032680332660675, 0.11983471363782883, 0.18285714089870453, 0.17834395170211792, 0.125]","[1685, 2435, 1465, 2209, 1763, 2550, 1224]","[210, 528, 191, 242, 395, 447, 153]","[0.12462908029556274, 0.2168377786874771, 0.1303754299879074, 0.10955183207988739, 0.224049910902977, 0.17529411613941193, 0.125]"
375,0.18029350104821804,0.16701076368595366,1.0,1.0,213,1371,0.15536105032822758,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.117, 0.231, 0.048, 0.177, 0.354, 0.345, 0.02]","[0.20407462120056152, 0.12989188730716705, 0.027725020423531532, 0.23638956248760223, 0.20081160962581635, 0.13774722814559937, 0.06335985660552979]","[0.8632979393005371, 0.5494823455810547, 0.11728529632091522, 1.0, 0.8494943976402283, 0.5827128291130066, 0.2680315375328064]","[209, 242, 135, 268, 117, 297, 103]","[23, 51, 14, 32, 26, 55, 12]","[0.110047847032547, 0.21074379980564117, 0.10370370000600815, 0.11940298229455948, 0.2222222238779068, 0.18518517911434174, 0.11650485545396805]","[1894, 2677, 1600, 2477, 1880, 2847, 1327]","[233, 579, 205, 274, 421, 502, 165]","[0.12302006036043167, 0.21628688275814056, 0.12812499701976776, 0.11061768233776093, 0.22393617033958435, 0.1763259619474411, 0.12434061616659164]"
record_time,best_step,test_acc,test_f1,device_idx,dataset,n_labeled_per_class,bs,ul_ratio,lr,weight_u_loss,psl_threshold_h,adaptive_threshold,num_nets,cross_labeling,weight_disagreement,disagree_weight,ema_mode,ema_momentum,val_interval,early_stop_tolerance,max_step,seed
20240122-030134,125,0.350104821802935,0.34125486483428497,0,code_complex/python_extended_data,1,8,10,1e-05,1,0.98,True,2,True,True,0.9,True,0.9,25,10,100000,4
