step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16973415132924335,0.10092040445942442,0.0,0.0,0,0,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.373, 0.0, 0.0, 0.486, 0.273, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.25766871165644173,0.22834432973720312,1.0,1.0,3,11,0.2727272727272727,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.587, 0.1, 0.09, 0.114, 0.455, 0.119, 0.3]","[0.23180091381072998, 0.11580377072095871, 0.11768348515033722, 0.14152821898460388, 0.11682003736495972, 0.12442442774772644, 0.15193891525268555]","[1.0, 0.4995828866958618, 0.5076920390129089, 0.610559344291687, 0.5039671063423157, 0.5367727875709534, 0.6554716229438782]","[0, 3, 2, 0, 2, 4, 0]","[0, 0, 2, 0, 1, 0, 0]","[nan, 0.0, 1.0, nan, 0.5, 0.0, nan]","[0, 3, 2, 0, 2, 4, 0]","[0, 0, 2, 0, 1, 0, 0]","[nan, 0.0, 1.0, nan, 0.5, 0.0, nan]"
50,0.23721881390593047,0.1858203652724171,1.0,1.0,39,197,0.19796954314720813,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.373, 0.171, 0.051, 0.057, 0.727, 0.017, 0.183]","[0.18471582233905792, 0.12046957015991211, 0.08919493854045868, 0.10386201739311218, 0.2744921147823334, 0.08696424961090088, 0.14030107855796814]","[0.672936737537384, 0.4388817250728607, 0.3249453604221344, 0.37837886810302734, 1.0, 0.3168187439441681, 0.5111297369003296]","[26, 70, 10, 20, 34, 18, 19]","[16, 7, 1, 1, 11, 2, 1]","[0.6153846383094788, 0.10000000149011612, 0.10000000149011612, 0.05000000074505806, 0.3235294222831726, 0.1111111119389534, 0.05263157933950424]","[26, 73, 12, 20, 36, 22, 19]","[16, 7, 3, 1, 12, 2, 1]","[0.6153846383094788, 0.09589041024446487, 0.25, 0.05000000074505806, 0.3333333432674408, 0.09090909361839294, 0.05263157933950424]"
75,0.21881390593047034,0.21323847926079995,1.0,1.0,140,512,0.2734375,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.387, 0.043, 0.154, 0.171, 0.273, 0.305, 0.2]","[0.16859136521816254, 0.05019575357437134, 0.1779840886592865, 0.18648821115493774, 0.10777529329061508, 0.2229856550693512, 0.08597935736179352]","[0.75606369972229, 0.22510755062103271, 0.7981862425804138, 0.8363237977027893, 0.48332837224006653, 1.0, 0.38558244705200195]","[103, 147, 51, 53, 56, 36, 66]","[56, 23, 10, 11, 19, 7, 14]","[0.5436893105506897, 0.15646257996559143, 0.19607843458652496, 0.2075471729040146, 0.3392857015132904, 0.1944444477558136, 0.21212121844291687]","[129, 220, 63, 73, 92, 58, 85]","[72, 30, 13, 12, 31, 9, 15]","[0.5581395626068115, 0.13636364042758942, 0.2063492089509964, 0.16438356041908264, 0.33695653080940247, 0.1551724076271057, 0.1764705926179886]"
100,0.2249488752556237,0.22528566919586632,1.0,1.0,122,469,0.2601279317697228,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.147, 0.243, 0.141, 0.214, 0.299, 0.153, 0.4]","[0.09606293588876724, 0.13089685142040253, 0.13963384926319122, 0.11630722880363464, 0.16220062971115112, 0.17525331676006317, 0.1796448975801468]","[0.5347378849983215, 0.7286421656608582, 0.7772769927978516, 0.6474285125732422, 0.9028958082199097, 0.9755541086196899, 1.0]","[90, 115, 96, 49, 48, 28, 43]","[36, 18, 25, 13, 15, 6, 9]","[0.4000000059604645, 0.156521737575531, 0.2604166567325592, 0.26530611515045166, 0.3125, 0.2142857164144516, 0.20930232107639313]","[219, 335, 159, 122, 140, 86, 128]","[108, 48, 38, 25, 46, 15, 24]","[0.4931506812572479, 0.14328357577323914, 0.23899370431900024, 0.2049180269241333, 0.3285714387893677, 0.1744185984134674, 0.1875]"
125,0.2474437627811861,0.23189185865480955,1.0,1.0,156,556,0.2805755395683453,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.32, 0.029, 0.154, 0.343, 0.416, 0.068, 0.383]","[0.08658431470394135, 0.03630286455154419, 0.1684991866350174, 0.15352162718772888, 0.27408793568611145, 0.09300445020198822, 0.1879993975162506]","[0.3158997595310211, 0.1324497014284134, 0.6147632598876953, 0.5601181387901306, 1.0, 0.33932340145111084, 0.6859090328216553]","[80, 93, 111, 77, 57, 67, 71]","[53, 20, 16, 27, 14, 12, 14]","[0.6625000238418579, 0.2150537669658661, 0.14414414763450623, 0.350649356842041, 0.24561403691768646, 0.17910447716712952, 0.19718310236930847]","[299, 428, 270, 199, 197, 153, 199]","[161, 68, 54, 52, 60, 27, 38]","[0.5384615659713745, 0.15887850522994995, 0.20000000298023224, 0.2613065242767334, 0.3045685291290283, 0.1764705926179886, 0.1909547746181488]"
150,0.2474437627811861,0.2234950876380982,1.0,1.0,186,609,0.3054187192118227,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.413, 0.0, 0.128, 0.386, 0.429, 0.068, 0.267]","[0.11697675287723541, 0.01895541325211525, 0.17839285731315613, 0.23102067410945892, 0.1786581128835678, 0.08818850666284561, 0.18780741095542908]","[0.5063475370407104, 0.08205072581768036, 0.7721943259239197, 1.0, 0.7733425498008728, 0.3817342519760132, 0.8129463195800781]","[117, 88, 124, 90, 63, 66, 61]","[69, 15, 35, 34, 13, 10, 10]","[0.5897436141967773, 0.17045454680919647, 0.2822580635547638, 0.3777777850627899, 0.2063492089509964, 0.1515151560306549, 0.16393442451953888]","[416, 516, 394, 289, 260, 219, 260]","[230, 83, 89, 86, 73, 37, 48]","[0.5528846383094788, 0.16085271537303925, 0.22588832676410675, 0.2975778579711914, 0.2807692289352417, 0.16894976794719696, 0.1846153885126114]"
175,0.25153374233128833,0.2309982211615986,1.0,1.0,229,722,0.3171745152354571,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4, 0.0, 0.154, 0.386, 0.377, 0.068, 0.35]","[0.07660217583179474, 0.009998723864555359, 0.1797633171081543, 0.2145189344882965, 0.18719671666622162, 0.12907418608665466, 0.20284567773342133]","[0.357088178396225, 0.04660998284816742, 0.8379834294319153, 1.0, 0.8726349472999573, 0.6016913652420044, 0.9455839991569519]","[151, 5, 119, 120, 104, 105, 118]","[84, 0, 26, 45, 30, 19, 25]","[0.556291401386261, 0.0, 0.21848739683628082, 0.375, 0.2884615361690521, 0.18095238506793976, 0.2118644118309021]","[567, 521, 513, 409, 364, 324, 378]","[314, 83, 115, 131, 103, 56, 73]","[0.553791880607605, 0.1593090146780014, 0.22417153418064117, 0.3202933967113495, 0.2829670310020447, 0.17283950746059418, 0.19312168657779694]"
200,0.25153374233128833,0.22611430288879078,1.0,1.0,201,737,0.2727272727272727,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.387, 0.0, 0.115, 0.4, 0.429, 0.085, 0.317]","[0.10800968110561371, 0.010391633957624435, 0.1409951150417328, 0.23401618003845215, 0.22622722387313843, 0.11692475527524948, 0.16343513131141663]","[0.4615479111671448, 0.04440562054514885, 0.6025015711784363, 1.0, 0.9667161703109741, 0.49964389204978943, 0.6983924508094788]","[130, 5, 165, 102, 96, 138, 101]","[71, 0, 34, 33, 31, 22, 10]","[0.5461538434028625, 0.0, 0.20606060326099396, 0.3235294222831726, 0.3229166567325592, 0.15942029654979706, 0.09900990128517151]","[697, 526, 678, 511, 460, 462, 479]","[385, 83, 149, 164, 134, 78, 83]","[0.5523672699928284, 0.15779468417167664, 0.21976400911808014, 0.3209393322467804, 0.291304349899292, 0.16883116960525513, 0.17327766120433807]"
225,0.25153374233128833,0.2223985486696085,1.0,1.0,234,893,0.2620380739081747,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.427, 0.0, 0.167, 0.429, 0.429, 0.068, 0.183]","[0.18808653950691223, 0.007110031321644783, 0.18561166524887085, 0.2297227531671524, 0.16091540455818176, 0.11066336929798126, 0.11789001524448395]","[0.8187544941902161, 0.03095048852264881, 0.8079811930656433, 1.0, 0.7004765868186951, 0.4817257523536682, 0.5131838917732239]","[169, 5, 157, 148, 142, 141, 131]","[93, 0, 28, 40, 36, 19, 18]","[0.5502958297729492, 0.0, 0.17834395170211792, 0.2702702581882477, 0.2535211145877838, 0.13475176692008972, 0.13740457594394684]","[866, 531, 835, 659, 602, 603, 610]","[478, 83, 177, 204, 170, 97, 101]","[0.5519630312919617, 0.1563088446855545, 0.2119760513305664, 0.3095599412918091, 0.2823920249938965, 0.16086235642433167, 0.16557377576828003]"
