step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.16973415132924335,0.12604795899676807,0.08571428571428572,0.05996846956099927,0,0,,0.0,"[0.0, 0.3, 0.1, 0.2, 0.0, 0.0, 0.0]","[0.013, 0.243, 0.41, 0.371, 0.026, 0.0, 0.083]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.2147239263803681,0.10672315466296745,0.24285714285714285,0.13486513486513488,0,0,,0.98,"[0.7, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.413, 0.0, 0.0, 0.0, 0.961, 0.0, 0.0]","[0.15979211032390594, 0.14918380975723267, 0.15253618359565735, 0.10469570010900497, 0.16296976804733276, 0.1429602950811386, 0.127861887216568]","[0.9805015325546265, 0.9154078960418701, 0.9359784126281738, 0.6424240469932556, 1.0, 0.8772197365760803, 0.7845742702484131]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.17995910020449898,0.10737083050091803,0.38571428571428573,0.28622887072233827,0,0,,0.98,"[1.0, 0.0, 0.6, 0.8, 0.0, 0.3, 0.0]","[0.507, 0.0, 0.128, 0.557, 0.0, 0.017, 0.0]","[0.140255868434906, 0.10495022684335709, 0.15814681351184845, 0.177396759390831, 0.11999285221099854, 0.15817032754421234, 0.14108692109584808]","[0.7906337976455688, 0.5916129946708679, 0.8914864659309387, 1.0, 0.6764094829559326, 0.8916190266609192, 0.7953184843063354]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
75,0.26380368098159507,0.21758194708800743,0.6714285714285714,0.6214271135930122,0,0,,0.98,"[1.0, 1.0, 0.9, 0.3, 0.1, 0.4, 1.0]","[0.467, 0.614, 0.218, 0.029, 0.013, 0.068, 0.45]","[0.16717061400413513, 0.16337773203849792, 0.16907212138175964, 0.10666904598474503, 0.1017523854970932, 0.1411646604537964, 0.1507931500673294]","[0.9887532591819763, 0.966319739818573, 1.0, 0.6309085488319397, 0.6018282771110535, 0.8349375128746033, 0.8918865323066711]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
100,0.30879345603271985,0.2902771631289495,0.9428571428571428,0.9436531286809157,0,0,,0.98,"[1.0, 1.0, 0.9, 1.0, 1.0, 0.9, 0.8]","[0.48, 0.586, 0.141, 0.371, 0.143, 0.169, 0.267]","[0.18729540705680847, 0.20167480409145355, 0.09520283341407776, 0.15590685606002808, 0.11649855971336365, 0.12550762295722961, 0.11791373044252396]","[0.9287000894546509, 1.0, 0.4720611274242401, 0.77306067943573, 0.5776554942131042, 0.6223267316818237, 0.5846725702285767]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
125,0.32515337423312884,0.3149798284878909,0.9714285714285714,0.9713569638381668,17,27,0.6296296296296297,0.98,"[1.0, 1.0, 0.9, 1.0, 1.0, 0.9, 1.0]","[0.453, 0.571, 0.295, 0.229, 0.156, 0.339, 0.233]","[0.1733904480934143, 0.19928672909736633, 0.14652611315250397, 0.11765730381011963, 0.13889525830745697, 0.12482102960348129, 0.09942290186882019]","[0.8700551390647888, 1.0, 0.7352527379989624, 0.5903920531272888, 0.6969618797302246, 0.6263388991355896, 0.49889373779296875]","[16, 4, 6, 0, 1, 0, 0]","[13, 2, 2, 0, 0, 0, 0]","[0.8125, 0.5, 0.3333333432674408, nan, 0.0, nan, nan]","[16, 4, 6, 0, 1, 0, 0]","[13, 2, 2, 0, 0, 0, 0]","[0.8125, 0.5, 0.3333333432674408, nan, 0.0, nan, nan]"
150,0.3312883435582822,0.3271999443277653,0.9857142857142858,0.9856784819190835,97,238,0.40756302521008403,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0]","[0.493, 0.486, 0.244, 0.286, 0.195, 0.322, 0.3]","[0.21688765287399292, 0.16206644475460052, 0.11294049769639969, 0.1624630242586136, 0.09429957717657089, 0.12626966834068298, 0.12507294118404388]","[1.0, 0.7472368478775024, 0.5207327008247375, 0.7490653395652771, 0.4347853660583496, 0.5821892619132996, 0.5766715407371521]","[63, 28, 48, 15, 33, 19, 32]","[45, 9, 18, 1, 6, 9, 9]","[0.7142857313156128, 0.3214285671710968, 0.375, 0.06666667014360428, 0.1818181872367859, 0.4736842215061188, 0.28125]","[79, 32, 54, 15, 34, 19, 32]","[58, 11, 20, 1, 6, 9, 9]","[0.7341772317886353, 0.34375, 0.37037035822868347, 0.06666667014360428, 0.1764705926179886, 0.4736842215061188, 0.28125]"
175,0.3333333333333333,0.31923852675723163,0.9714285714285714,0.9713569638381669,149,432,0.3449074074074074,0.98,"[0.9, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0]","[0.36, 0.7, 0.269, 0.129, 0.221, 0.288, 0.383]","[0.10836976766586304, 0.25907543301582336, 0.1648426353931427, 0.07992568612098694, 0.14740782976150513, 0.1125006154179573, 0.12787781655788422]","[0.4182942509651184, 1.0, 0.6362727284431458, 0.30850353837013245, 0.5689764618873596, 0.43423885107040405, 0.4935929775238037]","[71, 45, 90, 31, 86, 62, 47]","[40, 19, 31, 3, 20, 22, 14]","[0.5633803009986877, 0.42222222685813904, 0.3444444537162781, 0.09677419066429138, 0.23255814611911774, 0.35483869910240173, 0.2978723347187042]","[150, 77, 144, 46, 120, 81, 79]","[98, 30, 51, 4, 26, 31, 23]","[0.653333306312561, 0.3896103799343109, 0.3541666567325592, 0.08695652335882187, 0.21666666865348816, 0.3827160596847534, 0.29113924503326416]"
200,0.32515337423312884,0.325252028591259,0.9714285714285714,0.9713927676333692,220,577,0.38128249566724437,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","[0.4, 0.529, 0.256, 0.229, 0.234, 0.339, 0.3]","[0.15748262405395508, 0.14347660541534424, 0.21031443774700165, 0.17705821990966797, 0.1017945259809494, 0.08087734878063202, 0.12899599969387054]","[0.7487960457801819, 0.6822004318237305, 1.0, 0.841873824596405, 0.48401111364364624, 0.3845544159412384, 0.6133483052253723]","[101, 76, 100, 64, 94, 79, 63]","[63, 31, 39, 16, 23, 31, 17]","[0.6237623691558838, 0.40789473056793213, 0.38999998569488525, 0.25, 0.24468085169792175, 0.39240506291389465, 0.2698412835597992]","[251, 153, 244, 110, 214, 160, 142]","[161, 61, 90, 20, 49, 62, 40]","[0.6414342522621155, 0.3986928164958954, 0.3688524663448334, 0.1818181872367859, 0.2289719581604004, 0.38749998807907104, 0.28169015049934387]"
225,0.34355828220858897,0.3426171261992584,1.0,1.0,270,765,0.35294117647058826,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.453, 0.5, 0.256, 0.257, 0.208, 0.373, 0.383]","[0.16163194179534912, 0.19693073630332947, 0.20489034056663513, 0.12372075021266937, 0.1311514526605606, 0.07939502596855164, 0.10227957367897034]","[0.7888704538345337, 0.9611518979072571, 1.0, 0.6038388609886169, 0.6401056051254272, 0.3875001072883606, 0.4991917908191681]","[146, 82, 103, 81, 131, 116, 106]","[79, 38, 31, 12, 36, 43, 31]","[0.5410959124565125, 0.46341463923454285, 0.3009708821773529, 0.14814814925193787, 0.2748091518878937, 0.37068966031074524, 0.2924528419971466]","[397, 235, 347, 191, 345, 276, 248]","[240, 99, 121, 32, 85, 105, 71]","[0.6045340299606323, 0.42127659916877747, 0.34870317578315735, 0.16753926873207092, 0.24637681245803833, 0.3804347813129425, 0.28629031777381897]"
