step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.15337423312883436,0.037993920972644375,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.22085889570552147,0.13310386870513452,0.42857142857142855,0.30357142857142855,0,0,,0.98,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.227, 0.414, 0.0, 0.0, 0.805, 0.0, 0.0]","[0.12413990497589111, 0.15752871334552765, 0.15586727857589722, 0.13670802116394043, 0.19028395414352417, 0.0997549444437027, 0.13571691513061523]","[0.6523929238319397, 0.8278612494468689, 0.8191298842430115, 0.7184422016143799, 1.0, 0.5242425203323364, 0.7132336497306824]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.22903885480572597,0.2232477652063456,1.0,1.0,30,33,0.9090909090909091,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.229, 0.038, 0.343, 0.39, 0.068, 0.167]","[0.19662944972515106, 0.20064295828342438, 0.12267984449863434, 0.13727469742298126, 0.12785670161247253, 0.1266578584909439, 0.08825826644897461]","[0.9799967408180237, 1.0, 0.6114335656166077, 0.6841740012168884, 0.6372349262237549, 0.6312599182128906, 0.4398772120475769]","[31, 0, 0, 0, 0, 1, 1]","[29, 0, 0, 0, 0, 0, 1]","[0.9354838728904724, nan, nan, nan, nan, 0.0, 1.0]","[31, 0, 0, 0, 0, 1, 1]","[29, 0, 0, 0, 0, 0, 1]","[0.9354838728904724, nan, nan, nan, nan, 0.0, 1.0]"
75,0.18813905930470348,0.18425227397373203,0.9523809523809523,0.9510204081632653,110,236,0.4661016949152542,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2, 0.157, 0.077, 0.443, 0.169, 0.017, 0.25]","[0.09634489566087723, 0.16942285001277924, 0.15288378298282623, 0.20564693212509155, 0.11661375313997269, 0.09637647122144699, 0.16271105408668518]","[0.4684966206550598, 0.8238530158996582, 0.7434284687042236, 1.0, 0.5670580863952637, 0.4686501920223236, 0.7912155389785767]","[110, 8, 18, 10, 10, 39, 41]","[90, 3, 4, 3, 2, 2, 6]","[0.8181818127632141, 0.375, 0.2222222238779068, 0.30000001192092896, 0.20000000298023224, 0.05128205195069313, 0.1463414579629898]","[141, 8, 18, 10, 10, 40, 42]","[119, 3, 4, 3, 2, 2, 7]","[0.8439716100692749, 0.375, 0.2222222238779068, 0.30000001192092896, 0.20000000298023224, 0.05000000074505806, 0.1666666716337204]"
100,0.17995910020449898,0.1660740320288215,0.9523809523809523,0.9510204081632653,214,604,0.3543046357615894,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.187, 0.171, 0.064, 0.543, 0.039, 0.119, 0.15]","[0.06597237288951874, 0.21347127854824066, 0.11482647806406021, 0.23671238124370575, 0.08754099905490875, 0.15517686307430267, 0.1262993961572647]","[0.27870267629623413, 0.9018171429634094, 0.48508861660957336, 1.0, 0.36982011795043945, 0.6555502414703369, 0.533556342124939]","[134, 95, 65, 48, 34, 84, 144]","[119, 14, 13, 15, 13, 6, 34]","[0.888059675693512, 0.1473684161901474, 0.20000000298023224, 0.3125, 0.38235294818878174, 0.0714285746216774, 0.2361111044883728]","[275, 103, 83, 58, 44, 124, 186]","[238, 17, 17, 18, 15, 8, 41]","[0.8654545545578003, 0.1650485396385193, 0.20481927692890167, 0.3103448152542114, 0.34090909361839294, 0.06451612710952759, 0.22043010592460632]"
125,0.19631901840490798,0.19197592166353927,0.9523809523809523,0.9510204081632653,203,604,0.3360927152317881,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.213, 0.171, 0.154, 0.457, 0.182, 0.017, 0.15]","[0.09424809366464615, 0.17746004462242126, 0.2351454347372055, 0.14987553656101227, 0.1371084302663803, 0.13029898703098297, 0.07586326450109482]","[0.4008076786994934, 0.7546820640563965, 1.0, 0.6373738050460815, 0.5830792784690857, 0.5541208386421204, 0.32262274622917175]","[137, 88, 56, 33, 34, 118, 138]","[117, 16, 8, 14, 5, 14, 29]","[0.8540145754814148, 0.1818181872367859, 0.1428571492433548, 0.42424243688583374, 0.14705882966518402, 0.11864406615495682, 0.21014492213726044]","[412, 191, 139, 91, 78, 242, 324]","[355, 33, 25, 32, 20, 22, 70]","[0.8616504669189453, 0.17277486622333527, 0.17985612154006958, 0.35164836049079895, 0.25641027092933655, 0.09090909361839294, 0.21604938805103302]"
150,0.19427402862985685,0.18252113752871973,0.9523809523809523,0.9510204081632653,191,680,0.28088235294117647,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.28, 0.171, 0.09, 0.514, 0.091, 0.0, 0.2]","[0.06479522585868835, 0.19418977200984955, 0.2566090226173401, 0.15046508610248566, 0.10882751643657684, 0.08919352293014526, 0.13591960072517395]","[0.2525056302547455, 0.7567535042762756, 1.0, 0.5863593220710754, 0.42409855127334595, 0.3475852906703949, 0.5296758413314819]","[143, 97, 74, 52, 53, 112, 149]","[112, 11, 12, 19, 9, 7, 21]","[0.7832167744636536, 0.11340206116437912, 0.1621621549129486, 0.36538460850715637, 0.16981132328510284, 0.0625, 0.1409395933151245]","[555, 288, 213, 143, 131, 354, 473]","[467, 44, 37, 51, 29, 29, 91]","[0.8414414525032043, 0.1527777761220932, 0.17370891571044922, 0.35664334893226624, 0.221374049782753, 0.08192090690135956, 0.19238901138305664]"
175,0.2147239263803681,0.2070731245852783,1.0,1.0,244,802,0.30423940149625933,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.253, 0.2, 0.179, 0.486, 0.156, 0.0, 0.2]","[0.07358302175998688, 0.17775678634643555, 0.2445065975189209, 0.20529787242412567, 0.1374199241399765, 0.05947170779109001, 0.10196387022733688]","[0.3009449243545532, 0.7270020246505737, 1.0, 0.8396414518356323, 0.5620295405387878, 0.24323150515556335, 0.4170188903808594]","[158, 141, 109, 44, 60, 135, 155]","[126, 24, 22, 15, 12, 9, 36]","[0.797468364238739, 0.1702127605676651, 0.20183485746383667, 0.34090909361839294, 0.20000000298023224, 0.06666667014360428, 0.23225806653499603]","[713, 429, 322, 187, 191, 489, 628]","[593, 68, 59, 66, 41, 38, 127]","[0.8316970467567444, 0.15850815176963806, 0.18322981894016266, 0.3529411852359772, 0.2146596908569336, 0.0777096077799797, 0.202229306101799]"
200,0.21881390593047034,0.2166754557926751,0.9523809523809523,0.9510204081632653,255,794,0.3211586901763224,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.143, 0.103, 0.5, 0.104, 0.136, 0.217]","[0.10164210200309753, 0.11703796684741974, 0.20993147790431976, 0.18680371344089508, 0.11696706712245941, 0.13336335122585297, 0.1342540979385376]","[0.48416799306869507, 0.5575055480003357, 1.0, 0.8898318409919739, 0.5571678280830383, 0.6352708339691162, 0.6395139098167419]","[154, 106, 98, 64, 79, 131, 162]","[124, 18, 20, 32, 18, 11, 32]","[0.8051947951316833, 0.16981132328510284, 0.20408163964748383, 0.5, 0.2278480976819992, 0.08396946638822556, 0.1975308656692505]","[867, 535, 420, 251, 270, 620, 790]","[717, 86, 79, 98, 59, 49, 159]","[0.8269895911216736, 0.16074766218662262, 0.18809524178504944, 0.3904382586479187, 0.21851852536201477, 0.07903225719928741, 0.2012658268213272]"
225,0.1983640081799591,0.18261129739694582,0.9523809523809523,0.9510204081632653,257,892,0.2881165919282511,0.98,"[1.0, 0.667, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.293, 0.143, 0.115, 0.543, 0.078, 0.0, 0.2]","[0.062593474984169, 0.14245501160621643, 0.10298115760087967, 0.31148141622543335, 0.1829424649477005, 0.035532787442207336, 0.1620134562253952]","[0.2009541243314743, 0.45734673738479614, 0.33061733841896057, 1.0, 0.5873302817344666, 0.11407674849033356, 0.5201384425163269]","[152, 177, 110, 63, 86, 130, 174]","[129, 26, 15, 21, 23, 10, 33]","[0.8486841917037964, 0.14689265191555023, 0.13636364042758942, 0.3333333432674408, 0.26744186878204346, 0.07692307978868484, 0.18965516984462738]","[1019, 712, 530, 314, 356, 750, 964]","[846, 112, 94, 119, 82, 59, 192]","[0.8302257061004639, 0.15730337798595428, 0.1773584932088852, 0.3789809048175812, 0.23033708333969116, 0.07866666465997696, 0.19917012751102448]"
