step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.12269938650306748,0.031225604996096803,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.12474437627811862,0.03168831168831169,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.35714285714285715,0.29725716071627434,"[1.0, 0.0, 0.5, 0.0, 0.2, 0.5, 0.3]",0.24130879345603273,0.16433806842689067,"[0.88, 0.014, 0.359, 0.0, 0.104, 0.186, 0.067]",0.25357873210633947,0.16417134844308495,"[0.907, 0.0, 0.442, 0.0, 0.158, 0.133, 0.033]",0,0,,0.98,"[0.15781287848949432, 0.13254985213279724, 0.14970241487026215, 0.14138703048229218, 0.1612468808889389, 0.15708939731121063, 0.10021132230758667]","[0.9787034392356873, 0.8220304846763611, 0.9284050464630127, 0.8768357634544373, 1.0, 0.974216639995575, 0.6214776039123535]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
50,0.44285714285714284,0.3842275371687136,"[1.0, 0.3, 1.0, 0.0, 0.0, 0.3, 0.5]",0.22699386503067484,0.15974872056772013,"[0.373, 0.229, 0.782, 0.0, 0.0, 0.051, 0.05]",0.24335378323108384,0.17522328830740047,"[0.48, 0.243, 0.753, 0.0, 0.0, 0.083, 0.049]",2,2,1.0,0.98,"[0.14329497516155243, 0.14571814239025116, 0.1723727583885193, 0.14328080415725708, 0.11248531192541122, 0.1422572135925293, 0.14059054851531982]","[0.8313087224960327, 0.8453664183616638, 1.0, 0.8312264680862427, 0.6525701284408569, 0.8252882361412048, 0.8156192898750305]","[0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 2]","[nan, nan, nan, nan, nan, nan, 1.0]","[0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 2]","[nan, nan, nan, nan, nan, nan, 1.0]"
75,0.7285714285714285,0.7064533966595155,"[1.0, 0.9, 1.0, 0.3, 0.3, 1.0, 0.6]",0.2903885480572597,0.2636217852252162,"[0.44, 0.486, 0.513, 0.143, 0.039, 0.288, 0.083]",0.3047034764826176,0.26412184509078607,"[0.547, 0.529, 0.558, 0.114, 0.0, 0.217, 0.115]",13,22,0.5909090909090909,0.98,"[0.12058915197849274, 0.1309797614812851, 0.21405905485153198, 0.1298447847366333, 0.1217598021030426, 0.2036477029323578, 0.07911957055330276]","[0.5633452534675598, 0.6118860840797424, 1.0, 0.6065839529037476, 0.5688140988349915, 0.9513622522354126, 0.3696156144142151]","[7, 7, 1, 0, 0, 0, 7]","[6, 5, 1, 0, 0, 0, 1]","[0.8571428656578064, 0.7142857313156128, 1.0, nan, nan, nan, 0.1428571492433548]","[7, 7, 1, 0, 0, 0, 9]","[6, 5, 1, 0, 0, 0, 3]","[0.8571428656578064, 0.7142857313156128, 1.0, nan, nan, nan, 0.3333333432674408]"
100,0.9285714285714286,0.926654872475306,"[1.0, 1.0, 1.0, 0.9, 0.6, 1.0, 1.0]",0.32719836400818,0.3082105375346867,"[0.28, 0.586, 0.359, 0.3, 0.052, 0.508, 0.25]",0.3231083844580777,0.29903412781486416,"[0.333, 0.614, 0.39, 0.3, 0.026, 0.383, 0.23]",50,118,0.423728813559322,0.98,"[0.16578124463558197, 0.16361165046691895, 0.14785665273666382, 0.09730459749698639, 0.10827770829200745, 0.1720927208662033, 0.145075261592865]","[0.9633251428604126, 0.9507180452346802, 0.859168529510498, 0.565419614315033, 0.6291823983192444, 1.0, 0.8430063724517822]","[33, 45, 8, 4, 1, 9, 18]","[14, 25, 2, 1, 1, 2, 5]","[0.42424243688583374, 0.5555555820465088, 0.25, 0.25, 1.0, 0.2222222238779068, 0.2777777910232544]","[40, 52, 9, 4, 1, 9, 27]","[20, 30, 3, 1, 1, 2, 8]","[0.5, 0.5769230723381042, 0.3333333432674408, 0.25, 1.0, 0.2222222238779068, 0.29629629850387573]"
125,0.9857142857142858,0.9856784819190835,"[1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0]",0.33537832310838445,0.33531045751633987,"[0.347, 0.4, 0.256, 0.329, 0.286, 0.559, 0.2]",0.33537832310838445,0.34013040271083456,"[0.387, 0.5, 0.299, 0.343, 0.211, 0.35, 0.262]",140,270,0.5185185185185185,0.98,"[0.11369990557432175, 0.12092606723308563, 0.1978786140680313, 0.15907368063926697, 0.166775181889534, 0.1524728238582611, 0.08917348831892014]","[0.5745941996574402, 0.6111123561859131, 1.0, 0.8038952350616455, 0.8428155779838562, 0.7705371379852295, 0.45064741373062134]","[73, 80, 39, 9, 5, 23, 41]","[51, 45, 17, 7, 1, 6, 13]","[0.698630154132843, 0.5625, 0.43589743971824646, 0.7777777910232544, 0.20000000298023224, 0.260869562625885, 0.31707316637039185]","[113, 132, 48, 13, 6, 32, 68]","[71, 75, 20, 8, 2, 8, 21]","[0.6283186078071594, 0.5681818127632141, 0.4166666567325592, 0.6153846383094788, 0.3333333432674408, 0.25, 0.30882352590560913]"
150,0.9714285714285714,0.9711399711399712,"[1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0]",0.3374233128834356,0.33073010810028963,"[0.44, 0.343, 0.346, 0.571, 0.143, 0.254, 0.25]",0.32515337423312884,0.30003502866997905,"[0.533, 0.486, 0.416, 0.429, 0.053, 0.1, 0.213]",197,476,0.41386554621848737,0.98,"[0.1455555111169815, 0.09031984210014343, 0.19305187463760376, 0.23648932576179504, 0.12551875412464142, 0.07891522347927094, 0.13014931976795197]","[0.6154844760894775, 0.38191932439804077, 0.8163238167762756, 1.0, 0.5307586193084717, 0.3336946666240692, 0.5503391027450562]","[118, 126, 61, 40, 15, 43, 73]","[58, 71, 16, 19, 2, 11, 20]","[0.49152541160583496, 0.5634920597076416, 0.26229506731033325, 0.4749999940395355, 0.13333334028720856, 0.25581395626068115, 0.27397260069847107]","[231, 258, 109, 53, 21, 75, 141]","[129, 146, 36, 27, 4, 19, 41]","[0.5584415793418884, 0.565891444683075, 0.3302752375602722, 0.5094339847564697, 0.190476194024086, 0.25333333015441895, 0.29078012704849243]"
175,0.9857142857142858,0.9856784819190835,"[1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0]",0.3374233128834356,0.32914861906081516,"[0.44, 0.429, 0.064, 0.457, 0.234, 0.424, 0.367]",0.3047034764826176,0.2918138646452923,"[0.507, 0.514, 0.104, 0.357, 0.132, 0.233, 0.295]",231,509,0.4538310412573674,0.98,"[0.13495975732803345, 0.13354486227035522, 0.05392296612262726, 0.1687765121459961, 0.13708043098449707, 0.19035473465919495, 0.18136058747768402]","[0.7089908123016357, 0.7015578746795654, 0.28327620029449463, 0.8866420388221741, 0.7201314568519592, 1.0, 0.9527506232261658]","[120, 133, 43, 32, 27, 59, 95]","[70, 75, 17, 12, 10, 21, 26]","[0.5833333134651184, 0.5639097690582275, 0.39534884691238403, 0.375, 0.37037035822868347, 0.35593220591545105, 0.27368420362472534]","[351, 391, 152, 85, 48, 134, 236]","[199, 221, 53, 39, 14, 40, 67]","[0.56695157289505, 0.5652173757553101, 0.3486842215061188, 0.4588235318660736, 0.2916666567325592, 0.2985074520111084, 0.2838982939720154]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3210633946830266,0.3141781404564134,"[0.267, 0.6, 0.205, 0.229, 0.325, 0.407, 0.233]",0.3333333333333333,0.3274331029480341,"[0.347, 0.571, 0.26, 0.343, 0.289, 0.267, 0.246]",248,656,0.3780487804878049,0.98,"[0.056241270154714584, 0.18510331213474274, 0.15190474689006805, 0.09985575824975967, 0.24769315123558044, 0.12919378280639648, 0.130007803440094]","[0.2270602583885193, 0.7473089694976807, 0.6132779717445374, 0.4031429886817932, 1.0, 0.5215880274772644, 0.5248744487762451]","[137, 149, 75, 62, 41, 56, 136]","[74, 77, 15, 24, 14, 17, 27]","[0.540145993232727, 0.5167785286903381, 0.20000000298023224, 0.3870967626571655, 0.3414634168148041, 0.3035714328289032, 0.1985294073820114]","[488, 540, 227, 147, 89, 190, 372]","[273, 298, 68, 63, 28, 57, 94]","[0.5594262480735779, 0.5518518686294556, 0.29955947399139404, 0.4285714328289032, 0.31460675597190857, 0.30000001192092896, 0.2526881694793701]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.35991820040899797,0.3604598300368221,"[0.347, 0.5, 0.308, 0.5, 0.286, 0.424, 0.15]",0.3210633946830266,0.31239402983821346,"[0.36, 0.543, 0.325, 0.5, 0.158, 0.2, 0.131]",236,603,0.3913764510779436,0.98,"[0.08201795816421509, 0.1810920238494873, 0.13907352089881897, 0.11519480496644974, 0.162979394197464, 0.20737579464912415, 0.11226635426282883]","[0.3955039978027344, 0.8732553720474243, 0.6706352829933167, 0.5554881691932678, 0.7859132885932922, 1.0, 0.541366696357727]","[104, 115, 63, 66, 45, 80, 130]","[64, 61, 22, 27, 11, 30, 21]","[0.6153846383094788, 0.530434787273407, 0.3492063581943512, 0.40909090638160706, 0.24444444477558136, 0.375, 0.16153846681118011]","[592, 655, 290, 213, 134, 270, 502]","[337, 359, 90, 90, 39, 87, 115]","[0.5692567825317383, 0.5480915904045105, 0.3103448152542114, 0.4225352108478546, 0.29104477167129517, 0.3222222328186035, 0.22908367216587067]"
