step,acc_val,f1_val,acc_train,f1_train,psl_correct,psl_total,acc_psl,pslt_global,cw_acc_train,cw_acc_val,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.15337423312883436,0.037993920972644375,0.14285714285714285,0.03571428571428571,0,0,,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,0.24335378323108384,0.23463889333554325,1.0,1.0,0,1,0.0,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.213, 0.229, 0.192, 0.257, 0.13, 0.102, 0.633]","[0.12337301671504974, 0.17000947892665863, 0.15101507306098938, 0.1683211624622345, 0.10006269812583923, 0.09936198592185974, 0.18785634636878967]","[0.6567412614822388, 0.9049972891807556, 0.8038859367370605, 0.8960099816322327, 0.5326554179191589, 0.528925359249115, 1.0]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, 0.0, nan]","[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, 0.0, nan]"
50,0.18813905930470348,0.17496948930320827,1.0,1.0,121,345,0.3507246376811594,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.147, 0.043, 0.218, 0.486, 0.065, 0.237, 0.133]","[0.05253693088889122, 0.06340360641479492, 0.18478785455226898, 0.31198957562446594, 0.11243055015802383, 0.13403187692165375, 0.14081940054893494]","[0.16839322447776794, 0.20322348177433014, 0.5922885537147522, 1.0, 0.3603663742542267, 0.4296036958694458, 0.4513593018054962]","[77, 53, 49, 40, 52, 26, 48]","[60, 8, 19, 11, 5, 3, 15]","[0.7792207598686218, 0.15094339847564697, 0.3877550959587097, 0.2750000059604645, 0.09615384787321091, 0.11538461595773697, 0.3125]","[77, 53, 49, 40, 52, 27, 48]","[60, 8, 19, 11, 5, 3, 15]","[0.7792207598686218, 0.15094339847564697, 0.3877550959587097, 0.2750000059604645, 0.09615384787321091, 0.1111111119389534, 0.3125]"
75,0.2229038854805726,0.22113072864908542,1.0,1.0,150,394,0.38071065989847713,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.129, 0.231, 0.457, 0.026, 0.186, 0.2]","[0.07434750348329544, 0.1622033268213272, 0.21952271461486816, 0.1703142523765564, 0.1267494112253189, 0.12898166477680206, 0.11788089573383331]","[0.33867794275283813, 0.7388908863067627, 1.0, 0.7758388519287109, 0.5773863196372986, 0.5875549912452698, 0.5369872450828552]","[86, 71, 30, 49, 44, 67, 47]","[72, 17, 8, 17, 6, 10, 20]","[0.8372092843055725, 0.23943662643432617, 0.2666666805744171, 0.3469387888908386, 0.13636364042758942, 0.1492537260055542, 0.42553192377090454]","[163, 124, 79, 89, 96, 94, 95]","[132, 25, 27, 28, 11, 13, 35]","[0.8098159432411194, 0.2016129046678543, 0.3417721390724182, 0.31460675597190857, 0.1145833358168602, 0.13829787075519562, 0.3684210479259491]"
100,0.23721881390593047,0.20589834151244688,1.0,1.0,216,677,0.3190546528803545,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.547, 0.043, 0.321, 0.429, 0.013, 0.119, 0.15]","[0.34294208884239197, 0.09465139359235764, 0.1932470202445984, 0.14086607098579407, 0.10006977617740631, 0.0704306811094284, 0.05779282748699188]","[1.0, 0.27599817514419556, 0.5634975433349609, 0.4107576012611389, 0.2917978763580322, 0.2053719311952591, 0.16852065920829773]","[147, 112, 69, 84, 104, 86, 75]","[109, 23, 15, 25, 2, 9, 33]","[0.7414966225624084, 0.2053571492433548, 0.21739129722118378, 0.2976190447807312, 0.01923076994717121, 0.10465116053819656, 0.4399999976158142]","[310, 236, 148, 173, 200, 180, 170]","[241, 48, 42, 53, 13, 22, 68]","[0.7774193286895752, 0.20338982343673706, 0.28378379344940186, 0.30635836720466614, 0.06499999761581421, 0.12222222238779068, 0.4000000059604645]"
125,0.23721881390593047,0.21346892586416577,1.0,1.0,222,753,0.2948207171314741,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.507, 0.043, 0.295, 0.429, 0.039, 0.153, 0.167]","[0.16849017143249512, 0.13327789306640625, 0.3063911199569702, 0.15790773928165436, 0.12287618964910507, 0.04835202917456627, 0.06270460039377213]","[0.5499185919761658, 0.4349926710128784, 1.0, 0.5153796076774597, 0.401043564081192, 0.1578114628791809, 0.20465540885925293]","[129, 104, 87, 107, 120, 103, 103]","[80, 17, 32, 34, 7, 17, 35]","[0.6201550364494324, 0.16346153616905212, 0.36781609058380127, 0.3177570104598999, 0.05833333358168602, 0.1650485396385193, 0.33980581164360046]","[439, 340, 235, 280, 320, 283, 273]","[321, 65, 74, 87, 20, 39, 103]","[0.7312073111534119, 0.19117647409439087, 0.31489360332489014, 0.3107142746448517, 0.0625, 0.13780918717384338, 0.37728938460350037]"
150,0.2249488752556237,0.20131889939419997,1.0,1.0,264,822,0.32116788321167883,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.373, 0.257, 0.244, 0.414, 0.013, 0.0, 0.25]","[0.19469895958900452, 0.12264838069677353, 0.21106281876564026, 0.17947137355804443, 0.1722792685031891, 0.012377911247313023, 0.10746102035045624]","[0.9224692583084106, 0.5810989141464233, 1.0, 0.8503220677375793, 0.8162463903427124, 0.05864562839269638, 0.5091423392295837]","[163, 144, 79, 127, 140, 67, 102]","[100, 34, 31, 46, 5, 9, 39]","[0.6134969592094421, 0.2361111044883728, 0.39240506291389465, 0.36220473051071167, 0.0357142873108387, 0.13432836532592773, 0.38235294818878174]","[602, 484, 314, 407, 460, 350, 375]","[421, 99, 105, 133, 25, 48, 142]","[0.6993355751037598, 0.20454545319080353, 0.3343949019908905, 0.32678133249282837, 0.054347824305295944, 0.1371428519487381, 0.3786666691303253]"
175,0.21063394683026584,0.18878718752202658,1.0,1.0,205,704,0.2911931818181818,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.413, 0.229, 0.218, 0.371, 0.026, 0.0, 0.183]","[0.1429634541273117, 0.22493374347686768, 0.1238383948802948, 0.22687695920467377, 0.17254549264907837, 0.013513267040252686, 0.0953284502029419]","[0.6301364898681641, 0.9914349317550659, 0.5458394289016724, 1.0, 0.7605245113372803, 0.05956209450960159, 0.4201768636703491]","[132, 144, 69, 107, 136, 2, 114]","[75, 22, 27, 36, 2, 1, 42]","[0.5681818127632141, 0.1527777761220932, 0.3913043439388275, 0.336448609828949, 0.014705882407724857, 0.5, 0.3684210479259491]","[734, 628, 383, 514, 596, 352, 489]","[496, 121, 132, 169, 27, 49, 184]","[0.6757493019104004, 0.1926751583814621, 0.34464752674102783, 0.3287937641143799, 0.04530201479792595, 0.13920454680919647, 0.3762781322002411]"
200,0.2147239263803681,0.18262498017801315,1.0,1.0,224,832,0.2692307692307692,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.427, 0.143, 0.205, 0.443, 0.0, 0.0, 0.267]","[0.16303996741771698, 0.12709355354309082, 0.11100909113883972, 0.282733678817749, 0.16830871999263763, 0.010289374738931656, 0.13752536475658417]","[0.5766556262969971, 0.4495168626308441, 0.3926277458667755, 1.0, 0.5952906608581543, 0.0363924615085125, 0.4864130914211273]","[141, 188, 116, 143, 159, 2, 83]","[66, 32, 31, 44, 7, 0, 44]","[0.4680851101875305, 0.1702127605676651, 0.26724138855934143, 0.3076923191547394, 0.044025156646966934, 0.0, 0.5301204919815063]","[875, 816, 499, 657, 755, 354, 572]","[562, 153, 163, 213, 34, 49, 228]","[0.6422857046127319, 0.1875, 0.32665330171585083, 0.32420089840888977, 0.04503311216831207, 0.1384180784225464, 0.3986014127731323]"
225,0.20449897750511248,0.18327445654251553,1.0,1.0,216,902,0.2394678492239468,0.98,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.333, 0.2, 0.231, 0.4, 0.026, 0.0, 0.217]","[0.16207630932331085, 0.16425682604312897, 0.13721735775470734, 0.23362667858600616, 0.1867118775844574, 0.025866089388728142, 0.09024462103843689]","[0.6937406063079834, 0.7030739188194275, 0.587336003780365, 1.0, 0.799189031124115, 0.11071547865867615, 0.38627704977989197]","[165, 203, 128, 169, 188, 1, 48]","[72, 34, 38, 46, 5, 0, 21]","[0.4363636374473572, 0.16748768091201782, 0.296875, 0.27218934893608093, 0.026595745235681534, 0.0, 0.4375]","[1040, 1019, 627, 826, 943, 355, 620]","[634, 187, 201, 259, 39, 49, 249]","[0.6096153855323792, 0.18351325392723083, 0.32057416439056396, 0.31355932354927063, 0.04135737195611, 0.13802817463874817, 0.40161290764808655]"
