step,acc_train,f1_train,cw_acc_train,acc_val,f1_val,cw_acc_val,acc_test,f1_test,cw_acc_test,psl_correct,psl_total,acc_psl,pslt_global,cw_avg_prob,local_threshold,cw_psl_total_eval,cw_psl_correct_eval,cw_psl_acc_eval,cw_psl_total_accum,cw_psl_correct_accum,cw_psl_acc_accum
0,0.14285714285714285,0.03571428571428571,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12065439672801637,0.03076120959332639,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.12269938650306748,0.031225604996096803,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,0,,0.0,"[0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548, 0.1428571492433548]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[nan, nan, nan, nan, nan, nan, nan]"
25,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.1738241308793456,0.14285967078486198,"[0.293, 0.071, 0.0, 0.043, 0.286, 0.0, 0.55]",0.2331288343558282,0.18957978947299284,"[0.453, 0.014, 0.013, 0.143, 0.434, 0.0, 0.574]",20,34,0.5882352941176471,0.98,"[0.11804069578647614, 0.09925664961338043, 0.10981157422065735, 0.1135794073343277, 0.21480727195739746, 0.0963982343673706, 0.2481059730052948]","[0.47576725482940674, 0.40005746483802795, 0.44259947538375854, 0.45778587460517883, 0.8657884001731873, 0.3885365426540375, 1.0]","[17, 1, 0, 3, 6, 5, 2]","[15, 0, 0, 1, 1, 1, 2]","[0.8823529481887817, 0.0, nan, 0.3333333432674408, 0.1666666716337204, 0.20000000298023224, 1.0]","[17, 1, 0, 3, 6, 5, 2]","[15, 0, 0, 1, 1, 1, 2]","[0.8823529481887817, 0.0, nan, 0.3333333432674408, 0.1666666716337204, 0.20000000298023224, 1.0]"
50,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.1901840490797546,0.14267013147061516,"[0.4, 0.014, 0.0, 0.071, 0.286, 0.0, 0.583]",0.23721881390593047,0.18731626567878937,"[0.507, 0.0, 0.026, 0.2, 0.329, 0.0, 0.607]",140,408,0.3431372549019608,0.98,"[0.11815416812896729, 0.039414361119270325, 0.11781391501426697, 0.15840761363506317, 0.2194724678993225, 0.05686711519956589, 0.28987017273902893]","[0.4076106548309326, 0.13597245514392853, 0.40643683075904846, 0.5464777946472168, 0.757140576839447, 0.19618132710456848, 1.0]","[119, 32, 24, 80, 62, 27, 64]","[85, 5, 5, 11, 12, 2, 20]","[0.7142857313156128, 0.15625, 0.2083333283662796, 0.13750000298023224, 0.19354838132858276, 0.07407407462596893, 0.3125]","[136, 33, 24, 83, 68, 32, 66]","[100, 5, 5, 12, 13, 3, 22]","[0.7352941036224365, 0.1515151560306549, 0.2083333283662796, 0.14457830786705017, 0.19117647409439087, 0.09375, 0.3333333432674408]"
75,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.17586912065439672,0.1485908189033189,"[0.133, 0.014, 0.0, 0.043, 0.455, 0.424, 0.2]",0.22903885480572597,0.20288331224845008,"[0.24, 0.0, 0.0, 0.157, 0.487, 0.533, 0.23]",138,516,0.26744186046511625,0.98,"[0.04846103489398956, 0.01761167123913765, 0.02705712430179119, 0.18938805162906647, 0.3151230216026306, 0.29105672240257263, 0.11130212247371674]","[0.15378449857234955, 0.05588823929429054, 0.08586210012435913, 0.6009972095489502, 1.0, 0.9236288666725159, 0.35320213437080383]","[69, 12, 14, 112, 90, 130, 89]","[54, 0, 2, 23, 15, 16, 28]","[0.782608687877655, 0.0, 0.1428571492433548, 0.2053571492433548, 0.1666666716337204, 0.1230769231915474, 0.31460675597190857]","[205, 45, 38, 195, 158, 162, 155]","[154, 5, 7, 35, 28, 19, 50]","[0.7512195110321045, 0.1111111119389534, 0.18421052396297455, 0.1794871836900711, 0.17721518874168396, 0.11728394776582718, 0.32258063554763794]"
100,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.2065439672801636,0.16983109751971406,"[0.387, 0.014, 0.321, 0.314, 0.234, 0.0, 0.1]",0.1983640081799591,0.15008922810316538,"[0.453, 0.0, 0.299, 0.286, 0.237, 0.0, 0.033]",137,426,0.3215962441314554,0.98,"[0.3034002184867859, 0.01606607250869274, 0.25785642862319946, 0.1972595602273941, 0.1641092449426651, 0.03474259376525879, 0.02656572498381138]","[1.0, 0.05295339971780777, 0.8498887419700623, 0.6501628756523132, 0.5409002304077148, 0.11451077461242676, 0.0875600054860115]","[125, 8, 52, 103, 46, 44, 48]","[69, 2, 8, 25, 6, 6, 21]","[0.5519999861717224, 0.25, 0.1538461595773697, 0.24271844327449799, 0.1304347813129425, 0.13636364042758942, 0.4375]","[330, 53, 90, 298, 204, 206, 203]","[223, 7, 15, 60, 34, 25, 71]","[0.6757575869560242, 0.1320754736661911, 0.1666666716337204, 0.20134228467941284, 0.1666666716337204, 0.12135922163724899, 0.3497537076473236]"
125,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.19222903885480572,0.16104633577304886,"[0.36, 0.014, 0.0, 0.229, 0.221, 0.102, 0.45]",0.20245398773006135,0.16346729958066458,"[0.387, 0.0, 0.013, 0.257, 0.237, 0.05, 0.492]",141,502,0.28087649402390436,0.98,"[0.18803401291370392, 0.013090934604406357, 0.04840290918946266, 0.1574995517730713, 0.15951357781887054, 0.1509568989276886, 0.2825019061565399]","[0.6656026244163513, 0.04633927717804909, 0.1713365763425827, 0.5575167536735535, 0.5646460056304932, 0.5343570709228516, 1.0]","[113, 7, 55, 133, 86, 70, 38]","[54, 6, 12, 22, 13, 12, 22]","[0.47787609696388245, 0.8571428656578064, 0.2181818187236786, 0.1654135286808014, 0.151162788271904, 0.17142857611179352, 0.5789473652839661]","[443, 60, 145, 431, 290, 276, 241]","[277, 13, 27, 82, 47, 37, 93]","[0.6252821683883667, 0.21666666865348816, 0.1862068921327591, 0.19025522470474243, 0.16206896305084229, 0.13405796885490417, 0.3858921229839325]"
150,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.17791411042944785,0.14939947340641568,"[0.387, 0.014, 0.192, 0.1, 0.338, 0.068, 0.083]",0.19631901840490798,0.15158912622865042,"[0.52, 0.0, 0.208, 0.157, 0.329, 0.05, 0.033]",127,580,0.2189655172413793,0.98,"[0.2196902185678482, 0.018082644790410995, 0.3005829453468323, 0.17792877554893494, 0.18728162348270416, 0.07185869663953781, 0.02457498013973236]","[0.7308804988861084, 0.060158584266901016, 1.0, 0.5919457077980042, 0.6230613589286804, 0.23906445503234863, 0.08175773173570633]","[113, 6, 96, 138, 98, 71, 58]","[51, 1, 9, 15, 16, 14, 21]","[0.45132744312286377, 0.1666666716337204, 0.09375, 0.10869564861059189, 0.16326530277729034, 0.19718310236930847, 0.36206895112991333]","[556, 66, 241, 569, 388, 347, 299]","[328, 14, 36, 97, 63, 51, 114]","[0.5899280309677124, 0.21212121844291687, 0.14937759935855865, 0.17047451436519623, 0.16237112879753113, 0.14697405695915222, 0.3812709152698517]"
175,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.16768916155419222,0.1299364144872976,"[0.453, 0.014, 0.09, 0.0, 0.312, 0.186, 0.083]",0.2474437627811861,0.19353434836963088,"[0.707, 0.0, 0.169, 0.071, 0.408, 0.217, 0.098]",171,693,0.24675324675324675,0.98,"[0.3410486578941345, 0.009675407782196999, 0.14161480963230133, 0.05917828530073166, 0.18388032913208008, 0.18142348527908325, 0.08317882567644119]","[1.0, 0.028369581326842308, 0.41523343324661255, 0.1735185980796814, 0.5391615629196167, 0.531957745552063, 0.2438913732767105]","[107, 6, 105, 159, 83, 122, 111]","[52, 1, 20, 30, 14, 17, 37]","[0.4859813153743744, 0.1666666716337204, 0.190476194024086, 0.18867924809455872, 0.16867469251155853, 0.13934426009655, 0.3333333432674408]","[663, 72, 346, 728, 471, 469, 410]","[380, 15, 56, 127, 77, 68, 151]","[0.5731523633003235, 0.2083333283662796, 0.161849707365036, 0.17445054650306702, 0.1634819507598877, 0.14498934149742126, 0.3682926893234253]"
200,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.18404907975460122,0.16296934005121785,"[0.413, 0.014, 0.103, 0.157, 0.286, 0.169, 0.117]",0.2147239263803681,0.19170350779106582,"[0.467, 0.0, 0.182, 0.2, 0.289, 0.15, 0.18]",152,679,0.22385861561119294,0.98,"[0.17352576553821564, 0.029352502897381783, 0.21811184287071228, 0.13618037104606628, 0.2671118378639221, 0.10833892971277237, 0.06737852096557617]","[0.6496371030807495, 0.10988844186067581, 0.8165562748908997, 0.5098252892494202, 1.0, 0.4055939018726349, 0.2522483468055725]","[180, 10, 110, 53, 142, 118, 66]","[68, 1, 19, 8, 22, 19, 15]","[0.3777777850627899, 0.10000000149011612, 0.17272727191448212, 0.15094339847564697, 0.15492957830429077, 0.16101695597171783, 0.22727273404598236]","[843, 82, 456, 781, 613, 587, 476]","[448, 16, 75, 135, 99, 87, 166]","[0.5314353704452515, 0.19512194395065308, 0.16447368264198303, 0.17285531759262085, 0.16150081157684326, 0.14821124076843262, 0.34873950481414795]"
225,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.1983640081799591,0.1802839679897757,"[0.4, 0.014, 0.256, 0.086, 0.234, 0.203, 0.167]",0.20040899795501022,0.1723565926915104,"[0.467, 0.0, 0.26, 0.143, 0.263, 0.117, 0.098]",191,758,0.2519788918205805,0.98,"[0.15375038981437683, 0.01053500548005104, 0.2665212154388428, 0.18105284869670868, 0.17756713926792145, 0.10656441748142242, 0.10400886833667755]","[0.5768786072731018, 0.039527829736471176, 1.0, 0.6793187260627747, 0.6662401556968689, 0.39983466267585754, 0.39024612307548523]","[133, 7, 102, 175, 95, 125, 121]","[57, 4, 17, 33, 25, 21, 34]","[0.4285714328289032, 0.5714285969734192, 0.1666666716337204, 0.18857142329216003, 0.2631579041481018, 0.1679999977350235, 0.28099173307418823]","[976, 89, 558, 956, 708, 712, 597]","[505, 20, 92, 168, 124, 108, 200]","[0.5174180269241333, 0.2247191071510315, 0.16487455368041992, 0.17573221027851105, 0.17514124512672424, 0.15168538689613342, 0.3350083827972412]"
